state,id,population,engineers,hurricanes
Montana,1,1039410,0.001629888,49
Rhode Island,2,1624866,0.006602928,49
Rhode Island,3,1020254,0.002929805,0
New Mexico,4,2993568,0.007315426,0
Nebraska,5,4921761,0.002511253,0
Nevada,6,2977742,0.005300481,10
New Hampshire,7,21077233,0.003442404,0
North Dakota,8,1592200,0.004793959,0
Pennsylvania,9,3751973,0.003533873,0
Arkansas,10,7032068,0.003067742,0
Tennessee,11,1054772,0.003978961,0
Oklahoma,12,12061053,0.005938459,0
Nebraska,13,2272850,0.000773897,0
Mississippi,14,1189480,0.011759179,0
New York,15,3587159,0.002423144,0
Alaska,16,3765851,0.001343076,0
Alabama,17,4517175,0.005974262,0
Connecticut,18,4875891,0.004464458,0
Nevada,19,2134905,0.004642655,0
South Carolina,20,1920855,0.003639744,15
Oregon,21,5255803,0.005539931,9
Illinois,22,3062054,0.002817043,0
Wyoming,23,3505450,0.011759179,0
Idaho,24,19460563,0.001772925,0
New York,25,19117497,0.00478025,0
Kentucky,26,2971099,0.002470153,0
New Jersey,27,2466178,0.008438029,0
Nebraska,28,1357401,0.00320131,1
Michigan,29,2841248,0.005395044,110
New Jersey,30,10666856,0.004069111,110
Maryland,31,4198972,0.001401923,0
Oregon,32,1360633,0.002154729,0
Kansas,33,2045431,0.002061545,59
New York,34,775773,0.007014585,0
Minnesota,35,3784914,0.004954263,0
North Dakota,36,1832114,0.001862043,0
Wisconsin,37,8254675,0.00313694,0
Montana,38,2266157,0.002974589,59
Rhode Island,39,5554098,0.003647951,12
Idaho,40,10937013,0.004160033,0
Mississippi,41,4725223,0.004414317,0
South Dakota,42,999742,0.004781928,15
West Virginia,43,14977788,0.002832316,10
Colorado,44,2408115,0.006553331,2
Idaho,45,5064530,0.002294615,9
Kentucky,46,1413098,0.00274138,46
Colorado,47,3350423,0.003048087,0
Florida,48,5211702,0.005927942,59
Indiana,49,39250017,0.002728888,20
New York,50,5394095,0.002442021,0
Michigan,51,2981810,0.004185728,2
Idaho,52,1696658,0.001665259,0
