state,id,population,engineers,hurricanes
South Dakota,1,3149546,0.003085086,0
Maine,2,2886672,0.002290686,6
Montana,3,7816429,0.002139048,0
Mississippi,4,1997753,0.000933508,15
Arkansas,5,791186,0.002439557,0
Wyoming,6,3189598,0.001007684,0
Georgia,7,8769801,0.004939686,20
Oklahoma,8,9147674,0.002286188,0
Nevada,9,1846343,0.002037375,0
Kansas,10,6200359,0.003811111,0
Michigan,11,1587689,0.003876797,0
New York,12,12097742,0.004941432,12
Ohio,13,4315225,0.004095787,0
Alabama,14,623415,0.003421545,22
Colorado,15,3691541,0.008087652,0
Arizona,16,2349627,0.004774154,0
Washington,17,2705661,0.010710757,0
West Virginia,18,1868067,0.00128338,0
District of Columbia,19,3165955,0.011759179,0
Missouri,20,4810844,0.004413261,0
North Carolina,21,3262907,0.004226953,46
South Carolina,22,4973922,0.002084207,31
Louisiana,23,8126872,0.001176931,49
Oregon,24,2826256,0.005457479,0
Nebraska,25,2981782,0.005621053,0
Iowa,26,21228526,0.003716472,0
California,27,7180575,0.007125857,0
Wisconsin,28,2215059,0.004821147,0
Tennessee,29,4228668,0.002375513,0
Florida,30,2860851,0.003299949,110
Hawaii,31,5962134,0.001624016,0
Idaho,32,1394560,0.002970638,0
Utah,33,1546106,0.006440053,0
Virginia,34,1746487,0.008595061,12
Rhode Island,35,2133855,0.004581485,9
Puerto Rico,36,1447082,0.000773897,0
New Hampshire,37,615892,0.00633056,2
Delaware,38,6603059,0.004989155,2
Alaska,39,3244350,0.001590524,0
Connecticut,40,3917066,0.005896906,10
Kentucky,41,5419887,0.002089262,0
Texas,42,754935,0.004320129,59
Massachusetts,43,5873810,0.010230808,10
New Mexico,44,5455977,0.001883696,0
Minnesota,45,6765105,0.006193894,0
Maryland,46,585501,0.006291088,2
Illinois,47,1687403,0.004478368,0
New Jersey,48,1327499,0.007724327,2
North Dakota,49,2592458,0.003403909,0
Pennsylvania,50,3116466,0.004237253,1
Indiana,51,1199162,0.002724236,0
Vermont,52,12306913,0.004643016,0
