state,id,population,engineers,hurricanes
Vermont,1,4804102,0.004643016,0
Arizona,2,6673085,0.004774154,0
Montana,3,663949,0.002139048,0
Virginia,4,669592,0.008595061,12
Louisiana,5,2265705,0.001176931,49
Arkansas,6,3956098,0.002439557,0
Minnesota,7,4917264,0.006193894,0
Utah,8,5412201,0.006440053,0
North Carolina,9,7073411,0.004226953,46
New Jersey,10,886950,0.007724327,2
Hawaii,11,7139451,0.001624016,0
Ohio,12,3676137,0.004095787,0
Massachusetts,13,3712624,0.010230808,10
Maryland,14,1511444,0.006291088,2
Nevada,15,6974205,0.002037375,0
Alaska,16,5848351,0.001590524,0
Rhode Island,17,39250017,0.004581485,9
Delaware,18,14887876,0.004989155,2
District of Columbia,19,2381749,0.011759179,0
Kentucky,20,5474984,0.002089262,0
Puerto Rico,21,3035657,0.000773897,0
West Virginia,22,5090868,0.00128338,0
Iowa,23,9445183,0.003716472,0
Washington,24,1778430,0.010710757,0
New Mexico,25,19065399,0.001883696,0
Nebraska,26,1362787,0.005621053,0
Maine,27,585501,0.002290686,6
Indiana,28,3218799,0.002724236,0
Colorado,29,585501,0.008087652,0
Tennessee,30,6213343,0.002375513,0
Mississippi,31,7816695,0.000933508,15
Florida,32,2459998,0.003299949,110
Kansas,33,17179813,0.003811111,0
North Dakota,34,3021052,0.003403909,0
South Carolina,35,16744152,0.002084207,31
Illinois,36,11296825,0.004478368,0
Texas,37,10327360,0.004320129,59
Connecticut,38,2266869,0.005896906,10
South Dakota,39,8044621,0.003085086,0
Georgia,40,10710018,0.004939686,20
Oregon,41,7033968,0.005457479,0
Missouri,42,2741292,0.004413261,0
New Hampshire,43,7082391,0.00633056,2
Michigan,44,2186346,0.003876797,0
California,45,9443001,0.007125857,0
Pennsylvania,46,13991531,0.004237253,1
Wisconsin,47,2077514,0.004821147,0
Oklahoma,48,4447590,0.002286188,0
New York,49,1238705,0.004941432,12
Alabama,50,13709510,0.003421545,22
Idaho,51,13265885,0.002970638,0
Wyoming,52,1540194,0.001007684,0
