year,age,sex,people
1850,80,1,11635647
1850,35,2,5010231
1850,5,2,6062461
1850,40,2,118432
1850,20,1,4493221
1850,5,2,52406
1850,70,1,450406
1850,15,2,2833837
1850,25,1,896427
1850,40,1,76011
1850,35,2,2277582
1850,30,2,137716
1850,70,1,1228377
1850,40,1,1447876
1850,5,2,4384964
1850,65,2,642238
1850,40,2,11635647
1850,80,2,1619026
1850,45,2,1857923
1850,40,1,3113289
1850,5,2,494931
1850,80,2,1563528
1850,80,2,192287
1850,25,1,147247
1850,45,2,3417227
1850,45,2,1798311
1850,70,2,125709
1850,90,1,1031504
1850,65,1,3083603
1850,0,2,3423576
1850,55,2,181123
1850,35,2,753055
1850,90,2,3652152
1850,90,1,1282949
1850,20,2,3626007
1850,10,1,11489350
1850,40,2,4527263
1850,15,1,7674375
1850,10,1,3535178
1850,20,2,8690032
1850,5,2,576510
1850,30,2,272805
1850,10,1,626138
1850,50,2,1803253
1850,80,2,898112
1860,75,2,500678
1860,0,1,1805603
1860,70,1,1233655
1860,45,1,1283242
1860,10,1,2944227
1860,50,1,475579
1860,50,1,467036
1860,30,1,444931
1860,30,1,4655257
1860,55,2,5010239
1860,30,2,5294514
1860,5,2,1930215
1860,20,1,4066928
1860,70,1,6064606
1860,60,2,49412
1860,0,1,8919541
1860,0,2,602309
1860,10,1,6741470
1860,40,2,2990363
1860,50,2,1008334
1860,85,2,3085739
1860,65,2,995455
1860,15,1,2085557
1860,55,1,212701
1860,60,1,2575062
1860,55,2,438289
1860,45,1,3517160
1860,70,1,822001
1860,90,2,3246770
1860,15,2,5259
1860,55,1,450178
1860,75,1,121037
1860,55,2,9935020
1860,75,2,1247723
1860,50,2,3469473
1860,25,1,541262
1860,50,2,487785
1860,55,1,4490668
1860,5,2,4350491
1860,30,2,5686187
1860,40,2,3714874
1870,35,2,5289531
1870,80,2,688992
1870,75,1,4268012
1870,20,1,1040940
1870,35,1,1575235
1870,50,2,7068318
1870,10,1,2592180
1870,90,1,8525215
1870,80,1,621907
1870,45,2,10590652
1870,65,2,9542353
1870,60,2,1478250
1870,85,1,4026041
1870,50,2,6765436
1870,5,2,228681
1870,0,1,5231934
1870,35,1,1803593
1870,35,2,282359
1870,75,1,356428
1870,55,2,137345
1870,60,1,2628208
1870,80,1,3066834
1870,30,1,3978887
1870,90,2,756190
1870,45,1,2426174
1870,50,1,421433
1870,20,2,2401271
1870,30,1,7751871
1870,15,2,2701308
1870,5,2,7485786
1870,40,1,919748
1870,75,2,2342746
1870,10,1,1077054
1870,70,1,1578376
1870,30,1,513753
1870,5,2,47039
1870,70,1,2453308
1870,60,2,11635647
1870,80,1,288887
1870,45,1,973320
1870,35,2,4458110
1870,40,2,2918625
1870,60,1,958341
1880,20,2,2047680
1880,30,1,2629537
1880,55,1,1004288
1880,70,2,1018035
1880,50,1,769048
1880,10,1,11635647
1880,85,2,1797180
1880,45,2,3055695
1880,90,2,207766
1880,0,2,388773
1880,55,2,2718366
1880,5,2,3506474
1880,90,2,2600809
1880,0,2,3889333
1880,30,1,3065462
1880,20,1,44809
1880,0,1,6313482
1880,75,2,672294
1880,90,2,6769774
1880,15,1,970486
1880,85,2,5492596
1880,5,2,4418902
1880,85,1,937569
1880,80,2,234316
1880,45,2,1819144
1880,40,2,7205791
1880,35,1,7971329
1880,40,2,3484520
1880,50,1,772465
1880,75,2,662308
1880,85,1,251920
1880,55,1,893175
1880,60,2,5296770
1880,0,1,703379
1880,80,2,2002342
1880,40,2,1525505
1880,90,2,4682302
1880,40,2,2379134
1880,90,2,2921079
1880,55,1,3658607
1880,0,1,1956903
1880,35,2,1628736
1900,35,1,7876765
1900,60,1,4027700
1900,50,2,2672188
1900,85,1,1892868
1900,0,1,695424
1900,30,1,11635647
1900,55,1,1691717
1900,65,2,1503825
1900,40,2,5270780
1900,40,1,447119
1900,55,2,1745932
1900,65,2,633696
1900,20,2,113989
1900,55,2,3451795
1900,15,2,3684394
1900,0,2,6891859
1900,90,2,11158557
1900,60,1,2257257
1900,25,2,3964095
1900,30,2,3386215
1900,30,2,4591197
1900,55,1,11358445
1900,80,1,7897629
1900,20,1,4249410
1900,55,1,2455953
1900,85,1,1970846
1900,70,2,5536540
1900,80,1,1502800
1900,5,2,7989587
1900,40,1,100717
1900,0,2,2638115
1900,70,2,2082066
1900,80,2,755249
1900,60,2,2821140
1900,35,2,2832695
1900,5,1,1381807
1900,35,2,340236
1900,70,1,9213016
1900,35,2,2725862
1910,85,1,81726
1910,40,2,379572
1910,50,1,3374106
1910,20,1,1318643
1910,65,2,11237278
1910,60,2,1609593
1910,85,1,7271648
1910,25,2,4947128
1910,5,2,3572444
1910,30,1,106596
1910,10,1,3957324
1910,70,2,2716119
1910,20,2,1218014
1910,30,1,1018490
1910,85,2,161170
1910,5,1,52849
1910,10,2,2093231
1910,10,2,1345663
1910,0,2,11635647
1910,40,2,4186864
1910,15,1,6463520
1910,10,1,2310406
1910,30,1,3934070
1910,0,2,11225151
1910,55,2,1165565
1910,15,2,4830862
1910,80,1,1072194
1910,30,1,2766745
1910,10,2,10185618
1910,45,1,59045
1910,35,1,610992
1910,25,2,777332
1910,70,2,7576992
1910,10,2,279578
1910,35,1,2801905
1910,35,2,1880460
1910,50,2,4640045
1910,85,2,1961845
1910,0,1,11635647
1910,75,1,1323613
1910,70,2,3671050
1910,75,1,3781042
1920,30,1,1996663
1920,30,2,1660232
1920,10,2,716308
1920,55,2,294707
1920,80,2,2731491
1920,50,1,3463290
1920,45,1,324169
1920,75,2,3082263
1920,75,2,96552
1920,75,2,2050442
1920,20,2,4956815
1920,70,2,2318266
1920,35,2,3281008
1920,45,2,323614
1920,25,1,7313320
1920,0,1,282764
1920,0,2,3466501
1920,45,2,8996372
1920,15,1,1910714
1920,85,2,117554
1920,0,2,86191
1920,30,2,3338698
1920,75,1,2864778
1920,10,1,1867350
1920,70,1,1946214
1920,85,2,3757291
1920,0,1,409013
1920,30,2,1414101
1920,80,1,131577
1920,25,2,921008
1920,55,2,2097700
1920,45,2,27364
1920,85,1,652769
1920,5,2,4532765
1920,90,2,2942133
1920,30,2,522220
1920,10,1,2782710
1920,25,1,2336038
1920,15,2,2496686
1920,15,1,4835287
1920,25,2,2390716
1920,70,1,107928
1930,45,2,4886746
1930,80,1,1705145
1930,85,1,4455366
1930,70,1,387916
1930,25,1,1739162
1930,15,2,1400846
1930,45,2,3541229
1930,10,2,8092470
1930,40,1,1814533
1930,65,1,1489746
1930,60,1,2700546
1930,30,2,98417
1930,85,2,2674340
1930,30,2,2848645
1930,55,1,7909658
1930,65,1,2536904
1930,15,1,223607
1930,85,1,1573555
1930,5,1,4893438
1930,70,1,2530308
1930,5,2,670942
1930,65,2,333118
1930,65,2,2006214
1930,5,1,3860640
1930,20,1,2592679
1930,5,1,10640995
1930,35,2,2611986
1930,45,2,7290310
1930,85,1,359977
1930,90,2,1136323
1930,65,2,659400
1930,65,2,153783
1930,80,1,5781605
1930,60,1,2949942
1930,70,2,3989678
1930,90,1,1673350
1930,15,1,4130291
1940,30,2,776345
1940,25,2,1896284
1940,30,1,254892
1940,65,1,1377788
1940,45,1,4234829
1940,20,2,96941
1940,40,2,1785141
1940,30,2,1841021
1940,35,2,11581856
1940,30,2,3115090
1940,90,1,124894
1940,25,2,5104954
1940,85,2,3463205
1940,40,2,205037
1940,40,1,11635647
1940,15,1,2021168
1940,30,2,99700
1940,65,1,4178109
1940,70,2,5325542
1940,90,2,1365112
1940,5,1,1741122
1940,90,1,1543122
1940,40,2,1895545
1940,65,2,1321303
1940,5,2,9859118
1940,35,2,1229018
1940,70,2,2341638
1940,20,2,1210708
1940,0,2,8184802
1940,20,2,23249
1950,55,2,2881878
1950,55,2,9231646
1950,5,2,2870122
1950,80,2,5448889
1950,0,1,3936058
1950,45,1,4685648
1950,50,2,2131303
1950,65,2,2034367
1950,45,2,1083543
1950,55,1,5832713
1950,0,1,2043996
1950,80,2,4096399
1950,5,1,711126
1950,80,1,4205794
1950,30,2,1737809
1950,45,1,2986626
1950,40,1,1373904
1950,40,1,903715
1950,15,2,1917397
1950,0,1,4700189
1950,10,2,294506
1950,0,2,9743560
1950,70,2,382272
1950,55,2,5088436
1950,60,2,817120
1950,40,2,4462112
1950,5,2,8660561
1950,55,1,530635
1950,40,2,3175362
1950,45,2,1154317
1950,45,1,1680763
1950,90,2,4381980
1950,85,1,4023499
1960,85,1,5119499
1960,60,2,8383152
1960,45,2,302960
1960,50,2,966323
1960,25,1,10011566
1960,30,2,2375945
1960,70,2,818121
1960,5,2,4513226
1960,5,2,3785241
1960,75,1,2237627
1960,55,2,5844890
1960,35,2,10904407
1960,70,2,1238007
1960,90,1,1994254
1960,85,1,259053
1960,15,2,6212338
1960,10,2,4745527
1960,70,1,244284
1960,40,1,2968579
1960,45,2,1125682
1960,25,1,5628439
1960,5,2,4683181
1960,35,2,1708179
1960,85,2,5825410
1960,80,2,7476993
1960,85,1,4806492
1960,15,2,1126528
1960,90,2,6035656
1960,75,1,1081437
1960,20,1,4803464
1960,20,1,665685
1960,85,2,2690369
1960,20,1,428653
1960,55,2,1234746
1960,5,2,3873728
1960,75,2,846444
1970,35,1,246065
1970,50,2,3378939
1970,90,2,1624371
1970,50,2,613978
1970,85,1,1153332
1970,0,2,1569306
1970,35,1,3305220
1970,80,2,2092598
1970,25,2,692072
1970,85,2,2222358
1970,30,2,11635647
1970,45,2,67754
1970,60,1,3959144
1970,10,1,11635647
1970,50,2,3200504
1970,0,2,2596757
1970,80,2,1980085
1970,5,2,3839937
1970,85,1,1881958
1970,0,1,490159
1970,75,1,4711258
1970,55,2,2489293
1970,55,1,2509333
1970,80,1,321469
1970,65,1,1193499
1970,60,2,773005
1970,40,2,1000029
1970,40,1,5152810
1970,65,1,54799
1970,30,2,1421483
1970,30,2,6547348
1970,20,2,2742503
1970,50,2,9291118
1970,65,1,3480061
1970,40,1,92772
1970,0,2,818898
1970,50,2,3757191
1970,70,1,3064567
1980,60,2,77362
1980,15,2,205527
1980,90,2,823637
1980,20,1,115840
1980,65,2,95336
1980,55,2,3453480
1980,20,1,7579134
1980,75,1,10059112
1980,65,1,5578219
1980,0,1,6720449
1980,70,1,212135
1980,50,1,1175332
1980,80,2,1659594
1980,40,1,1047699
1980,70,2,4788916
1980,10,1,1383722
1980,65,2,4290166
1980,30,1,1100347
1980,5,1,4559754
1980,30,2,1297993
1980,35,1,6135963
1980,40,2,3575740
1980,60,1,6043424
1980,15,1,282057
1980,55,1,9078541
1980,15,2,3715601
1980,40,2,1861618
1980,60,2,7469882
1980,20,1,3423829
1980,75,2,6433037
1980,65,1,7677182
1980,0,2,1248068
1980,50,2,232667
1980,35,1,6010479
1980,15,1,702727
1980,90,1,657705
1990,80,1,3829116
1990,45,2,11635647
1990,25,2,568014
1990,40,2,160685
1990,65,2,2319809
1990,90,2,1333968
1990,75,1,1842465
1990,30,1,1726416
1990,20,2,1645285
1990,75,2,692172
1990,40,2,2311544
1990,30,2,1800835
1990,35,2,1188621
1990,55,1,5894344
1990,50,2,2296042
1990,30,2,1591963
1990,5,2,3093171
1990,50,2,1585831
1990,50,2,2967329
1990,90,2,1524363
1990,0,1,1795619
1990,15,1,9324401
1990,25,2,2545502
1990,25,2,1348881
1990,5,2,3243450
1990,65,2,5369983
1990,5,1,2519604
1990,15,2,6429269
1990,90,1,4720297
1990,90,2,11635647
1990,65,1,653410
1990,10,2,2693178
1990,15,2,1985662
1990,20,2,3385679
2000,50,2,6161208
2000,80,2,2782037
2000,60,2,670335
2000,35,2,5431998
2000,35,2,2376075
2000,0,2,1699241
2000,20,1,1473620
2000,55,1,778554
2000,10,2,6203812
2000,5,1,3019590
2000,10,2,5855900
2000,45,1,3557043
2000,30,1,287410
2000,55,2,557717
2000,15,1,9740436
2000,0,1,9281648
2000,5,2,11635647
2000,25,1,293187
2000,20,2,3467076
2000,70,2,2076362
2000,45,1,5549848
2000,10,1,4533295
2000,15,2,1478876
2000,70,1,5087149
2000,70,1,9048443
2000,85,1,982086
2000,55,2,1298158
2000,40,1,599610
2000,45,2,216873
2000,55,1,225155
2000,60,2,7584440
2000,50,1,1791185
