Rank,Major_code,Major,Total,Men,Women,Major_category,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
1.0,2321.0,BUSINESS ECONOMICS,51076.0,3200.0,183.0,Engineering,0.406581845,62.0,24141.0,7277.0,1596.0,1805.0,393.0,0.056461331,54111.0,34565.0,125000.0,4765.0,14000.0,241.0
1.0,2840.0,FORESTRY,2056.0,266.0,1488.0,Engineering,0.361963901,42.0,6705.0,124252.0,377.0,2568.0,355.0,0.023792212,69042.0,41768.0,70080.0,4668.0,2255.0,1664.0
3.0,2466.0,MECHANICAL ENGINEERING,28977.0,14412.0,3954.0,Engineering,0.330870301,60.0,11545.0,17344.0,262.0,6466.0,47.0,0.118736081,53371.0,42908.0,77850.0,2657.0,4219.0,113.0
3.0,2392.0,COUNSELING PSYCHOLOGY,7380.0,1749.0,5335.0,Engineering,0.112589258,149.0,13902.0,6592.0,146.0,798.0,129.0,0.029317409,54974.0,49438.0,70876.0,4112.0,190.0,172.0
4.0,2130.0,MISCELLANEOUS AGRICULTURE,7140.0,1508.0,886.0,Engineering,0.29516598,2.0,9752.0,13019.0,370.0,11941.0,204.0,0.043442927,50074.0,36798.0,59447.0,9458.0,750.0,190.0
4.0,2469.0,INTERCULTURAL AND INTERNATIONAL STUDIES,86375.0,10584.0,912.0,Engineering,0.220402497,37.0,5201.0,6267.0,506.0,1904.0,16.0,0.041755181,51947.0,38089.0,77314.0,2123.0,190.0,5.0
5.0,2460.0,ART AND MUSIC EDUCATION,11641.0,1789.0,8888.0,Engineering,0.31146741,183.0,12208.0,27733.0,2671.0,5059.0,3378.0,0.093922729,49952.0,47333.0,77033.0,421.0,3928.0,592.0
5.0,2948.0,CHEMISTRY,8830.0,638.0,5277.0,Engineering,0.356917029,27.0,12259.0,105425.0,942.0,19270.0,622.0,0.115589574,74951.0,36869.0,125000.0,2864.0,1287.0,166.0
6.0,2173.0,COMMUNICATION TECHNOLOGIES,5833.0,3963.0,1713.0,Engineering,0.191029605,25.0,15477.0,17922.0,1555.0,8838.0,154.0,0.02605539,52661.0,28518.0,65656.0,3043.0,6290.0,908.0
6.0,3134.0,APPLIED MATHEMATICS,23977.0,12637.0,71.0,Engineering,0.109744728,215.0,40744.0,5347.0,2476.0,3868.0,1927.0,0.079610186,51173.0,35140.0,86064.0,22539.0,2685.0,111.0
