Date,Extent
1980-01-02,10.969
1980-01-03,9.071
1980-01-03,13.48
1980-01-04,14.489
1980-01-06,13.948
1980-01-10,12.358
1980-01-10,14.606
1980-01-11,15.487
1980-01-12,14.561
1980-01-13,5.066
1980-01-13,11.283
1980-01-14,3.768
1980-01-14,4.877
1980-01-15,6.647
1980-01-16,13.105
1980-01-17,11.064
1980-01-17,7.125
1980-01-18,10.6
1980-01-19,15.645
1980-01-21,15.391
1980-01-22,14.003
1980-01-25,15.12
1980-01-25,3.462
1980-01-26,11.288
1980-01-27,9.026
1980-01-29,10.02
1980-01-31,4.3
1980-02-03,7.201
1980-02-04,15.543
1980-02-05,8.429
1980-02-06,7.008
1980-02-08,8.666
1980-02-10,5.487
1980-02-11,13.095
1980-02-14,12.78
1980-02-14,9.26
1980-02-15,9.367
1980-02-15,10.483
1980-02-17,9.96
1980-02-17,11.01
1980-02-19,15.277
1980-02-26,7.862
1980-02-26,4.753
1980-02-26,11.479
1980-02-28,14.425
1980-02-28,15.762
1980-02-28,4.031
1980-02-28,8.272
1980-02-29,6.883
1980-02-29,15.233
1980-02-29,8.765
1980-03-02,14.113
1980-03-02,13.041
1980-03-06,13.646
1980-03-07,15.591
1980-03-09,11.538
1980-03-10,13.492
1980-03-12,10.147
1980-03-13,9.167
1980-03-14,12.032
1980-03-14,4.381
1980-03-19,12.091
1980-03-20,9.851
1980-03-21,3.75
1980-03-23,14.342
1980-03-23,6.747
1980-03-23,9.953
1980-03-25,7.012
1980-03-27,12.383
1980-03-30,13.856
1980-03-30,12.499
1980-03-31,3.996
1980-04-01,8.284
1980-04-04,4.723
1980-04-05,12.96
1980-04-06,12.068
1980-04-08,16.107
1980-04-09,8.671
1980-04-09,12.484
1980-04-09,8.265
1980-04-10,15.6
1980-04-13,6.549
1980-04-14,7.88
1980-04-15,7.09
1980-04-15,9.791
1980-04-15,15.397
1980-04-16,10.28
1980-04-16,6.912
1980-04-17,4.201
1980-04-17,10.792
1980-04-17,9.372
1980-04-17,4.615
1980-04-18,10.034
1980-04-21,13.875
1980-04-21,5.551
1980-04-22,6.039
1980-04-26,12.17
1980-04-26,3.418
1980-04-28,3.425
1980-05-02,5.167
1980-05-03,12.092
1980-05-04,5.518
1980-05-07,12.072
1980-05-09,7.915
1980-05-13,12.571
1980-05-14,13.417
1980-05-14,11.64
1980-05-15,6.605
1980-05-16,15.962
1980-05-16,6.353
1980-05-20,9.101
1980-05-20,4.802
1980-05-21,11.462
1980-05-22,7.489
1980-05-23,8.58
1980-05-23,4.914
1980-05-25,6.747
1980-05-27,3.874
1980-05-27,3.627
1980-05-28,6.496
1980-05-29,12.098
1980-05-30,5.778
1980-06-01,14.307
1980-06-01,4.756
1980-06-02,7.273
1980-06-05,10.184
1980-06-05,9.881
1980-06-06,7.149
1980-06-10,3.409
1980-06-15,10.044
1980-06-15,4.095
1980-06-18,8.192
1980-06-18,5.774
1980-06-19,13.534
1980-06-22,13.584
1980-06-22,8.704
1980-06-24,14.343
1980-06-26,9.051
1980-06-27,6.617
1980-06-28,9.536
1980-07-03,11.09
1980-07-03,15.121
1980-07-03,9.255
1980-07-05,14.403
1980-07-05,4.893
1980-07-08,7.143
1980-07-09,12.552
1980-07-11,5.344
1980-07-14,14.273
1980-07-20,10.169
1980-07-23,9.785
1980-07-24,8.243
1980-07-24,11.223
1980-07-24,15.339
1980-07-25,10.44
1980-07-26,12.41
1980-07-29,14.872
1980-07-29,11.387
1980-07-31,5.605
1980-07-31,7.558
1980-07-31,9.437
1980-08-02,13.234
1980-08-03,5.955
1980-08-03,9.411
1980-08-06,13.019
1980-08-06,9.395
1980-08-08,7.144
1980-08-09,9.897
1980-08-10,15.738
1980-08-12,15.744
1980-08-13,11.492
1980-08-13,11.35
1980-08-14,7.262
1980-08-15,14.642
1980-08-17,5.666
1980-08-18,5.991
1980-08-21,5.756
1980-08-21,5.29
1980-08-21,11.496
1980-08-22,4.61
1980-08-25,3.459
1980-08-26,13.434
1980-08-27,14.373
1980-08-30,6.454
1980-08-31,4.695
1980-09-01,16.137
1980-09-04,11.12
1980-09-04,12.772
1980-09-05,5.205
1980-09-05,3.561
1980-09-07,6.817
1980-09-08,10.764
1980-09-09,13.373
1980-09-10,10.564
1980-09-12,3.458
1980-09-14,4.996
1980-09-14,5.23
1980-09-15,14.222
1980-09-16,9.884
1980-09-17,8.881
1980-09-17,6.125
1980-09-18,11.071
1980-09-20,10.543
1980-09-20,5.702
1980-09-21,11.071
1980-09-24,16.105
1980-09-26,8.696
1980-09-27,6.246
1980-09-28,6.796
1980-09-28,10.112
1980-09-30,15.242
1980-10-01,14.696
1980-10-02,13.889
1980-10-03,3.947
1980-10-04,10.751
1980-10-05,3.734
1980-10-05,6.246
1980-10-07,11.726
1980-10-08,14.496
1980-10-10,7.476
1980-10-12,12.524
1980-10-13,15.058
1980-10-15,7.139
1980-10-15,7.743
1980-10-18,14.171
1980-10-18,11.503
1980-10-19,6.741
1980-10-24,13.774
1980-10-25,5.231
1980-10-25,12.096
1980-10-27,6.676
1980-10-28,6.077
1980-10-29,8.206
1980-10-30,15.666
1980-11-03,4.669
1980-11-08,9.412
1980-11-08,15.665
1980-11-12,5.796
1980-11-12,9.48
1980-11-15,14.299
1980-11-15,3.461
1980-11-15,13.242
1980-11-17,9.717
1980-11-19,12.764
1980-11-20,12.453
1980-11-22,15.715
1980-11-22,9.097
1980-11-22,5.304
1980-11-22,4.386
1980-11-23,7.743
1980-11-23,16.206
1980-11-25,4.359
1980-11-25,8.761
1980-11-26,15.283
1980-11-26,14.812
1980-11-27,13.481
1980-11-29,16.179
1980-11-30,7.176
1980-11-30,7.642
1980-12-02,16.346
1980-12-03,8.223
1980-12-03,12.031
1980-12-03,13.924
1980-12-06,6.126
1980-12-07,3.505
1980-12-08,12.596
1980-12-10,7.295
1980-12-11,13.767
1980-12-11,12.206
1980-12-11,11.451
1980-12-12,4.956
1980-12-12,11.789
1980-12-14,9.928
1980-12-15,12.927
1980-12-15,15.807
1980-12-17,9.047
1980-12-20,9.935
1980-12-24,8.278
1980-12-24,12.757
1980-12-28,15.078
1980-12-31,4.966
1981-01-09,3.697
1981-01-09,4.968
1981-01-12,8.352
1981-01-13,11.753
1981-01-15,8.462
1981-01-16,7.945
1981-01-16,4.307
1981-01-18,9.638
1981-01-18,9.543
1981-01-18,9.908
1981-01-19,13.921
1981-01-19,11.816
1981-01-20,3.758
1981-01-21,5.308
1981-01-21,5.356
1981-01-23,7.656
1981-01-23,14.398
1981-01-28,8.56
1981-01-28,8.253
1981-01-28,5.366
1981-01-29,8.863
1981-01-31,14.306
1981-01-31,6.833
1981-01-31,8.692
1981-01-31,4.775
1981-02-01,12.36
1981-02-01,5.032
1981-02-03,13.09
1981-02-05,8.464
1981-02-07,14.423
1981-02-07,12.151
1981-02-08,8.255
1981-02-10,12.784
1981-02-12,11.58
1981-02-12,15.599
1981-02-12,10.219
1981-02-13,11.693
1981-02-14,10.362
1981-02-18,10.281
1981-02-19,15.102
1981-02-20,8.122
1981-02-20,14.891
1981-02-21,3.668
1981-02-21,15.241
1981-02-22,9.008
1981-02-23,13.235
1981-02-23,15.01
1981-02-24,9.227
1981-02-25,4.639
1981-02-25,13.17
1981-02-25,4.907
1981-02-26,11.699
1981-02-26,6.283
1981-02-26,11.793
1981-02-26,9.013
1981-03-01,8.418
1981-03-01,12.399
1981-03-04,11.072
1981-03-06,5.665
1981-03-06,13.664
1981-03-11,15.721
1981-03-13,14.181
1981-03-15,12.853
1981-03-16,11.113
1981-03-16,11.534
1981-03-18,10.483
1981-03-19,6.272
1981-03-19,13.301
1981-03-20,12.816
1981-03-21,9.946
1981-03-23,9.748
1981-03-24,10.616
1981-03-25,12.231
1981-03-28,7.241
1981-03-28,12.775
1981-03-29,11.21
1981-03-30,6.98
1981-03-31,9.71
1981-04-01,5.134
1981-04-01,9.847
1981-04-02,6.904
1981-04-03,11.996
1981-04-03,3.687
1981-04-05,4.518
1981-04-06,6.434
1981-04-06,10.205
1981-04-07,7.063
1981-04-09,8.068
1981-04-12,12.539
1981-04-13,13.253
1981-04-13,5.891
1981-04-15,12.598
1981-04-15,7.842
1981-04-16,15.478
1981-04-17,13.558
1981-04-17,5.803
1981-04-18,11.123
1981-04-19,12.584
1981-04-21,3.851
1981-04-24,4.384
1981-04-25,10.254
1981-04-26,4.937
1981-04-27,13.257
1981-04-28,3.854
1981-04-30,7.116
1981-05-01,5.028
1981-05-01,5.699
1981-05-02,5.623
1981-05-02,12.852
1981-05-02,6.083
1981-05-04,10.312
1981-05-05,3.614
1981-05-06,10.93
1981-05-06,13.355
1981-05-08,10.462
1981-05-08,12.35
1981-05-09,4.716
1981-05-11,4.701
1981-05-12,3.932
1981-05-12,13.21
1981-05-12,7.275
1981-05-13,11.265
1981-05-18,8.456
1981-05-18,12.729
1981-05-18,9.483
1981-05-19,15.481
1981-05-19,4.13
1981-05-19,9.424
1981-05-20,15.207
1981-05-21,5.468
1981-05-24,3.702
1981-05-24,10.547
1981-05-24,3.351
1981-05-26,11.284
1981-05-28,8.857
1981-05-30,7.236
1981-05-31,7.4
1981-06-01,15.6
1981-06-02,12.961
1981-06-02,9.746
1981-06-08,12.842
1981-06-08,15.781
1981-06-10,15.167
1981-06-14,12.132
1981-06-15,4.196
1981-06-15,8.22
1981-06-18,8.632
1981-06-19,10.846
1981-06-19,3.59
1981-06-20,6.93
1981-06-20,6.595
1981-06-21,9.48
1981-06-24,12.526
1981-06-25,8.65
1981-06-25,9.46
1981-06-28,12.314
1981-06-28,6.053
1981-07-02,7.675
1981-07-02,9.166
1981-07-03,4.698
1981-07-05,7.628
1981-07-06,13.52
1981-07-06,14.253
1981-07-06,13.485
1981-07-08,16.194
1981-07-08,12.135
1981-07-08,13.815
1981-07-08,12.662
1981-07-09,3.37
1981-07-10,11.857
1981-07-12,12.992
1981-07-12,5.62
1981-07-13,11.386
1981-07-14,14.541
1981-07-17,12.031
1981-07-23,3.907
1981-07-25,9.849
1981-07-29,13.569
1981-07-30,6.757
1981-07-30,15.124
1981-07-31,5.556
1981-08-02,13.612
1981-08-02,11.362
1981-08-03,6.698
1981-08-09,14.089
1981-08-09,3.445
1981-08-09,9.697
1981-08-10,7.991
1981-08-11,6.343
1981-08-11,5.736
1981-08-12,4.641
1981-08-12,12.503
1981-08-13,12.211
1981-08-13,13.305
1981-08-13,7.84
1981-08-13,6.866
1981-08-14,6.342
1981-08-15,4.889
1981-08-15,14.785
1981-08-16,4.282
1981-08-19,15.598
1981-08-19,15.915
1981-08-21,10.099
1981-08-24,10.679
1981-08-25,7.688
1981-08-26,7.632
1981-08-26,4.677
1981-08-27,14.416
1981-08-28,4.191
1981-08-29,7.323
1981-08-29,9.34
1981-08-30,4.551
1981-08-30,10.004
1981-08-31,7.685
1981-09-01,15.095
1981-09-01,13.164
1981-09-04,11.396
1981-09-04,14.122
1981-09-05,6.212
1981-09-06,11.463
1981-09-07,11.872
1981-09-07,11.693
1981-09-09,6.129
1981-09-10,10.246
1981-09-14,8.988
1981-09-14,7.367
1981-09-14,12.578
1981-09-15,8.484
1981-09-18,8.821
1981-09-19,14.141
1981-09-20,11.12
1981-09-20,15.665
1981-09-24,11.676
1981-09-25,16.13
1981-09-25,8.793
1981-09-28,5.561
1981-09-30,4.064
1981-09-30,5.342
1981-10-01,11.717
1981-10-01,5.724
1981-10-02,15.816
1981-10-04,9.613
1981-10-05,16.253
1981-10-06,14.721
1981-10-06,9.961
1981-10-06,7.484
1981-10-06,13.436
1981-10-08,3.825
1981-10-08,10.579
1981-10-10,11.973
1981-10-11,7.67
1981-10-12,4.143
1981-10-14,16.224
1981-10-15,13.786
1981-10-15,4.885
1981-10-16,8.7
1981-10-16,12.866
1981-10-17,8.879
1981-10-19,13.721
1981-10-19,15.421
1981-10-21,14.333
1981-10-21,15.036
1981-10-23,7.852
1981-10-23,15.763
1981-10-25,16.245
1981-10-25,12.891
1981-10-26,12.49
1981-10-27,13.849
1981-10-28,7.289
1981-10-29,6.021
1981-10-29,5.359
1981-11-01,4.142
1981-11-01,16.245
1981-11-01,11.871
1981-11-02,13.039
1981-11-02,13.282
1981-11-02,7.568
1981-11-04,3.602
1981-11-05,4.027
1981-11-06,4.734
1981-11-08,3.925
1981-11-08,10.929
1981-11-12,8.368
1981-11-14,6.983
1981-11-14,15.041
1981-11-14,6.269
1981-11-15,4.781
1981-11-17,13.785
1981-11-18,3.646
1981-11-19,7.03
1981-11-20,10.587
1981-11-21,5.945
1981-11-21,4.053
1981-11-22,5.651
1981-11-24,13.522
1981-11-27,14.802
1981-12-01,4.076
1981-12-01,13.379
1981-12-03,8.321
1981-12-03,6.542
1981-12-06,9.298
1981-12-06,5.382
1981-12-06,4.931
1981-12-07,4.793
1981-12-09,12.18
1981-12-10,8.239
1981-12-11,16.384
1981-12-11,7.004
1981-12-11,6.507
1981-12-12,6.925
1981-12-16,16.25
1981-12-16,10.326
1981-12-18,6.293
1981-12-18,15.624
1981-12-19,14.606
1981-12-19,10.153
1981-12-19,5.443
1981-12-20,9.764
1981-12-21,15.04
1981-12-22,5.915
1981-12-23,8.299
1981-12-23,13.214
1981-12-24,7.136
1981-12-24,9.653
1981-12-24,12.09
1981-12-25,13.307
1981-12-26,13.654
1981-12-26,12.404
1981-12-28,14.995
1981-12-30,12.384
1982-01-04,4.299
1982-01-05,6.103
1982-01-06,5.573
1982-01-06,5.7
1982-01-06,8.274
1982-01-07,8.267
1982-01-07,5.942
1982-01-08,11.174
1982-01-08,13.88
1982-01-08,14.88
1982-01-08,15.744
1982-01-10,11.476
1982-01-11,13.305
1982-01-14,4.081
1982-01-16,15.889
1982-01-18,6.702
1982-01-18,4.136
1982-01-21,4.825
1982-01-21,8.85
1982-01-21,14.444
1982-01-22,6.611
1982-01-22,12.972
1982-01-25,4.74
1982-01-27,15.53
1982-01-28,4.94
1982-01-29,11.892
1982-01-29,14.014
1982-01-29,7.065
1982-01-30,5.377
1982-01-30,5.961
1982-02-01,12.839
1982-02-02,4.027
1982-02-02,8.103
1982-02-05,9.114
1982-02-06,4.018
1982-02-08,11.006
1982-02-11,6.149
1982-02-12,9.758
