Date,Extent
1980-01-01,12.803
1980-01-02,11.445
1980-01-03,3.601
1980-01-04,16.271
1980-01-05,4.836
1980-01-06,10.616
1980-01-07,15.373
1980-01-08,12.427
1980-01-09,4.304
1980-01-10,7.403
1980-01-11,4.066
1980-01-12,6.692
1980-01-13,7.944
1980-01-14,10.208
1980-01-15,12.356
1980-01-16,7.724
1980-01-17,16.084
1980-01-18,9.278
1980-01-19,10.742
1980-01-20,3.562
1980-01-21,5.837
1980-01-22,15.05
1980-01-23,7.772
1980-01-24,14.335
1980-01-25,13.671
1980-01-26,5.364
1980-01-27,10.172
1980-01-28,7.295
1980-01-29,13.79
1980-01-30,10.926
1980-01-31,4.169
1980-02-01,4.937
1980-02-02,5.851
1980-02-03,13.369
1980-02-04,7.732
1980-02-05,10.689
1980-02-06,9.169
1980-02-07,12.838
1980-02-08,5.777
1980-02-09,6.272
1980-02-10,8.154
1980-02-11,16.372
1980-02-12,11.428
1980-02-13,14.533
1980-02-14,8.46
1980-02-15,15.194
1980-02-16,14.243
1980-02-17,12.52
1980-02-18,7.647
1980-02-19,13.592
1980-02-20,4.838
1980-02-21,3.507
1980-02-22,15.832
1980-02-23,14.767
1980-02-24,13.501
1980-02-25,16.218
1980-02-26,9.097
1980-02-27,15.427
1980-02-28,13.764
1980-02-29,11.363
1980-03-01,13.988
1980-03-02,13.462
1980-03-03,15.235
1980-03-04,6.524
1980-03-05,11.188
1980-03-06,7.939
1980-03-07,8.996
1980-03-08,15.183
1980-03-09,5.183
1980-03-10,9.625
1980-03-11,11.956
1980-03-12,11.228
1980-03-13,15.29
1980-03-14,8.551
1980-03-15,3.457
1980-03-16,11.784
1980-03-17,10.817
1980-03-18,12.318
1980-03-19,15.045
1980-03-20,12.404
1980-03-21,16.124
1980-03-22,5.231
1980-03-23,5.454
1980-03-24,9.229
1980-03-25,3.944
1980-03-26,4.409
1980-03-27,4.044
1980-03-28,3.702
1980-03-29,10.223
1980-03-30,4.655
1980-03-31,8.778
1980-04-01,5.864
1980-04-02,9.866
1980-04-03,16.273
1980-04-04,4.277
1980-04-05,13.892
1980-04-06,10.502
1980-04-07,10.063
1980-04-08,6.027
1980-04-09,7.028
1980-04-10,11.683
1980-04-11,7.937
1980-04-12,12.789
1980-04-13,7.241
1980-04-14,5.881
1980-04-15,8.797
1980-04-16,16.049
1980-04-17,8.549
1980-04-18,15.525
1980-04-19,10.532
1980-04-20,14.259
1980-04-21,4.715
1980-04-22,11.459
1980-04-23,16.385
1980-04-24,6.47
1980-04-25,15.901
1980-04-26,7.975
1980-04-27,12.068
1980-04-28,4.832
1980-04-29,6.206
1980-04-30,6.94
1980-05-01,14.493
1980-05-02,4.407
1980-05-03,9.598
1980-05-04,15.757
1980-05-05,6.057
1980-05-06,15.351
1980-05-07,15.887
1980-05-08,11.569
1980-05-09,6.787
1980-05-10,15.122
1980-05-11,3.572
1980-05-12,15.18
1980-05-13,6.937
1980-05-14,7.331
1980-05-15,4.061
1980-05-16,12.723
1980-05-17,7.723
1980-05-18,10.691
1980-05-19,9.618
1980-05-20,9.973
1980-05-21,8.93
1980-05-22,9.989
1980-05-23,12.139
1980-05-24,9.797
1980-05-25,10.505
1980-05-26,6.166
1980-05-27,6.862
1980-05-28,9.123
1980-05-29,10.669
1980-05-30,8.678
1980-05-31,4.306
1980-06-01,9.771
1980-06-02,14.222
1980-06-03,5.635
1980-06-04,6.169
1980-06-05,3.69
1980-06-06,15.354
1980-06-07,7.571
1980-06-08,4.603
1980-06-09,13.614
1980-06-10,7.525
1980-06-11,13.505
1980-06-12,10.83
1980-06-13,5.865
1980-06-14,6.926
1980-06-15,13.895
1980-06-16,13.927
1980-06-17,16.278
1980-06-18,13.271
1980-06-19,3.796
1980-06-20,8.748
1980-06-21,7.635
1980-06-22,6.958
1980-06-23,14.451
1980-06-24,14.881
1980-06-25,4.911
1980-06-26,13.399
1980-06-27,12.706
1980-06-28,6.62
1980-06-29,13.778
1980-06-30,3.887
1980-07-01,4.08
1980-07-02,11.923
1980-07-03,4.909
1980-07-04,4.603
1980-07-05,14.944
1980-07-06,8.402
1980-07-07,10.526
1980-07-08,7.786
1980-07-09,13.293
1980-07-10,14.878
1980-07-11,8.671
1980-07-12,11.325
1980-07-13,11.559
1980-07-14,13.382
1980-07-15,11.37
1980-07-16,13.896
1980-07-17,13.592
1980-07-18,7.386
1980-07-19,16.307
1980-07-20,13.863
1980-07-21,5.491
1980-07-22,15.394
1980-07-23,7.499
1980-07-24,12.111
1980-07-25,4.651
1980-07-26,11.254
1980-07-27,3.952
1980-07-28,10.81
1980-07-29,3.645
1980-07-30,6.075
1980-07-31,7.545
1980-08-01,9.776
1980-08-02,6.18
1980-08-03,14.734
1980-08-04,10.713
1980-08-05,11.083
1980-08-06,6.748
1980-08-07,9.11
1980-08-08,12.754
1980-08-09,7.981
1980-08-10,10.636
1980-08-11,12.926
1980-08-12,12.91
1980-08-13,16.051
1980-08-14,15.417
1980-08-15,15.75
1980-08-16,15.808
1980-08-17,11.629
1980-08-18,15.225
1980-08-19,16.142
1980-08-20,9.271
1980-08-21,5.98
1980-08-22,8.698
1980-08-23,14.019
1980-08-24,3.687
1980-08-25,6.697
1980-08-26,6.588
1980-08-27,5.254
1980-08-28,14.969
1980-08-29,3.381
1980-08-30,7.18
1980-08-31,8.593
1980-09-01,9.684
1980-09-02,14.236
1980-09-03,13.483
1980-09-04,5.558
1980-09-05,9.203
1980-09-06,11.71
1980-09-07,13.708
1980-09-08,12.396
1980-09-09,9.479
1980-09-10,8.759
1980-09-11,15.691
1980-09-12,11.656
1980-09-13,11.535
1980-09-14,8.155
1980-09-15,9.754
1980-09-16,6.133
1980-09-17,15.137
1980-09-18,5.897
1980-09-19,15.246
1980-09-20,10.581
1980-09-21,12.539
1980-09-22,4.423
1980-09-23,10.433
1980-09-24,3.368
1980-09-25,3.795
1980-09-26,8.577
1980-09-27,14.553
1980-09-28,3.836
1980-09-29,3.448
1980-09-30,15.05
1980-10-01,11.808
1980-10-02,7.555
1980-10-03,9.223
1980-10-04,4.914
1980-10-05,3.988
1980-10-06,15.192
1980-10-07,12.429
1980-10-08,9.147
1980-10-09,15.785
1980-10-10,12.413
1980-10-11,5.05
1980-10-12,10.733
1980-10-13,12.818
1980-10-14,9.893
1980-10-15,8.582
1980-10-16,10.938
1980-10-17,12.852
1980-10-18,15.605
1980-10-19,16.236
1980-10-20,15.102
1980-10-21,10.467
1980-10-22,9.037
1980-10-23,6.259
1980-10-24,4.296
1980-10-25,13.974
1980-10-26,4.911
1980-10-27,5.782
1980-10-28,13.961
1980-10-29,7.65
1980-10-30,6.21
1980-10-31,15.968
1980-11-01,7.609
1980-11-02,9.162
1980-11-03,3.683
1980-11-04,7.567
1980-11-05,11.442
1980-11-06,4.233
1980-11-07,8.308
1980-11-08,11.065
1980-11-09,8.54
1980-11-10,16.297
1980-11-11,8.202
1980-11-12,11.93
1980-11-13,6.664
1980-11-14,9.446
1980-11-15,15.683
1980-11-16,12.881
1980-11-17,14.452
1980-11-18,4.02
1980-11-19,7.877
1980-11-20,13.357
1980-11-21,4.687
1980-11-22,14.017
1980-11-23,13.232
1980-11-24,4.02
1980-11-25,8.283
1980-11-26,8.451
1980-11-27,15.928
1980-11-28,14.599
1980-11-29,4.759
1980-11-30,13.523
1980-12-01,10.745
1980-12-02,7.362
1980-12-03,13.228
1980-12-04,10.929
1980-12-05,6.632
1980-12-06,10.331
1980-12-07,14.869
1980-12-08,10.434
1980-12-09,12.77
1980-12-10,11.693
1980-12-11,15.78
1980-12-12,8.759
1980-12-13,13.377
1980-12-14,7.448
1980-12-15,3.487
1980-12-16,5.178
1980-12-17,11.128
1980-12-18,10.271
1980-12-19,10.848
1980-12-20,8.016
1980-12-21,5.356
1980-12-22,4.09
1980-12-23,10.424
1980-12-24,5.7
1980-12-25,12.079
1980-12-26,14.942
1980-12-27,9.845
1980-12-28,15.399
1980-12-29,12.611
1980-12-30,12.417
1980-12-31,11.608
1981-01-01,10.38
1981-01-02,8.486
1981-01-03,13.425
1981-01-04,13.158
1981-01-05,5.098
1981-01-06,14.689
1981-01-07,5.641
1981-01-08,13.154
1981-01-09,8.018
1981-01-10,14.21
1981-01-11,11.943
1981-01-12,10.909
1981-01-13,6.843
1981-01-14,6.17
1981-01-15,6.401
1981-01-16,7.024
1981-01-17,13.046
1981-01-18,5.58
1981-01-19,10.983
1981-01-20,6.771
1981-01-21,10.352
1981-01-22,16.24
1981-01-23,16.256
1981-01-24,12.612
1981-01-25,12.93
1981-01-26,12.238
1981-01-27,13.946
1981-01-28,11.015
1981-01-29,5.525
1981-01-30,3.484
1981-01-31,13.99
1981-02-01,15.67
1981-02-02,10.329
1981-02-03,3.433
1981-02-04,4.119
1981-02-05,4.888
1981-02-06,11.145
1981-02-07,12.922
1981-02-08,12.22
1981-02-09,15.997
1981-02-10,8.617
1981-02-11,12.437
1981-02-12,15.896
1981-02-13,9.008
1981-02-14,5.646
1981-02-15,9.694
1981-02-16,6.16
1981-02-17,15.104
1981-02-18,14.248
1981-02-19,7.996
1981-02-20,16.058
1981-02-21,4.56
1981-02-22,5.91
1981-02-23,7.392
1981-02-24,13.283
1981-02-25,3.593
1981-02-26,6.857
1981-02-27,9.633
1981-02-28,9.075
1981-03-01,14.921
1981-03-02,8.157
1981-03-03,11.826
1981-03-04,9.303
1981-03-05,9.225
1981-03-06,8.351
1981-03-07,7.614
1981-03-08,7.007
1981-03-09,4.294
1981-03-10,13.278
1981-03-11,14.295
1981-03-12,8.322
1981-03-13,8.663
1981-03-14,12.649
1981-03-15,10.018
1981-03-16,15.407
1981-03-17,8.825
1981-03-18,14.787
1981-03-19,5.601
1981-03-20,5.778
1981-03-21,14.075
1981-03-22,7.899
1981-03-23,10.755
1981-03-24,15.038
1981-03-25,7.453
1981-03-26,7.539
1981-03-27,11.205
1981-03-28,11.342
1981-03-29,9.094
1981-03-30,11.239
1981-03-31,4.025
1981-04-01,4.07
1981-04-02,5.182
1981-04-03,14.562
1981-04-04,3.791
1981-04-05,6.421
1981-04-06,13.151
1981-04-07,10.689
1981-04-08,11.616
1981-04-09,9.33
1981-04-10,12.294
1981-04-11,3.538
1981-04-12,10.587
1981-04-13,6.434
1981-04-14,13.09
1981-04-15,8.762
1981-04-16,15.445
1981-04-17,5.597
1981-04-18,7.478
1981-04-19,14.79
1981-04-20,8.018
1981-04-21,11.637
1981-04-22,8.105
1981-04-23,3.741
1981-04-24,9.334
1981-04-25,12.143
1981-04-26,10.716
1981-04-27,6.226
1981-04-28,9.921
1981-04-29,11.134
1981-04-30,13.683
1981-05-01,11.93
1981-05-02,16.225
1981-05-03,4.289
1981-05-04,12.464
1981-05-05,4.602
1981-05-06,12.365
1981-05-07,7.27
1981-05-08,7.293
1981-05-09,8.222
1981-05-10,15.022
1981-05-11,8.993
1981-05-12,13.514
1981-05-13,12.519
1981-05-14,12.651
1981-05-15,14.315
1981-05-16,7.531
1981-05-17,4.705
1981-05-18,5.291
1981-05-19,10.063
1981-05-20,3.874
1981-05-21,16.395
1981-05-22,6.629
1981-05-23,4.558
1981-05-24,5.155
1981-05-25,4.941
1981-05-26,6.863
1981-05-27,5.417
1981-05-28,9.753
1981-05-29,9.908
1981-05-30,3.783
1981-05-31,13.396
1981-06-01,3.651
1981-06-02,14.183
1981-06-03,4.439
1981-06-04,5.414
1981-06-05,6.866
1981-06-06,10.574
1981-06-07,12.079
1981-06-08,5.9
1981-06-09,13.801
1981-06-10,13.411
1981-06-11,16.071
1981-06-12,6.101
1981-06-13,7.072
1981-06-14,6.219
1981-06-15,5.561
1981-06-16,14.243
1981-06-17,6.925
1981-06-18,7.805
1981-06-19,13.583
1981-06-20,13.141
1981-06-21,4.821
1981-06-22,9.511
1981-06-23,12.233
1981-06-24,9.633
1981-06-25,11.975
1981-06-26,4.698
1981-06-27,7.299
1981-06-28,14.365
1981-06-29,12.538
1981-06-30,15.04
1981-07-01,5.152
1981-07-02,8.251
1981-07-03,14.213
1981-07-04,15.139
1981-07-05,12.755
1981-07-06,8.912
1981-07-07,8.598
1981-07-08,7.976
1981-07-09,7.566
1981-07-10,13.688
1981-07-11,8.29
1981-07-12,8.839
1981-07-13,4.952
1981-07-14,13.405
1981-07-15,13.777
1981-07-16,5.774
1981-07-17,4.561
1981-07-18,12.457
1981-07-19,6.13
1981-07-20,14.042
1981-07-21,10.319
1981-07-22,9.544
1981-07-23,13.041
1981-07-24,14.826
1981-07-25,10.629
1981-07-26,14.473
1981-07-27,13.65
1981-07-28,7.999
1981-07-29,3.744
1981-07-30,13.197
1981-07-31,8.199
1981-08-01,14.065
1981-08-02,3.993
1981-08-03,7.726
1981-08-04,13.981
1981-08-05,12.549
1981-08-06,10.084
1981-08-07,11.219
1981-08-08,7.336
1981-08-09,14.286
1981-08-10,5.483
1981-08-11,15.884
1981-08-12,10.241
1981-08-13,10.784
1981-08-14,7.301
1981-08-15,9.052
1981-08-16,10.059
1981-08-17,7.357
1981-08-18,15.969
1981-08-19,15.244
1981-08-20,6.675
1981-08-21,4.89
1981-08-22,15.465
1981-08-23,4.433
1981-08-24,15.658
1981-08-25,10.919
1981-08-26,6.46
1981-08-27,13.383
1981-08-28,12.96
1981-08-29,10.652
1981-08-30,16.167
1981-08-31,16.04
1981-09-01,4.08
1981-09-02,5.074
1981-09-03,8.43
1981-09-04,9.267
1981-09-05,7.713
1981-09-06,10.435
1981-09-07,16.153
1981-09-08,4.921
1981-09-09,11.196
1981-09-10,11.491
1981-09-11,9.146
1981-09-12,15.461
1981-09-13,9.142
1981-09-14,15.978
1981-09-15,13.202
1981-09-16,11.715
1981-09-17,9.237
1981-09-18,15.9
1981-09-19,8.324
1981-09-20,7.334
1981-09-21,6.977
1981-09-22,7.335
1981-09-23,12.384
1981-09-24,6.09
1981-09-25,8.416
1981-09-26,5.164
1981-09-27,5.981
1981-09-28,9.194
1981-09-29,12.345
1981-09-30,11.128
1981-10-01,11.132
1981-10-02,12.734
1981-10-03,13.278
1981-10-04,11.628
1981-10-05,14.231
1981-10-06,12.648
1981-10-07,9.226
1981-10-08,12.617
1981-10-09,10.716
1981-10-10,4.798
1981-10-11,7.313
1981-10-12,7.01
1981-10-13,14.907
1981-10-14,10.985
1981-10-15,10.527
1981-10-16,9.62
1981-10-17,13.792
1981-10-18,13.331
1981-10-19,7.219
1981-10-20,15.523
1981-10-21,14.453
1981-10-22,6.299
1981-10-23,11.977
1981-10-24,10.523
1981-10-25,15.928
1981-10-26,13.067
1981-10-27,14.312
1981-10-28,11.657
1981-10-29,3.893
1981-10-30,10.277
1981-10-31,15.973
1981-11-01,3.604
1981-11-02,7.831
1981-11-03,6.368
1981-11-04,8.315
1981-11-05,14.681
1981-11-06,9.56
1981-11-07,9.135
1981-11-08,8.005
1981-11-09,4.221
1981-11-10,3.359
1981-11-11,5.066
1981-11-12,10.048
1981-11-13,10.985
1981-11-14,15.663
1981-11-15,6.789
1981-11-16,6.558
1981-11-17,5.874
1981-11-18,5.672
1981-11-19,11.073
1981-11-20,9.577
1981-11-21,11.102
1981-11-22,11.17
1981-11-23,16.137
1981-11-24,3.713
1981-11-25,15.403
1981-11-26,3.826
1981-11-27,8.767
1981-11-28,10.172
1981-11-29,13.73
