Date,Extent
1980-01-01,3.461
1980-01-02,14.977
1980-01-03,15.368
1980-01-04,16.16
1980-01-05,3.494
1980-01-06,12.656
1980-01-07,8.37
1980-01-08,4.593
1980-01-09,9.935
1980-01-10,4.351
1980-01-11,10.439
1980-01-12,15.152
1980-01-13,5.357
1980-01-14,14.374
1980-01-15,9.208
1980-01-16,6.006
1980-01-17,6.538
1980-01-18,16.339
1980-01-19,5.971
1980-01-20,14.001
1980-01-21,4.317
1980-01-22,8.595
1980-01-23,6.66
1980-01-24,6.306
1980-01-25,8.307
1980-01-26,12.559
1980-01-27,12.735
1980-01-28,4.306
1980-01-29,6.481
1980-01-30,15.044
1980-01-31,10.461
1980-02-01,13.283
1980-02-02,9.968
1980-02-03,6.507
1980-02-04,5.055
1980-02-05,12.849
1980-02-06,16.339
1980-02-07,7.095
1980-02-08,5.001
1980-02-09,15.61
1980-02-10,7.916
1980-02-11,10.359
1980-02-12,9.884
1980-02-13,12.151
1980-02-14,11.054
1980-02-15,13.682
1980-02-16,11.207
1980-02-17,14.943
1980-02-18,9.37
1980-02-19,15.105
1980-02-20,15.538
1980-02-21,6.903
1980-02-22,14.999
1980-02-23,4.55
1980-02-24,3.633
1980-02-25,15.242
1980-02-26,14.756
1980-02-27,9.623
1980-02-28,11.659
1980-02-29,15.777
1980-03-01,11.023
1980-03-02,13.67
1980-03-03,3.347
1980-03-04,4.316
1980-03-05,5.401
1980-03-06,15.073
1980-03-07,8.563
1980-03-08,10.906
1980-03-09,12.776
1980-03-10,6.112
1980-03-11,11.358
1980-03-12,10.037
1980-03-13,14.946
1980-03-14,5.611
1980-03-15,4.116
1980-03-16,10.842
1980-03-17,13.726
1980-03-18,16.345
1980-03-19,6.974
1980-03-20,4.806
1980-03-21,4.6
1980-03-22,7.671
1980-03-23,5.765
1980-03-24,6.774
1980-03-25,9.483
1980-03-26,11.329
1980-03-27,8.885
1980-03-28,15.924
1980-03-29,10.394
1980-03-30,14.895
1980-03-31,16.006
1980-04-01,15.644
1980-04-02,13.471
1980-04-03,8.438
1980-04-04,13.089
1980-04-05,14.211
1980-04-06,13.745
1980-04-07,9.492
1980-04-08,4.789
1980-04-09,10.325
1980-04-10,9.091
1980-04-11,13.997
1980-04-12,15.52
1980-04-13,5.035
1980-04-14,11.171
1980-04-15,13.94
1980-04-16,15.19
1980-04-17,5.091
1980-04-18,14.786
1980-04-19,7.47
1980-04-20,13.013
1980-04-21,10.74
1980-04-22,11.348
1980-04-23,10.873
1980-04-24,5.058
1980-04-25,9.735
1980-04-26,16.037
1980-04-27,16.033
1980-04-28,7.822
1980-04-29,8.342
1980-04-30,12.672
1980-05-01,4.233
1980-05-02,3.509
1980-05-03,6.422
1980-05-04,3.896
1980-05-05,7.237
1980-05-06,7.083
1980-05-07,11.676
1980-05-08,8.036
1980-05-09,7.89
1980-05-10,14.085
1980-05-11,13.875
1980-05-12,15.24
1980-05-13,10.94
1980-05-14,14.649
1980-05-15,12.894
1980-05-16,13.71
1980-05-17,11.596
1980-05-18,11.002
1980-05-19,4.776
