date,pressure,temperature,wind
2010-10-18T14:28:10,1017.4,12.2,3.7
2010-01-17T21:28:53,1017.7,4.9,2.3
2010-08-16T07:31:55,1017.7,14.8,4.6
2010-09-04T13:01:11,1017.8,16.4,4.1
2010-07-05T20:27:29,1016.8,15.8,3.3
2010-07-01T20:09:31,1017.3,18.0,2.8
2010-08-20T10:09:56,1018.3,22.9,4.6
2010-12-13T15:39:46,1017.6,9.4,3.9
2010-12-22T19:42:13,1018.6,15.7,4.2
2010-04-14T23:18:01,1016.6,13.7,3.1
2010-04-04T12:37:15,1017.9,3.1,4.0
2010-11-23T20:05:18,1016.7,11.1,3.6
2010-05-24T07:21:01,1016.2,9.4,4.0
2010-12-31T19:15:01,1018.4,24.4,3.5
2010-01-15T11:35:47,1017.0,16.9,4.4
2010-07-26T23:59:46,1016.3,14.5,3.8
2010-11-06T11:02:12,1017.2,4.0,3.7
2010-07-18T00:44:25,1017.5,18.1,3.5
2010-07-26T03:14:42,1017.4,10.1,3.3
2010-07-17T09:47:25,1017.3,14.1,3.2
2010-11-27T06:05:28,1017.4,5.5,3.5
2010-12-12T11:40:41,1017.1,22.8,4.0
2010-09-10T10:22:54,1017.3,9.7,3.8
2010-07-09T02:38:15,1017.5,9.5,3.9
2010-06-29T18:53:35,1018.3,9.2,4.7
2010-05-17T06:01:34,1015.9,12.2,3.0
2010-09-04T22:13:43,1018.4,5.8,3.3
2010-10-05T06:10:38,1017.6,6.2,3.8
2010-11-05T14:38:11,1018.9,5.0,3.4
2010-01-17T19:51:12,1017.1,5.5,3.5
2010-10-25T16:26:00,1019.2,21.5,3.7
2010-05-02T15:34:45,1017.5,9.1,4.0
2010-06-30T23:46:40,1017.1,3.5,3.6
2010-08-04T12:59:25,1017.1,12.7,4.1
2010-04-30T15:48:11,1017.7,9.7,3.4
2010-11-15T10:35:08,1017.3,18.8,3.1
2010-10-18T15:54:53,1016.5,13.8,3.5
2010-06-04T03:31:44,1018.3,13.0,3.9
2010-03-16T02:03:11,1017.4,21.7,3.0
2010-12-11T10:06:08,1017.1,18.6,3.3
2010-11-15T15:30:44,1017.4,10.8,3.5
2010-11-15T16:09:11,1017.7,7.2,3.7
2010-06-12T17:10:42,1017.8,6.6,4.0
2010-01-29T12:09:13,1017.0,10.7,3.7
2010-06-01T05:55:20,1017.3,10.8,3.9
2010-05-25T10:14:48,1017.6,19.6,3.8
2010-01-01T17:27:09,1017.9,4.6,3.3
2010-06-10T20:42:59,1016.2,10.5,4.2
2010-11-18T14:27:37,1018.2,5.6,3.7
2010-05-03T00:23:25,1017.2,15.8,3.9
2010-11-22T22:24:22,1016.4,11.3,3.7
2010-10-15T23:15:20,1017.2,18.2,3.9
2010-02-10T00:58:13,1016.5,13.9,2.7
2010-01-07T22:57:59,1017.3,6.9,4.0
2010-08-21T07:16:36,1017.3,6.0,4.2
2010-11-14T05:55:25,1015.4,15.5,3.7
2010-03-02T20:40:30,1016.6,14.2,4.2
2010-03-24T15:20:23,1016.5,4.8,3.8
2010-08-05T16:28:42,1016.9,9.5,2.5
2010-01-03T16:36:56,1016.9,13.4,3.9
2010-05-05T09:53:48,1017.2,12.0,3.6
2010-04-30T16:04:46,1017.5,3.7,3.8
2010-09-23T10:52:37,1018.1,15.4,2.9
2010-09-01T14:43:12,1018.1,5.8,2.7
2010-08-01T22:38:26,1017.3,7.3,3.0
2010-10-11T16:46:49,1017.0,13.4,2.9
2010-03-28T16:13:57,1016.5,7.1,3.7
2010-09-26T21:57:06,1017.1,14.3,3.1
2010-02-23T21:09:39,1018.1,3.1,3.7
2010-11-16T05:29:17,1016.7,5.3,3.4
2010-12-22T21:57:54,1018.2,12.9,3.9
2010-09-26T13:54:51,1017.1,8.2,4.6
2010-06-05T04:07:22,1016.7,9.7,3.1
2010-05-14T22:51:29,1017.7,8.9,3.1
2010-08-08T21:00:13,1017.6,6.7,3.9
2010-03-26T10:26:57,1016.8,17.6,3.5
2010-08-31T13:58:46,1018.1,10.2,4.7
