date,price
Jun 1 2000,820.35
Nov 1 2004,1084.65
May 1 2009,1233.66
Aug 1 2000,1175.79
Mar 1 2004,1172.54
Dec 1 2006,1031.15
Apr 1 2010,1153.96
Sep 1 2007,1319.13
Jun 1 2008,1154.76
Sep 1 2009,1277.66
Apr 1 2003,1025.25
Aug 1 2007,1090.15
Jul 1 2001,1130.87
Feb 1 2008,1047.71
Feb 1 2008,1311.0
Sep 1 2001,1126.61
Jun 1 2004,1156.64
Feb 1 2005,1236.96
Apr 1 2001,876.65
Dec 1 2001,1412.78
Oct 1 2004,1046.62
Nov 1 2006,1152.39
Mar 1 2008,1006.33
Jan 1 2009,1003.08
Oct 1 2010,1044.34
Jul 1 2001,1329.11
Dec 1 2009,1253.78
Jul 1 2001,1491.36
Jul 1 2004,1278.16
Jun 1 2008,1528.85
Nov 1 2005,984.32
Mar 1 2005,1021.07
Feb 1 2008,1060.23
Dec 1 2009,1038.17
Feb 1 2007,1090.1
Nov 1 2006,1105.24
Jun 1 2007,1459.12
Mar 1 2000,1167.4
Mar 1 2003,1372.12
Aug 1 2009,1346.96
Dec 1 2006,1177.69
Jan 1 2010,765.88
Nov 1 2001,994.72
Dec 1 2002,1061.17
Mar 1 2001,1100.21
Feb 1 2009,954.8
Jan 1 2008,1430.45
Nov 1 2003,1351.78
Sep 1 2001,1041.92
Jun 1 2003,1248.44
Aug 1 2009,1432.19
Mar 1 2007,1271.82
Aug 1 2006,864.65
Sep 1 2009,1331.8
Jul 1 2010,1332.95
May 1 2009,1234.3
Sep 1 2010,1050.59
Jul 1 2004,1549.38
Oct 1 2001,958.88
Jun 1 2005,1079.52
Nov 1 2002,1016.74
Jan 1 2004,1178.01
Apr 1 2004,1139.12
Sep 1 2009,1060.72
Nov 1 2001,1212.36
Feb 1 2007,1219.4
Dec 1 2002,1327.02
Nov 1 2005,1233.38
Dec 1 2008,739.48
Sep 1 2001,1428.6
Nov 1 2003,1343.73
Nov 1 2008,1078.04
Mar 1 2001,1139.08
Jan 1 2001,972.13
Aug 1 2010,1075.85
Sep 1 2009,1457.58
May 1 2000,1008.82
Dec 1 2003,1479.11
May 1 2007,1308.66
May 1 2005,1289.43
Jul 1 2000,1335.02
Jan 1 2009,1056.03
May 1 2000,1549.38
Nov 1 2009,1379.12
May 1 2001,1161.87
Jan 1 2010,1239.47
Mar 1 2007,1034.27
May 1 2003,1011.84
Jan 1 2008,979.82
Oct 1 2008,1275.87
Oct 1 2009,1403.85
Oct 1 2000,903.01
Sep 1 2003,1167.1
Jun 1 2006,1298.57
Oct 1 2002,1420.29
Feb 1 2004,1087.93
Jun 1 2009,913.67
Nov 1 2010,1146.24
Apr 1 2003,977.49
Oct 1 2007,1060.72
Jan 1 2006,1220.92
Oct 1 2003,1455.51
Nov 1 2005,985.56
Oct 1 2010,1075.46
Feb 1 2000,1263.32
Jan 1 2003,996.18
Dec 1 2005,1244.13
Aug 1 2010,1113.4
Apr 1 2003,1071.33
Jul 1 2002,1444.28
Sep 1 2004,1017.4
Dec 1 2006,1367.22
Jan 1 2010,1338.36
Apr 1 2010,1180.68
Apr 1 2005,844.98
Jun 1 2003,987.98
Aug 1 2009,982.8
Feb 1 2007,1157.81
Jan 1 2010,1185.64
Apr 1 2002,1406.11
Nov 1 2001,1279.02
Aug 1 2001,1405.95
Mar 1 2006,1043.62
