item_id,common_name,scientific_name,gap_species_code,county_id,habitat_yearround_pct
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,25919,0.7134
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,14544,0.1365
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,8914,0.1313
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,12938,0.8218
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,26632,0.87
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,49169,0.2963
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,40374,0.4386
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,5331,0.5051
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,48279,0.9374
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,20160,0.4789
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,40701,0.9468
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,45219,0.2444
58fa3f0be4b0b7ea54524859	aAMBUx,American Robin	Turdus migratorius,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,9277,0.9474
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,49064,0.6765
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,37362,0.8232
58fa3f0be4b0b7ea54524859	aAMBUx,American Robin	Turdus migratorius,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,30845,0.7607
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,40549,0.5243
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,47859,0.9544
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,48641,0.6597
58fa3f0be4b0b7ea54524859	aAMBUx,American Robin	Turdus migratorius,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,51254,0.0104
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,8622,0.3791
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,11222,0.1404
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,21368,0.5785
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,35970,0.2675
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,14632,0.0178
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,18656,0.4122
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,41320,0.4614
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,12782,0.0173
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,55887,0.2767
58fa3f0be4b0b7ea54524859	aAMBUx,American Robin	Turdus migratorius,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,17862,0.0328
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,44964,0.2542
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,10047,0.2994
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,5204,0.9653
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,17105,0.9372
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,37566,0.0014
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,46000,0.2845
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,39292,0.4141
58fa3f0be4b0b7ea54524859	aAMBUx,American Robin	Turdus migratorius,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,51714,0.719
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,20200,0.3771
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,22260,0.5464
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,25505,0.8481
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,32835,0.2326
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,16554,0.3526
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,46931,0.1615
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,37625,0.8934
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,45248,0.5695
58fa3f0be4b0b7ea54524859	aAMBUx,American Robin	Turdus migratorius,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,5295,0.6607
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,7873,0.9859
58fa3f0be4b0b7ea54524859	aAMBUx,American Robin	Turdus migratorius,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,14408,0.8602
58fa3f0be4b0b7ea54524859	aAMBUx,American Robin	Turdus migratorius,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,26576,0.6507
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,50706,0.0633
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,33460,0.5759
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,1998,0.5179
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,14271,0.1617
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,11089,0.1914
58fa3f0be4b0b7ea54524859	aAMBUx,American Robin	Turdus migratorius,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,27375,0.124
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,13385,0.0996
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,12586,0.8966
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Thamnophis sirtalis	58fe0f4fe4b0074928294636,,25771,0.9627
58fa3f0be4b0b7ea54524859	aAMBUx,American Bullfrog	Lithobates catesbeianus,Odocoileus virginianus	58fa817ae4b0b7ea54525c2f,,20029,0.6951
58fa3f0be4b0b7ea54524859	aAMBUx,White-tailed Deer	Odocoileus virginianus,Lithobates catesbeianus	58fa3f0be4b0b7ea54524859,,10716,0.4399
58fa3f0be4b0b7ea54524859	aAMBUx,Common Gartersnake	Thamnophis sirtalis,Turdus migratorius	58fa449fe4b0b7ea54524c5e,,8484,0.0481
