RespondentID,"Consider the following hypothetical situations: <br>In Lottery A, you have a 50% chance of success, with a payout of $100. <br>In Lottery B, you have a 90% chance of success, with a payout of $20. <br><br>Assuming you have $10 to bet, would you play Lottery A or Lottery B?",Do you ever smoke cigarettes?,Do you ever drink alcohol?,Do you ever gamble?,Have you ever been skydiving?,Do you ever drive above the speed limit?,Have you ever cheated on your significant other?,Do you eat steak?,How do you like your steak prepared?,Gender,Age,Household Income,Education,Location (Census Region)
3235313485,Lottery A,No,Yes,No,No,Yes,No,,Medium	Yes,Female,18-29,"$50,000 - $99,999",Graduate degree,Pacific
3235250038,Lottery A,No,Yes,No,Yes,Yes,Yes,,Response	Response,Male,45-60,"$100,000 - $149,999",Bachelor degree,
3235194075,Lottery A,No,Yes,Yes,No,Yes,No,,Medium rare	Yes,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central
3235185884,Lottery B,No,Yes,Yes,No,No,,,Medium rare	Yes,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,West North Central
3235154657,Lottery B,No,No,No,No,Yes,Yes,,Response	Response,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3235134051,Lottery B,No,Yes,No,No,Yes,No,,Response	Response,Female,18-29,"$25,000 - $49,999",Graduate degree,West South Central
3235124049,Lottery A,No,Yes,Yes,No,Yes,No,,Medium Well	Yes,Male,18-29,"$25,000 - $49,999",Bachelor degree,Pacific
3235115327,Lottery B,No,Yes,Yes,No,No,Response,,Medium	Yes,Male,> 60,"$150,000+",Bachelor degree,Middle Atlantic
3235111668,Lottery B,No,No,No,No,Yes,Yes,,Medium Well	Yes,Male,30-44,"$150,000+",Bachelor degree,West North Central
3235098777,Lottery A,No,Yes,No,Yes,Yes,No,,Medium	Yes,Male,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3235095139,Lottery A,No,Yes,No,No,Yes,No,,Response	Response,Male,> 60,,,Middle Atlantic
3235094471,Lottery A,Yes,Yes,,No,Yes,No,,Response	Response,Male,> 60,"$50,000 - $99,999",Less than high school degree,New England
3235092500,Lottery B,No,Yes,Yes,No,Yes,No,,,Female,18-29,"$50,000 - $99,999",Graduate degree,Pacific
3235092360,Lottery B,No,Yes,No,Yes,Yes,No,,Well	Yes,Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific
3235092030,Lottery A,No,No,Yes,No,Yes,No,,Medium rare	Yes,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3235088691,Lottery A,No,Yes,Yes,No,Yes,No,,,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England
3235086435,Lottery A,No,Yes,No,No,Yes,No,,Well	Yes,Male,45-60,"$100,000 - $149,999",Graduate degree,Middle Atlantic
3235084088,Lottery B,No,Yes,No,No,Yes,Yes,,Well	Yes,,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific
3235080290,Lottery A,No,Yes,No,No,Yes,No,,Medium Well	Yes,Female,45-60,"$50,000 - $99,999",Bachelor degree,West North Central
3235079840,Lottery A,No,No,No,No,Yes,No,,Medium	Yes,Female,45-60,,Bachelor degree,West South Central
3235076414,Lottery A,No,,No,No,Yes,Yes,,Rare	Yes,Female,45-60,,Bachelor degree,New England
3235076039,Lottery B,No,Yes,Yes,No,Yes,No,,Response	Response,Male,30-44,"$150,000+",High school degree,West North Central
3235071511,Lottery B,No,Yes,Yes,Yes,Yes,No,,Medium	Yes,Female,,,Bachelor degree,South Atlantic
3235068117,Lottery B,No,Yes,No,No,Yes,No,,Medium rare	Yes,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3235067320,Lottery B,No,Yes,No,No,Yes,No,,Response	Response,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3235053393,Lottery B,Yes,Yes,Yes,No,Yes,,,Medium Well	Yes,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,West South Central
3235049184,Lottery A,No,Yes,Yes,Yes,Yes,No,,Medium	Yes,Male,> 60,"$100,000 - $149,999",Bachelor degree,
3235039895,Lottery B,Yes,Yes,Yes,No,Yes,No,,Medium Well	Yes,Female,45-60,"$0 - $24,999",Graduate degree,East South Central
3235038425,Lottery B,Yes,Yes,No,No,No,No,,Rare	Yes,Female,45-60,"$150,000+",Bachelor degree,Pacific
3235016992,Lottery B,No,No,Yes,No,Yes,,,Medium	Yes,Male,,"$0 - $24,999",Graduate degree,East North Central
