symbol,date,price
MSFT,Jan 1 2000,27.72
MSFT,Feb 1 2000,24.8
MSFT,Mar 1 2000,30.44
MSFT,Apr 1 2000,29.98
MSFT,May 1 2000,25.81
MSFT,Jun 1 2000,27.5
MSFT,Jul 1 2000,25.19
MSFT,Aug 1 2000,28.03
MSFT,Sep 1 2000,18.77
MSFT,Oct 1 2000,23.39
MSFT,Nov 1 2000,18.09
MSFT,Dec 1 2000,22.34
MSFT,Jan 1 2001,23.83
MSFT,Feb 1 2001,17.98
MSFT,Mar 1 2001,17.46
MSFT,Apr 1 2001,30.31
MSFT,May 1 2001,22.11
MSFT,Jun 1 2001,24.96
MSFT,Jul 1 2001,28.31
MSFT,Aug 1 2001,26.13
MSFT,Sep 1 2001,20.87
MSFT,Oct 1 2001,27.66
MSFT,Nov 1 2001,27.46
MSFT,Dec 1 2001,19.76
MSFT,Jan 1 2002,21.24
MSFT,Feb 1 2002,19.7
MSFT,Mar 1 2002,23.45
MSFT,Apr 1 2002,25.42
MSFT,May 1 2002,23.43
MSFT,Jun 1 2002,32.17
MSFT,Jul 1 2002,21.17
MSFT,Aug 1 2002,24.32
MSFT,Sep 1 2002,26.93
MSFT,Oct 1 2002,19.8
MSFT,Nov 1 2002,29.39
MSFT,Dec 1 2002,22.43
MSFT,Jan 1 2003,20.19
MSFT,Feb 1 2003,24.15
MSFT,Mar 1 2003,24.34
MSFT,Apr 1 2003,25.06
MSFT,May 1 2003,25.38
MSFT,Jun 1 2003,22.2
MSFT,Jul 1 2003,21.82
MSFT,Aug 1 2003,25.69
MSFT,Sep 1 2003,23.53
MSFT,Oct 1 2003,24.06
MSFT,Nov 1 2003,31.76
MSFT,Dec 1 2003,31.66
MSFT,Jan 1 2004,23.42
MSFT,Feb 1 2004,22.72
MSFT,Mar 1 2004,20.63
MSFT,Apr 1 2004,23.25
MSFT,May 1 2004,28.81
MSFT,Jun 1 2004,24.77
MSFT,Jul 1 2004,20.64
MSFT,Aug 1 2004,22.05
MSFT,Sep 1 2004,18.84
MSFT,Oct 1 2004,24.36
MSFT,Nov 1 2004,21.66
MSFT,Dec 1 2004,27.64
MSFT,Jan 1 2005,22.41
MSFT,Feb 1 2005,25.92
MSFT,Mar 1 2005,28.92
MSFT,Apr 1 2005,25.25
MSFT,May 1 2005,19.63
MSFT,Jun 1 2005,30.44
MSFT,Jul 1 2005,22.64
MSFT,Aug 1 2005,25.53
MSFT,Sep 1 2005,20.76
MSFT,Oct 1 2005,23.88
MSFT,Nov 1 2005,25.65
MSFT,Dec 1 2005,36.67
MSFT,Jan 1 2006,25.8
MSFT,Feb 1 2006,23.43
MSFT,Mar 1 2006,21.39
MSFT,Apr 1 2006,19.87
MSFT,May 1 2006,24.98
MSFT,Jun 1 2006,26.2
MSFT,Jul 1 2006,25.83
MSFT,Aug 1 2006,22.05
MSFT,Sep 1 2006,22.09
MSFT,Oct 1 2006,30.24
MSFT,Nov 1 2006,23.45
MSFT,Dec 1 2006,26.76
MSFT,Jan 1 2007,24.16
MSFT,Feb 1 2007,34.87
MSFT,Mar 1 2007,31.17
MSFT,Apr 1 2007,20.14
MSFT,May 1 2007,27.49
MSFT,Jun 1 2007,27.83
MSFT,Jul 1 2007,29.17
MSFT,Aug 1 2007,20.01
MSFT,Sep 1 2007,37.01
MSFT,Oct 1 2007,26.14
MSFT,Nov 1 2007,24.69
MSFT,Dec 1 2007,23.2
MSFT,Jan 1 2008,21.37
MSFT,Feb 1 2008,24.77
MSFT,Mar 1 2008,24.82
MSFT,Apr 1 2008,23.0
MSFT,May 1 2008,24.2
MSFT,Jun 1 2008,22.02
MSFT,Jul 1 2008,34.22
MSFT,Aug 1 2008,23.65
MSFT,Sep 1 2008,25.59
MSFT,Oct 1 2008,26.67
MSFT,Nov 1 2008,27.28
MSFT,Dec 1 2008,26.57
MSFT,Jan 1 2009,36.38
MSFT,Feb 1 2009,34.93
MSFT,Mar 1 2009,22.35
MSFT,Apr 1 2009,20.82
MSFT,May 1 2009,20.33
MSFT,Jun 1 2009,19.57
MSFT,Jul 1 2009,22.79
MSFT,Aug 1 2009,27.97
MSFT,Sep 1 2009,18.47
MSFT,Oct 1 2009,19.4
MSFT,Nov 1 2009,28.08
MSFT,Dec 1 2009,24.86
MSFT,Jan 1 2010,24.51
MSFT,Feb 1 2010,34.83
MSFT,Mar 1 2010,26.69
AMZN,Jan 1 2000,46.32
AMZN,Feb 1 2000,40.46
AMZN,Mar 1 2000,62.83
AMZN,Apr 1 2000,78.53
AMZN,May 1 2000,44.35
AMZN,Jun 1 2000,37.89
AMZN,Jul 1 2000,31.69
AMZN,Aug 1 2000,39.0
AMZN,Sep 1 2000,56.31
AMZN,Oct 1 2000,83.79
AMZN,Nov 1 2000,64.01
AMZN,Dec 1 2000,47.53
AMZN,Jan 1 2001,47.1
AMZN,Feb 1 2001,35.95
AMZN,Mar 1 2001,25.2
AMZN,Apr 1 2001,44.23
AMZN,May 1 2001,29.09
AMZN,Jun 1 2001,47.62
AMZN,Jul 1 2001,40.74
AMZN,Aug 1 2001,71.58
AMZN,Sep 1 2001,49.17
AMZN,Oct 1 2001,45.25
AMZN,Nov 1 2001,20.16
AMZN,Dec 1 2001,29.02
AMZN,Jan 1 2002,34.69
AMZN,Feb 1 2002,29.41
AMZN,Mar 1 2002,22.0
AMZN,Apr 1 2002,23.8
AMZN,May 1 2002,27.07
AMZN,Jun 1 2002,86.74
AMZN,Jul 1 2002,43.29
AMZN,Aug 1 2002,31.34
AMZN,Sep 1 2002,35.86
AMZN,Oct 1 2002,30.35
AMZN,Nov 1 2002,29.3
AMZN,Dec 1 2002,74.7
AMZN,Jan 1 2003,40.56
AMZN,Feb 1 2003,50.76
AMZN,Mar 1 2003,15.16
AMZN,Apr 1 2003,26.97
AMZN,May 1 2003,26.4
AMZN,Jun 1 2003,13.1
AMZN,Jul 1 2003,39.58
AMZN,Aug 1 2003,45.0
AMZN,Sep 1 2003,15.56
AMZN,Oct 1 2003,14.96
AMZN,Nov 1 2003,72.75
AMZN,Dec 1 2003,67.3
AMZN,Jan 1 2004,83.49
AMZN,Feb 1 2004,55.97
AMZN,Mar 1 2004,39.41
AMZN,Apr 1 2004,42.16
AMZN,May 1 2004,71.15
AMZN,Jun 1 2004,43.27
AMZN,Jul 1 2004,42.18
AMZN,Aug 1 2004,44.69
AMZN,Sep 1 2004,24.88
AMZN,Oct 1 2004,91.29
AMZN,Nov 1 2004,18.64
AMZN,Dec 1 2004,53.91
AMZN,Jan 1 2005,48.38
AMZN,Feb 1 2005,88.62
AMZN,Mar 1 2005,8.03
AMZN,Apr 1 2005,50.55
AMZN,May 1 2005,69.94
AMZN,Jun 1 2005,34.86
AMZN,Jul 1 2005,61.83
AMZN,Aug 1 2005,37.88
AMZN,Sep 1 2005,68.27
AMZN,Oct 1 2005,49.52
AMZN,Nov 1 2005,49.47
AMZN,Dec 1 2005,112.17
AMZN,Jan 1 2006,14.1
AMZN,Feb 1 2006,49.54
AMZN,Mar 1 2006,5.97
AMZN,Apr 1 2006,33.14
AMZN,May 1 2006,53.65
AMZN,Jun 1 2006,23.51
AMZN,Jul 1 2006,34.48
AMZN,Aug 1 2006,12.1
AMZN,Sep 1 2006,64.74
AMZN,Oct 1 2006,116.6
AMZN,Nov 1 2006,28.93
AMZN,Dec 1 2006,79.34
AMZN,Jan 1 2007,61.57
AMZN,Feb 1 2007,23.47
AMZN,Mar 1 2007,36.7
AMZN,Apr 1 2007,19.81
AMZN,May 1 2007,24.03
AMZN,Jun 1 2007,25.77
AMZN,Jul 1 2007,29.85
AMZN,Aug 1 2007,27.1
AMZN,Sep 1 2007,75.87
AMZN,Oct 1 2007,81.71
AMZN,Nov 1 2007,31.56
AMZN,Dec 1 2007,15.6
AMZN,Jan 1 2008,13.85
AMZN,Feb 1 2008,35.22
AMZN,Mar 1 2008,19.9
AMZN,Apr 1 2008,19.78
AMZN,May 1 2008,63.71
AMZN,Jun 1 2008,19.24
AMZN,Jul 1 2008,27.17
AMZN,Aug 1 2008,124.58
AMZN,Sep 1 2008,29.66
AMZN,Oct 1 2008,48.8
AMZN,Nov 1 2008,32.12
AMZN,Dec 1 2008,62.8
AMZN,Jan 1 2009,13.79
AMZN,Feb 1 2009,47.04
AMZN,Mar 1 2009,12.31
AMZN,Apr 1 2009,10.0
AMZN,May 1 2009,33.2
AMZN,Jun 1 2009,46.2
AMZN,Jul 1 2009,28.17
AMZN,Aug 1 2009,33.66
AMZN,Sep 1 2009,53.43
AMZN,Oct 1 2009,39.16
AMZN,Nov 1 2009,52.05
AMZN,Dec 1 2009,37.46
AMZN,Jan 1 2010,42.59
AMZN,Feb 1 2010,112.09
AMZN,Mar 1 2010,85.43
IBM,Jan 1 2000,91.87
IBM,Feb 1 2000,84.09
IBM,Mar 1 2000,109.2
IBM,Apr 1 2000,97.64
IBM,May 1 2000,60.63
IBM,Jun 1 2000,85.78
IBM,Jul 1 2000,78.92
IBM,Aug 1 2000,113.84
IBM,Sep 1 2000,92.9
IBM,Oct 1 2000,93.85
IBM,Nov 1 2000,79.91
IBM,Dec 1 2000,69.19
IBM,Jan 1 2001,109.65
IBM,Feb 1 2001,81.08
IBM,Mar 1 2001,70.0
IBM,Apr 1 2001,115.65
IBM,May 1 2001,92.3
IBM,Jun 1 2001,80.06
IBM,Jul 1 2001,70.63
IBM,Aug 1 2001,112.69
IBM,Sep 1 2001,81.97
IBM,Oct 1 2001,88.89
IBM,Nov 1 2001,74.06
IBM,Dec 1 2001,83.44
IBM,Jan 1 2002,73.09
IBM,Feb 1 2002,97.37
IBM,Mar 1 2002,104.3
IBM,Apr 1 2002,77.21
IBM,May 1 2002,84.14
IBM,Jun 1 2002,85.47
IBM,Jul 1 2002,81.39
IBM,Aug 1 2002,97.59
IBM,Sep 1 2002,101.56
IBM,Oct 1 2002,85.74
IBM,Nov 1 2002,73.42
IBM,Dec 1 2002,69.28
IBM,Jan 1 2003,93.08
IBM,Feb 1 2003,83.47
IBM,Mar 1 2003,64.38
IBM,Apr 1 2003,84.68
IBM,May 1 2003,56.05
IBM,Jun 1 2003,120.07
IBM,Jul 1 2003,101.84
IBM,Aug 1 2003,109.62
IBM,Sep 1 2003,74.32
IBM,Oct 1 2003,95.14
IBM,Nov 1 2003,81.95
IBM,Dec 1 2003,80.0
IBM,Jan 1 2004,75.89
IBM,Feb 1 2004,90.91
IBM,Mar 1 2004,102.13
IBM,Apr 1 2004,72.53
IBM,May 1 2004,85.4
IBM,Jun 1 2004,63.49
IBM,Jul 1 2004,90.6
IBM,Aug 1 2004,92.35
IBM,Sep 1 2004,102.36
IBM,Oct 1 2004,61.89
IBM,Nov 1 2004,96.05
IBM,Dec 1 2004,83.38
IBM,Jan 1 2005,79.43
IBM,Feb 1 2005,133.21
IBM,Mar 1 2005,76.85
IBM,Apr 1 2005,85.24
IBM,May 1 2005,148.53
IBM,Jun 1 2005,104.95
IBM,Jul 1 2005,136.52
IBM,Aug 1 2005,94.87
IBM,Sep 1 2005,98.24
IBM,Oct 1 2005,83.21
IBM,Nov 1 2005,117.78
IBM,Dec 1 2005,67.9
IBM,Jan 1 2006,95.41
IBM,Feb 1 2006,74.35
IBM,Mar 1 2006,84.09
IBM,Apr 1 2006,96.9
IBM,May 1 2006,91.28
IBM,Jun 1 2006,75.62
IBM,Jul 1 2006,133.18
IBM,Aug 1 2006,116.86
IBM,Sep 1 2006,78.71
IBM,Oct 1 2006,84.5
IBM,Nov 1 2006,62.86
IBM,Dec 1 2006,94.69
IBM,Jan 1 2007,98.92
