pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-25T21:43:53,2019-03-11T00:53:53,1,4.54,3.7,0.87,0.03,26.73,yellow,credit card,Crown Heights North	Brooklyn,Cypress Hills,,Manhattan
2019-03-22T13:01:11,2019-03-02T00:22:47,1,4.55,23.68,0.16,0.38,31.3,yellow,credit card,Riverdale/North Riverdale/Fieldston	Bronx,South Jamaica,,Bronx
2019-03-07T19:42:13,2019-03-02T21:35:23,1,2.86,5.1,3.14,0.6,39.79,yellow,credit card,Williamsburg (South Side)	Brooklyn,Boerum Hill,,Bronx
2019-03-02T23:18:01,2019-03-27T13:28:16,1,2.58,8.1,1.67,0.15,9.68,yellow,credit card,Flatlands	Brooklyn,Highbridge,,Staten Island
2019-03-19T12:37:15,2019-03-02T16:13:48,1,1.74,18.3,0.46,0.17,18.5,yellow,credit card,East Elmhurst	Queens,East Williamsburg,,Manhattan
2019-03-07T20:05:18,2019-03-30T02:03:12,6,10.42,14.5,0.31,2.72,36.65,yellow,credit card,East Village	Manhattan,Corona,,Queens
2019-03-30T11:02:12,2019-03-13T05:11:54,1,8.32,24.7,0.19,1.37,34.06,yellow,credit card,East Chelsea	Manhattan,Garment District,,Queens
2019-03-20T00:44:25,2019-03-08T18:06:43,1,3.7,16.8,3.38,0.07,24.23,yellow,credit card,LaGuardia Airport	Queens,Upper East Side South,,Brooklyn
2019-03-01T03:14:42,2019-03-01T01:42:02,1,2.54,7.6,1.22,3.97,14.44,yellow,credit card,Soundview/Bruckner	Bronx,Sunnyside,,Bronx
2019-03-27T09:47:25,2019-03-27T02:26:26,1,2.46,6.68,0.32,0.33,26.7,yellow,credit card,Central Harlem North	Manhattan,Jackson Heights,,Staten Island
2019-03-01T18:53:35,2019-03-31T04:04:21,1,5.81,6.9,2.38,0.06,63.2,yellow,credit card,Upper East Side South	Manhattan,East Harlem North,,Staten Island
2019-03-05T06:01:34,2019-03-24T01:22:59,1,1.53,7.7,0.45,0.19,22.55,yellow,credit card,Alphabet City	Manhattan,Manhattan Beach,,Manhattan
2019-03-30T22:13:43,2019-03-18T15:47:46,5,4.79,6.6,1.65,1.56,11.27,yellow,credit card,East New York	Brooklyn,Flushing Meadows-Corona Park,,Queens
2019-03-21T06:10:38,2019-03-28T12:55:22,2,4.51,12.84,4.91,0.28,28.8,yellow,credit card,Old Astoria	Queens,Flatbush/Ditmas Park,,Brooklyn
2019-03-25T23:46:40,2019-03-12T17:59:00,1,5.82,20.2,2.86,0.24,31.36,yellow,credit card,Windsor Terrace	Brooklyn,Morrisania/Melrose,,Brooklyn
2019-03-10T12:59:25,2019-03-01T22:53:40,1,0.06,7.9,4.35,0.99,102.48,yellow,credit card,Hudson Sq	Manhattan,Williamsbridge/Olinville,,Bronx
2019-03-14T15:48:11,2019-03-01T17:09:57,1,1.53,17.1,4.34,0.0,21.09,yellow,credit card,East Williamsburg	Brooklyn,Little Italy/NoLiTa,,Staten Island
2019-03-26T10:35:08,2019-03-01T20:22:08,5,1.85,3.6,3.1,0.35,10.86,yellow,credit card,Murray Hill	Manhattan,Roosevelt Island,,Manhattan
2019-03-28T15:30:44,2019-03-06T22:28:24,1,1.01,9.8,1.61,0.19,10.36,yellow,credit card,East Flushing	Queens,Yorkville West,,Manhattan
2019-03-15T16:09:11,2019-03-09T09:11:54,1,0.17,15.6,2.79,5.19,20.38,yellow,credit card,Kew Gardens	Queens,Cypress Hills,,Queens
2019-03-04T17:10:42,2019-03-11T14:26:44,1,1.95,4.74,3.34,0.68,13.6,yellow,credit card,Middle Village	Queens,Glendale,,Brooklyn
2019-03-28T12:09:13,2019-03-11T21:13:42,1,5.05,18.27,0.0,0.92,19.7,yellow,credit card,Queensboro Hill	Queens,Mott Haven/Port Morris,,Bronx
2019-03-10T14:27:37,2019-03-31T07:07:01,1,1.76,7.98,3.87,0.05,8.0,yellow,credit card,Lower East Side	Manhattan,West Village,,Bronx
2019-03-19T00:23:25,2019-03-27T02:22:14,1,0.54,18.6,1.16,0.37,19.76,yellow,credit card,Bronx Park	Bronx,Gowanus,,Staten Island
2019-03-13T22:24:22,2019-03-31T08:53:33,2,0.13,12.0,0.88,0.02,13.51,yellow,credit card,Cambria Heights	Queens,Cambria Heights,,Manhattan
2019-03-03T23:15:20,2019-03-20T02:56:02,1,1.03,16.7,0.11,0.0,19.8,yellow,credit card,Williamsburg (South Side)	Brooklyn,Two Bridges/Seward Park,,Queens
2019-03-14T20:40:30,2019-03-30T01:43:19,1,7.05,12.3,2.47,1.86,45.92,yellow,credit card,Flushing	Queens,Greenpoint,,Queens
2019-03-08T15:20:23,2019-04-01T13:08:48,1,10.81,9.9,9.7,0.63,23.82,yellow,credit card,East Flatbush/Farragut	Brooklyn,Middle Village,,Brooklyn
2019-03-24T16:28:42,2019-03-09T12:46:06,1,1.73,8.32,4.8,1.39,15.85,yellow,credit card,Central Harlem	Manhattan,Midtown Center,,Bronx
2019-03-09T16:36:56,2019-03-03T12:06:10,1,5.52,17.83,7.09,0.23,24.6,yellow,credit card,Financial District South	Manhattan,Douglaston,,Staten Island
2019-03-25T22:38:26,2019-03-01T22:13:25,1,0.77,3.8,0.74,1.04,10.43,yellow,credit card,Melrose South	Bronx,Manhattanville,,Staten Island
2019-03-19T16:46:49,2019-03-29T17:32:36,1,1.41,5.97,1.62,0.09,7.3,yellow,credit card,Brownsville	Brooklyn,Manhattan Valley,,Manhattan
2019-03-04T16:13:57,2019-03-12T03:44:22,1,13.28,16.48,1.97,0.11,26.7,yellow,credit card,Astoria	Queens,Canarsie,,Queens
2019-03-04T21:57:06,2019-03-13T01:25:18,1,1.55,14.9,0.54,0.14,17.29,yellow,credit card,Bayside	Queens,Old Astoria,,Brooklyn
2019-03-09T04:07:22,2019-03-24T15:51:14,2,3.85,9.1,0.1,1.04,9.73,yellow,credit card,Downtown Brooklyn/MetroTech	Brooklyn,Middle Village,,Brooklyn
2019-03-06T22:51:29,2019-03-29T12:58:47,2,36.7,4.17,0.86,0.06,21.5,yellow,credit card,Stuyvesant Heights	Brooklyn,Melrose South,,Bronx
2019-02-28T21:00:13,2019-02-28T13:24:55,1,0.78,4.37,2.69,0.21,5.4,yellow,credit card,Cambria Heights	Queens,Hillcrest/Pomonok,,Staten Island
2019-03-20T10:26:57,2019-03-18T21:44:04,1,0.97,5.8,3.76,0.36,15.61,yellow,credit card,Crotona Park East	Bronx,East Flatbush/Farragut,,Manhattan
2019-03-23T07:39:13,2019-03-05T03:02:17,1,0.01,8.31,0.08,0.17,19.2,yellow,credit card,Alphabet City	Manhattan,Upper West Side North,,Manhattan
2019-03-31T06:54:06,2019-03-01T14:00:27,1,3.83,15.9,0.68,0.25,36.59,yellow,credit card,Greenpoint	Brooklyn,Stapleton,,Queens
2019-03-25T19:20:59,2019-03-26T02:08:24,1,14.96,14.6,6.6,0.19,15.79,yellow,credit card,Douglaston	Queens,Fresh Meadows,,Brooklyn
2019-03-20T23:59:22,2019-03-12T19:34:32,1,2.8,6.13,1.61,0.23,15.5,yellow,credit card,Rego Park	Queens,East Elmhurst,,Bronx
2019-03-11T04:48:48,2019-03-30T11:40:37,2,0.88,17.1,0.21,1.66,26.98,yellow,credit card,Williamsburg (South Side)	Brooklyn,Rego Park,,Bronx
2019-03-04T15:41:38,2019-03-05T06:36:35,1,0.09,12.2,1.35,0.51,27.03,yellow,credit card,East Williamsburg	Brooklyn,Williamsburg (South Side),,Staten Island
2019-03-22T01:45:07,2019-03-17T07:10:07,1,0.93,8.66,2.6,0.28,13.2,yellow,credit card,Bensonhurst East	Brooklyn,Van Cortlandt Village,,Manhattan
2019-03-03T04:26:08,2019-03-29T07:01:48,3,4.5,1.3,1.01,2.47,95.4,yellow,credit card,SoHo	Manhattan,Elmhurst/Maspeth,,Queens
2019-03-28T17:20:23,2019-03-29T20:48:29,2,0.25,7.1,0.41,1.33,23.69,yellow,credit card,East Flatbush/Remsen Village	Brooklyn,Garment District,,Queens
2019-03-05T14:34:09,2019-04-01T03:37:24,1,20.3,11.12,0.61,0.37,88.9,yellow,credit card,Upper East Side South	Manhattan,Van Cortlandt Village,,Brooklyn
2019-03-02T15:05:39,2019-03-08T09:23:36,2,3.83,22.85,0.01,0.01,67.3,yellow,credit card,Financial District North	Manhattan,Cambria Heights,,Bronx
2019-03-31T02:56:40,2019-04-01T01:55:37,1,0.44,5.57,1.69,0.09,6.9,yellow,credit card,Flatiron	Manhattan,College Point,,Staten Island
2019-03-13T13:45:29,2019-03-21T00:11:24,5,0.2,9.4,0.36,0.13,11.72,yellow,credit card,Jamaica Estates	Queens,Little Italy/NoLiTa,,Staten Island
