Lenox Hill West	Manhattan	2.15	12.95
Upper West Side South	Manhattan	0	9.3
Alphabet City	Manhattan	2.36	14.16
Hudson Sq	Manhattan	6.15	36.95
Midtown East	Manhattan	1.1	13.4
Times Sq/Theatre District	Manhattan	2.16	12.96
Battery Park City	Manhattan	2	18.8
Murray Hill	Manhattan	0	11.8
East Harlem South	Manhattan	1	19.3
Lincoln Square East	Manhattan	1	13.3
LaGuardia Airport	Queens	0	17.8
Upper West Side South	Manhattan	2.16	12.96
Murray Hill	Manhattan	1	11.3
Lincoln Square West	Manhattan	0	13.8
Financial District North	Manhattan	0	14.8
Upper West Side North	Manhattan	0	16.8
East Chelsea	Manhattan	0	16.3
Midtown Center	Manhattan	2	16.3
Gramercy	Manhattan	1.92	14.72
East Chelsea	Manhattan	1.08	11.38
Penn Station/Madison Sq West	Manhattan	1.54	11.84
Penn Station/Madison Sq West	Manhattan	2.3	11.6
LaGuardia Airport	Queens	8.31	49.87
Sutton Place/Turtle Bay North	Manhattan	2.36	14.16
Lenox Hill West	Manhattan	3.84	16.64
Lincoln Square East	Manhattan	3	16.3
West Chelsea/Hudson Yards	Manhattan	0	17.3
Clinton East	Manhattan	3.26	19.56
Clinton West	Manhattan	0	18.3
UN/Turtle Bay South	Manhattan	0	15.3
Lenox Hill West	Manhattan	2.06	12.36
Clinton East	Manhattan	0	7.8
Midtown Center	Manhattan	1	9.8
Midtown South	Manhattan	2.49	10.79
Midtown North	Manhattan	2.16	12.96
West Chelsea/Hudson Yards	Manhattan	4.26	25.56
Garment District	Manhattan	0	9.8
Lenox Hill East	Manhattan	0	24.8
Gramercy	Manhattan	2.16	12.96
Garment District	Manhattan	2.76	16.56
Flatiron	Manhattan	6.06	36.36
TriBeCa/Civic Center	Manhattan	0	23.3
LaGuardia Airport	Queens	0	35.06
East Harlem South	Manhattan	1	33.8
Lincoln Square East	Manhattan	3.15	18.95
Times Sq/Theatre District	Manhattan	0	23.3
Upper East Side North	Manhattan	2.64	11.44
Lincoln Square East	Manhattan	0	11.3
West Village	Manhattan	0	21.3
Clinton East	Manhattan	0	14.8
Midtown North	Manhattan	0	15.3
Greenwich Village South	Manhattan	2.15	12.95
JFK Airport	Queens	0	37.8
East Village	Manhattan	2.85	17.15
Union Sq	Manhattan	4.46	26.76
JFK Airport	Queens	0	65.56
UN/Turtle Bay South	Manhattan	1.76	10.56
Garment District	Manhattan	4.46	26.76
TriBeCa/Civic Center	Manhattan	2	12.3
East Harlem South	Manhattan	0	6.3
Times Sq/Theatre District	Manhattan	0	20.8
Flatiron	Manhattan	0	7.8
Penn Station/Madison Sq West	Manhattan	0	9.3
Midtown South	Manhattan	3.08	15.38
Hudson Sq	Manhattan	3.76	22.56
Lenox Hill West	Manhattan	2.79	12.09
Garment District	Manhattan	0	18.8
Clinton East	Manhattan	0	11.3
Clinton East	Manhattan	1.5	12.3
Union Sq	Manhattan	1	21.8
East Chelsea	Manhattan	1.76	10.56
Yorkville West	Manhattan	2.96	17.76
Murray Hill	Manhattan	1.95	11.75
Clinton East	Manhattan	0	13.8
Flatiron	Manhattan	0	33.8
Upper East Side North	Manhattan	0	9.8
Midtown Center	Manhattan	1.65	9.95
Central Park	Manhattan	1.8	14.6
West Chelsea/Hudson Yards	Manhattan	2.25	13.55
Midtown East	Manhattan	0	13.3
Upper East Side North	Manhattan	0	7.3
East Harlem South	Manhattan	2.66	15.96
Meatpacking/West Village West	Manhattan	1.5	17.8
Gramercy	Manhattan	0	12.8
Kips Bay	Manhattan	2.08	10.38
Morningside Heights	Manhattan	0	6.3
Hudson Sq	Manhattan	0	19.8
Astoria	Queens	0	3.8
Greenwich Village South	Manhattan	5.95	29.75
Midtown Center	Manhattan	0	19.8
Upper East Side North	Manhattan	0.95	7.25
East Tremont	Bronx	0	40.06
Sutton Place/Turtle Bay North	Manhattan	1.2	14
Upper East Side South	Manhattan	4.4	19.2
Penn Station/Madison Sq West	Manhattan	2.55	15.35
Financial District South	Manhattan	0	17.8
Midtown Center	Manhattan	0.5	11.8
Midtown North	Manhattan	0	11.3
West Village	Manhattan	2.16	12.96
Lincoln Square East	Manhattan	3.36	20.16
Midtown Center	Manhattan	2.06	12.36
Bloomingdale	Manhattan	0	9.8
Union Sq	Manhattan	0	7.3
Queensboro Hill	Queens	0	39.06
Central Park	Manhattan	2.15	12.95
Gramercy	Manhattan	2.86	17.16
Union Sq	Manhattan	1.47	11.27
Midtown South	Manhattan	2	18.8
SoHo	Manhattan	1	17.8
Yorkville West	Manhattan	4.65	27.95
Times Sq/Theatre District	Manhattan	9.71	58.27
Midtown Center	Manhattan	2.75	16.55
Penn Station/Madison Sq West	Manhattan	0	18.3
Brooklyn Heights	Brooklyn	5.58	27.88
Midtown Center	Manhattan	1.86	11.16
Times Sq/Theatre District	Manhattan	0	13.8
Yorkville East	Manhattan	3.75	22.55
Upper East Side South	Manhattan	0.78	8.58
Alphabet City	Manhattan	0	10.8
JFK Airport	Queens	0	4.3
East Chelsea	Manhattan	3.05	18.35
Manhattan Valley	Manhattan	1.62	12.42
Clinton East	Manhattan	0	9.3
Midtown Center	Manhattan	1	13.8
East Harlem South	Manhattan	2.7	13.5
Lincoln Square West	Manhattan	2.66	15.96
East Chelsea	Manhattan	0	38.41
LaGuardia Airport	Queens	11.5	57.56
Times Sq/Theatre District	Manhattan	3.66	21.96
East Village	Manhattan	0	9.8
Lincoln Square West	Manhattan	0	9.8
Kips Bay	Manhattan	0	7.3
East Chelsea	Manhattan	2.94	12.74
Union Sq	Manhattan	1	14.3
Gramercy	Manhattan	2.5	15.3
Lincoln Square West	Manhattan	0	12.3
Yorkville East	Manhattan	1.56	9.36
Clinton West	Manhattan	3.65	21.95
Yorkville West	Manhattan	5.26	31.56
Yorkville East	Manhattan	3.86	23.16
Sutton Place/Turtle Bay North	Manhattan	2.67	20.47
Union Sq	Manhattan	0	9.8
UN/Turtle Bay South	Manhattan	2	17.8
East Chelsea	Manhattan	2.85	17.15
Financial District North	Manhattan	5.58	27.88
Flatiron	Manhattan	2.26	13.56
East Chelsea	Manhattan	3.7	18.5
Manhattan Valley	Manhattan	0	8.3
Lenox Hill East	Manhattan	0	16.8
Times Sq/Theatre District	Manhattan	7.46	44.76
Lenox Hill West	Manhattan	2.45	14.75
Clinton East	Manhattan	0	14.3
Murray Hill	Manhattan	0	18.8
DUMBO/Vinegar Hill	Brooklyn	1.46	8.76
Lenox Hill West	Manhattan	2	15.8
LaGuardia Airport	Queens	0.06	38.62
Clinton East	Manhattan	0	8.8
Central Park	Manhattan	1	14.8
Central Park	Manhattan	2.36	14.16
Times Sq/Theatre District	Manhattan	1.95	9.75
Midtown South	Manhattan	13.1	78.66
Garment District	Manhattan	1	10.3
East Village	Manhattan	1	15.3
Meatpacking/West Village West	Manhattan	0	15.8
Gramercy	Manhattan	2.85	17.15
Upper East Side North	Manhattan	0	8.8
Midtown Center	Manhattan	0	13.3
Lincoln Square East	Manhattan	2.32	11.62
Times Sq/Theatre District	Manhattan	1.56	9.36
Little Italy/NoLiTa	Manhattan	0	10.8
Upper West Side South	Manhattan	0	11.3
Midtown East	Manhattan	3.32	16.62
Mott Haven/Port Morris	Bronx	0	29.8
Clinton East	Manhattan	1.86	11.16
East Village	Manhattan	1.11	8.91
Financial District North	Manhattan	4	25.8
Manhattan Valley	Manhattan	0	15.3
East Village	Manhattan	1.86	11.16
Midtown East	Manhattan	0	9.3
Midtown South	Manhattan	0	27.8
East Village	Manhattan	1.96	11.76
Sutton Place/Turtle Bay North	Manhattan	0	13.8
Penn Station/Madison Sq West	Manhattan	0	14.8
Midtown East	Manhattan	2.7	13.5
Little Italy/NoLiTa	Manhattan	0	13.8
JFK Airport	Queens	0.02	61.08
East Village	Manhattan	2.75	16.55
Hudson Sq	Manhattan	1.95	11.75
Sutton Place/Turtle Bay North	Manhattan	1.96	11.76
JFK Airport	Queens	6	46.3
JFK Airport	Queens	0	41.3
Garment District	Manhattan	0	7.8
Lenox Hill East	Manhattan	3.16	18.96
Times Sq/Theatre District	Manhattan	0	32.56
Penn Station/Madison Sq West	Manhattan	2.45	12.25
Greenwich Village North	Manhattan	0	7.3
West Chelsea/Hudson Yards	Manhattan	0	14.3
Upper East Side South	Manhattan	2.35	14.15
Sutton Place/Turtle Bay North	Manhattan	0	12.3
Upper East Side South	Manhattan	0	9.8
Times Sq/Theatre District	Manhattan	3.8	19.1
Clinton West	Manhattan	0	11.8
Lenox Hill West	Manhattan	0	6.8
Little Italy/NoLiTa	Manhattan	2.35	14.15
Manhattan Valley	Manhattan	4	15.3
Upper West Side South	Manhattan	0	8.8
SoHo	Manhattan	1	12.3
Greenwich Village South	Manhattan	0	8.3
Midtown Center	Manhattan	2.16	12.96
Greenwich Village South	Manhattan	3	10.3
Stuyvesant Heights	Brooklyn	0	13.8
Morningside Heights	Manhattan	1.06	6.36
Sutton Place/Turtle Bay North	Manhattan	3.65	21.95
Upper West Side South	Manhattan	0	9.8
Lenox Hill East	Manhattan	0	53.06
Kips Bay	Manhattan	2.25	13.55
Lower East Side	Manhattan	0	19.8
LaGuardia Airport	Queens	7.31	43.87
Upper East Side South	Manhattan	2	11.8
LaGuardia Airport	Queens	5.56	42.62
Upper East Side South	Manhattan	0	7.8
Manhattan Valley	Manhattan	11.51	69.07
Garment District	Manhattan	0	11.3
Midtown Center	Manhattan	4.56	29.31
LaGuardia Airport	Queens	7.51	45.07
Times Sq/Theatre District	Manhattan	2.36	14.16
East Village	Manhattan	1.94	12.74
Yorkville West	Manhattan	0	7.8
Penn Station/Madison Sq West	Manhattan	1.96	11.76
Gramercy	Manhattan	1.54	11.84
Union Sq	Manhattan	4.66	27.96
Upper East Side South	Manhattan	2.96	22.76
Clinton East	Manhattan	0	11.8
SoHo	Manhattan	2.55	12.85
Midtown South	Manhattan	2.15	12.95
LaGuardia Airport	Queens	5.5	47.06
Manhattan Valley	Manhattan	2.45	12.25
Lenox Hill West	Manhattan	0.44	9.24
East Harlem North	Manhattan	1.05	6.35
Lincoln Square East	Manhattan	1.5	10.3
