pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-12 18:49:43,2019-03-12 19:03:57,2,2.65,8.1,5.7,0.39,43.05,yellow,credit card,Midtown Center,East Williamsburg,Manhattan,Brooklyn
2019-03-23 07:11:39,2019-03-23 07:27:22,1,0.06,30.7,3.72,1.06,58.56,yellow,credit card,Central Harlem North,Howard Beach,Manhattan,Queens
2019-03-17 10:23:26,2019-03-17 10:37:28,3,0.17,38.6,4.53,0.62,39.79,yellow,credit card,Little Italy/NoLiTa,Bushwick South,Manhattan,Brooklyn
2019-03-25 04:49:42,2019-03-25 05:04:45,1,30.79,8.13,0.26,1.09,15.8,yellow,credit card,Meatpacking/West Village West,Crotona Park East,Manhattan,Bronx
2019-03-21 00:42:09,2019-03-21 00:56:59,1,0.55,9.41,2.06,0.03,10.8,yellow,credit card,Flatiron,Manhattan Valley,Manhattan,Manhattan
2019-03-21 01:14:58,2019-03-21 01:30:06,1,15.61,32.7,2.13,0.29,40.11,yellow,credit card,Midtown North,JFK Airport,Manhattan,Queens
2019-03-30 06:25:49,2019-03-30 06:39:53,6,2.41,25.85,1.34,0.11,142.0,yellow,credit card,Union Sq,Oakland Gardens,Manhattan,Queens
2019-03-16 05:44:06,2019-03-16 05:57:47,4,3.54,6.4,3.01,0.08,16.12,yellow,credit card,Times Sq/Theatre District,Jamaica,Manhattan,Queens
2019-03-26 13:43:09,2019-03-26 13:57:11,2,1.69,6.6,3.03,0.32,10.73,yellow,credit card,JFK Airport,East Chelsea,Queens,Manhattan
2019-03-21 08:58:39,2019-03-21 09:11:52,6,22.38,17.1,0.63,0.56,18.72,yellow,credit card,Fort Greene,Homecrest,Brooklyn,Brooklyn
2019-03-28 21:31:29,2019-03-28 21:46:22,1,6.44,7.7,0.61,0.1,13.81,yellow,credit card,LaGuardia Airport,Penn Station/Madison Sq West,Queens,Manhattan
2019-03-26 14:46:18,2019-03-26 15:01:48,1,1.37,4.36,0.23,0.38,40.9,yellow,credit card,UN/Turtle Bay South,Fresh Meadows,Manhattan,Queens
2019-03-20 03:51:38,2019-03-20 04:03:26,1,0.24,20.9,0.12,0.22,36.33,yellow,credit card,Brooklyn Heights,Carroll Gardens,Brooklyn,Brooklyn
2019-03-16 01:37:30,2019-03-16 01:52:50,6,4.28,7.1,1.03,0.08,22.07,yellow,credit card,LaGuardia Airport,Bushwick North,Queens,Brooklyn
