pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-27 02:22:38,2019-03-27 02:37:21,1,4.98,12.9,1.12,0.28,15.78,yellow,credit card,Central Harlem,Lenox Hill East,Manhattan,Manhattan
2019-03-30 18:33:23,2019-03-30 18:47:14,1,1.91,7.8,5.37,0.19,24.39,yellow,credit card,Penn Station/Madison Sq West,Bath Beach,Manhattan,Brooklyn
2019-03-26 08:16:33,2019-03-26 08:34:47,1,1.11,15.7,0.26,0.08,20.61,yellow,cash,Downtown Brooklyn/MetroTech,Prospect Heights,Brooklyn,Brooklyn
2019-03-07 21:17:16,2019-03-07 21:30:32,3,17.38,7.2,0.13,1.1,19.72,yellow,credit card,East Concourse/Concourse Village,Brownsville,Bronx,Brooklyn
2019-03-21 03:08:38,2019-03-21 03:21:44,1,1.88,10.52,3.78,0.01,16.9,yellow,cash,Midtown South,Lincoln Square East,Manhattan,Manhattan
2019-03-07 11:45:23,2019-03-07 11:59:09,1,15.79,5.92,1.26,0.07,23.7,yellow,credit card,Brooklyn Heights,Kips Bay,Brooklyn,Manhattan
2019-03-20 22:37:16,2019-03-20 22:50:44,2,2.0,5.7,0.26,0.16,15.56,yellow,cash,Yorkville West,Borough Park,Manhattan,Brooklyn
2019-03-12 23:36:32,2019-03-12 23:51:54,1,2.54,11.51,1.01,0.1,15.1,yellow,credit card,Financial District North,Hudson Sq,Manhattan,Manhattan
2019-03-11 23:11:42,2019-03-11 23:26:13,1,0.51,16.0,1.11,0.51,17.04,yellow,cash,Sutton Place/Turtle Bay North,Midtown South,Manhattan,Manhattan
2019-03-08 18:45:40,2019-03-08 18:59:31,1,1.18,10.3,3.65,0.26,22.04,yellow,credit card,Financial District North,Auburndale,Manhattan,Queens
2019-03-25 04:27:21,2019-03-25 04:38:57,1,2.2,16.72,0.26,0.09,17.0,yellow,cash,Union Sq,Corona,Manhattan,Queens
2019-03-16 00:28:21,2019-03-16 00:42:30,1,1.09,14.11,0.1,0.23,20.0,yellow,credit card,Penn Station/Madison Sq West,Jamaica Estates,Manhattan,Queens
2019-03-31 17:41:42,2019-03-31 17:56:05,2,3.87,10.99,4.4,0.2,20.3,yellow,cash,Little Italy/NoLiTa,Seaport,Manhattan,Manhattan
2019-03-11 20:28:05,2019-03-11 20:38:56,0,1.97,4.5,1.98,0.03,18.18,yellow,credit card,Upper East Side North,Union Sq,Manhattan,Manhattan
2019-03-17 22:34:38,2019-03-17 22:48:01,1,3.99,11.75,2.73,0.01,14.5,yellow,cash,Upper West Side North,Lincoln Square East,Manhattan,Manhattan
2019-03-31 14:34:32,2019-03-31 14:50:05,1,1.35,11.02,5.85,0.08,23.9,yellow,credit card,Greenwich Village South,Randalls Island,Manhattan,Manhattan
2019-03-31 19:01:21,2019-03-31 19:17:03,2,4.47,8.16,0.57,0.01,11.2,yellow,cash,East Chelsea,Manhattanville,Manhattan,Manhattan
2019-03-24 14:11:38,2019-03-24 14:25:13,1,0.67,7.1,1.33,0.04,7.43,yellow,credit card,Kips Bay,Claremont/Bathgate,Manhattan,Bronx
2019-03-24 11:46:07,2019-03-24 12:00:51,1,3.11,12.6,0.46,0.73,23.26,yellow,cash,Woodside,Brighton Beach,Queens,Brooklyn
2019-03-04 09:48:14,2019-03-04 10:02:49,1,0.87,12.98,0.74,0.03,17.1,yellow,credit card,Times Sq/Theatre District,Hillcrest/Pomonok,Manhattan,Queens
2019-03-19 11:51:29,2019-03-19 12:06:30,5,1.47,5.1,0.02,0.22,21.98,yellow,cash,Clinton East,Old Astoria,Manhattan,Queens
2019-03-28 01:14:41,2019-03-28 01:28:49,1,18.11,10.0,0.4,0.19,19.18,yellow,credit card,Cobble Hill,Ocean Hill,Brooklyn,Brooklyn
2019-03-18 12:02:20,2019-03-18 12:17:55,1,1.66,6.9,0.74,0.65,27.51,yellow,cash,Yorkville West,Williamsburg (South Side),Manhattan,Brooklyn
2019-03-09 22:59:56,2019-03-09 23:12:53,1,3.57,2.6,1.1,0.03,15.53,yellow,credit card,Midtown North,Soundview/Castle Hill,Manhattan,Bronx
2019-03-15 16:02:51,2019-03-15 16:16:52,1,1.94,6.11,5.3,0.77,36.42,yellow,cash,Midtown Center,Ozone Park,Manhattan,Queens
2019-03-14 07:00:39,2019-03-14 07:14:12,1,2.87,8.1,0.91,0.3,14.18,yellow,credit card,Battery Park City,Central Harlem North,Manhattan,Manhattan
2019-03-15 20:35:12,2019-03-15 20:50:31,1,0.23,8.7,5.78,0.11,10.46,yellow,cash,Lenox Hill East,Lower East Side,Manhattan,Manhattan
2019-02-28 15:13:55,2019-02-28 15:29:41,1,4.4,10.4,1.1,0.37,11.72,yellow,credit card,Lenox Hill West,Kingsbridge Heights,Manhattan,Bronx
2019-03-02 08:16:14,2019-03-02 08:28:28,1,5.37,18.2,0.2,0.43,33.76,yellow,cash,LaGuardia Airport,East Village,Queens,Manhattan
2019-03-12 04:28:10,2019-03-12 04:40:38,1,6.72,7.0,0.08,0.22,12.72,yellow,credit card,Brooklyn Heights,Williamsburg (South Side),Brooklyn,Brooklyn
2019-02-28 09:36:22,2019-02-28 09:49:50,1,3.72,8.45,4.32,0.18,16.9,yellow,cash,Sutton Place/Turtle Bay North,Greenwich Village South,Manhattan,Manhattan
2019-03-31 06:00:56,2019-03-31 06:14:25,3,0.7,5.3,0.5,0.1,18.92,yellow,credit card,Greenwich Village South,Elmhurst/Maspeth,Manhattan,Queens
2019-03-07 16:57:03,2019-03-07 17:13:15,1,8.38,10.2,0.4,0.42,12.75,yellow,cash,Midtown Center,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-08 16:33:44,2019-03-08 16:50:19,1,2.56,4.6,2.52,0.52,29.56,yellow,credit card,Astoria,Westchester Village/Unionport,Queens,Bronx
2019-03-27 03:45:28,2019-03-27 03:59:50,1,6.16,15.1,0.02,2.25,28.93,yellow,cash,Long Island City/Hunters Point,Bayside,Queens,Queens
2019-03-23 00:15:09,2019-03-23 00:30:57,1,1.11,7.76,0.18,1.2,16.0,yellow,credit card,West Concourse,East Flatbush/Farragut,Bronx,Brooklyn
2019-03-30 04:42:53,2019-03-30 04:59:13,1,2.56,6.4,2.35,0.09,21.41,yellow,cash,Union Sq,Woodside,Manhattan,Queens
2019-03-12 12:17:22,2019-03-12 12:31:54,5,3.47,9.03,0.76,0.1,10.0,yellow,credit card,Lenox Hill West,Upper East Side North,Manhattan,Manhattan
