total_bill,tip,sex,smoker,day,time,size
25.24,3.16,Female,No,Sun,Dinner,2
18.8,1.3,Female,Yes,Sat,Dinner,2
32.36,2.27,Male,No,Thur,Lunch,4
31.08,1.0,Male,Yes,Fri,Lunch,2
20.9,2.47,Female,No,Sun,Dinner,3
24.72,3.28,Female,Yes,Sat,Dinner,2
19.6,2.27,Male,No,Thur,Lunch,2
26.0,2.34,Male,Yes,Fri,Lunch,6
9.0,2.65,Female,No,Sun,Dinner,2
16.1,2.58,Female,Yes,Sat,Dinner,2
8.16,2.72,Male,No,Thur,Lunch,3
14.26,3.54,Male,Yes,Fri,Lunch,3
16.92,2.26,Female,No,Sun,Dinner,3
8.03,3.8,Female,Yes,Sat,Dinner,4
7.42,2.69,Male,No,Thur,Lunch,3
31.98,4.98,Male,Yes,Fri,Lunch,2
13.88,4.21,Female,No,Sun,Dinner,2
19.13,2.24,Female,Yes,Sat,Dinner,2
26.7,6.09,Male,No,Thur,Lunch,2
21.6,2.03,Male,Yes,Fri,Lunch,4
11.91,5.46,Female,No,Sun,Dinner,2
25.11,1.72,Female,Yes,Sat,Dinner,6
24.64,4.69,Male,No,Thur,Lunch,2
10.3,3.71,Male,Yes,Fri,Lunch,2
12.47,4.39,Female,No,Sun,Dinner,2
10.22,2.92,Female,Yes,Sat,Dinner,4
16.21,2.49,Male,No,Thur,Lunch,4
20.07,1.71,Male,Yes,Fri,Lunch,4
16.18,1.86,Female,No,Sun,Dinner,3
37.45,3.27,Female,Yes,Sat,Dinner,2
12.37,2.63,Male,No,Thur,Lunch,5
17.86,2.28,Male,Yes,Fri,Lunch,2
23.38,2.66,Female,No,Sun,Dinner,2
10.36,2.74,Female,Yes,Sat,Dinner,3
29.47,1.77,Male,No,Thur,Lunch,2
14.41,4.37,Male,Yes,Fri,Lunch,2
10.91,2.48,Female,No,Sun,Dinner,4
17.52,1.86,Female,Yes,Sat,Dinner,2
17.89,1.88,Male,No,Thur,Lunch,4
19.34,2.2,Male,Yes,Fri,Lunch,4
19.99,1.23,Female,No,Sun,Dinner,5
14.02,8.31,Female,Yes,Sat,Dinner,2
13.4,1.0,Male,No,Thur,Lunch,1
20.64,1.27,Male,Yes,Fri,Lunch,2
16.37,4.24,Female,No,Sun,Dinner,2
17.35,1.8,Female,Yes,Sat,Dinner,2
36.19,1.83,Male,No,Thur,Lunch,2
35.91,2.98,Male,Yes,Fri,Lunch,2
16.16,1.13,Female,No,Sun,Dinner,2
14.92,2.27,Female,Yes,Sat,Dinner,3
11.55,2.41,Male,No,Thur,Lunch,3
15.85,1.77,Male,Yes,Fri,Lunch,2
27.96,3.08,Female,No,Sun,Dinner,6
18.74,6.51,Female,Yes,Sat,Dinner,2
11.56,2.49,Male,No,Thur,Lunch,4
13.77,1.9,Male,Yes,Fri,Lunch,2
9.08,3.09,Female,No,Sun,Dinner,2
17.93,1.69,Female,Yes,Sat,Dinner,2
13.13,2.27,Male,No,Thur,Lunch,4
25.05,2.73,Male,Yes,Fri,Lunch,4
14.39,6.72,Female,No,Sun,Dinner,4
21.13,2.23,Female,Yes,Sat,Dinner,2
28.26,1.59,Male,No,Thur,Lunch,6
19.72,2.2,Male,Yes,Fri,Lunch,2
10.13,1.63,Female,No,Sun,Dinner,2
32.34,2.33,Female,Yes,Sat,Dinner,6
14.77,4.59,Male,No,Thur,Lunch,4
20.31,1.03,Male,Yes,Fri,Lunch,2
11.75,4.3,Female,No,Sun,Dinner,2
17.02,2.69,Female,Yes,Sat,Dinner,2
20.57,1.98,Male,No,Thur,Lunch,2
50.81,4.33,Male,Yes,Fri,Lunch,3
20.87,2.58,Female,No,Sun,Dinner,3
16.19,1.6,Female,Yes,Sat,Dinner,3
12.71,2.71,Male,No,Thur,Lunch,2
10.46,3.29,Male,Yes,Fri,Lunch,4
19.17,3.02,Female,No,Sun,Dinner,2
21.74,1.0,Female,Yes,Sat,Dinner,5
20.95,2.17,Male,No,Thur,Lunch,6
13.78,1.72,Male,Yes,Fri,Lunch,2
13.85,2.81,Female,No,Sun,Dinner,4
31.79,4.23,Female,Yes,Sat,Dinner,4
16.21,2.29,Male,No,Thur,Lunch,2
23.01,3.42,Male,Yes,Fri,Lunch,2
17.55,1.72,Female,No,Sun,Dinner,2
46.37,4.12,Female,Yes,Sat,Dinner,2
34.46,1.6,Male,No,Thur,Lunch,2
10.84,2.24,Male,Yes,Fri,Lunch,4
24.7,2.6,Female,No,Sun,Dinner,3
25.51,1.29,Female,Yes,Sat,Dinner,2
28.91,2.83,Male,No,Thur,Lunch,3
10.66,3.03,Male,Yes,Fri,Lunch,2
50.81,4.43,Female,No,Sun,Dinner,2
21.63,1.95,Female,Yes,Sat,Dinner,4
18.59,2.79,Male,No,Thur,Lunch,2
15.77,2.17,Male,Yes,Fri,Lunch,4
12.67,3.71,Female,No,Sun,Dinner,4
18.75,3.04,Female,Yes,Sat,Dinner,2
18.84,3.85,Male,No,Thur,Lunch,4
15.41,1.09,Male,Yes,Fri,Lunch,3
17.62,1.59,Female,No,Sun,Dinner,2
13.72,8.59,Female,Yes,Sat,Dinner,2
44.1,1.92,Male,No,Thur,Lunch,2
