total_bill,tip,sex,smoker,day,time,size
13.81,2.0,Male,No,Sun,Dinner,2
15.06,3.0,Female,No,Sat,Dinner,2
23.68,3.31,Male,No,Sun,Dinner,2
28.97,3.0,Male,Yes,Fri,Dinner,2
18.69,2.31,Male,No,Sat,Dinner,3
18.15,3.5,Female,Yes,Sun,Dinner,3
12.16,2.2,Male,Yes,Fri,Lunch,2
11.87,1.63,Female,No,Thur,Lunch,2
12.26,2.0,Female,No,Thur,Lunch,2
16.27,2.5,Female,Yes,Fri,Lunch,2
20.08,3.15,Male,No,Sat,Dinner,3
18.43,3.0,Male,No,Sun,Dinner,4
10.65,1.5,Female,No,Thur,Lunch,2
32.68,5.0,Male,Yes,Thur,Lunch,2
13.81,2.0,Male,Yes,Sat,Dinner,2
20.76,2.24,Male,No,Sun,Dinner,2
13.94,3.06,Male,No,Sun,Dinner,2
22.49,3.5,Male,No,Fri,Dinner,2
17.89,2.0,Male,Yes,Sun,Dinner,2
10.07,1.83,Female,No,Thur,Lunch,1
26.59,3.41,Male,Yes,Sat,Dinner,3
17.31,3.5,Female,No,Sun,Dinner,2
24.52,3.48,Male,No,Sun,Dinner,3
20.92,4.08,Female,No,Sat,Dinner,2
16.32,4.3,Female,Yes,Fri,Dinner,2
17.82,1.75,Male,No,Sat,Dinner,2
21.58,3.92,Male,No,Sun,Dinner,2
10.77,1.47,Male,No,Sat,Dinner,2
11.17,1.5,Female,No,Thur,Lunch,2
25.28,5.0,Female,Yes,Sat,Dinner,2
15.38,3.0,Female,Yes,Fri,Dinner,2
8.51,1.25,Female,No,Thur,Lunch,2
13.16,2.75,Female,No,Thur,Lunch,2
18.71,4.0,Male,Yes,Thur,Lunch,3
14.07,2.5,Male,No,Sun,Dinner,2
20.29,2.75,Female,No,Sat,Dinner,2
34.3,6.7,Male,No,Thur,Lunch,6
27.2,4.0,Male,No,Thur,Lunch,4
39.42,7.58,Male,No,Sat,Dinner,4
15.98,2.03,Male,No,Thur,Lunch,2
18.78,3.0,Female,No,Thur,Dinner,2
14.48,2.0,Male,Yes,Sun,Dinner,2
27.2,4.0,Male,No,Thur,Lunch,4
10.07,1.25,Male,No,Sat,Dinner,2
16.97,3.5,Female,No,Sun,Dinner,3
13.42,1.68,Female,No,Thur,Lunch,2
20.08,3.15,Male,No,Sat,Dinner,3
17.07,3.0,Female,No,Sat,Dinner,3
17.81,2.34,Male,No,Sat,Dinner,4
18.35,2.5,Male,No,Sat,Dinner,4
10.33,2.0,Female,No,Thur,Lunch,2
34.63,3.55,Male,Yes,Sun,Dinner,2
16.49,2.0,Male,No,Sun,Dinner,4
7.51,2.0,Male,No,Thur,Lunch,2
21.16,3.0,Male,No,Thur,Lunch,2
12.16,2.2,Male,Yes,Fri,Lunch,2
12.02,1.97,Male,No,Sat,Dinner,2
11.24,1.76,Male,Yes,Sat,Dinner,2
16.58,4.0,Male,Yes,Thur,Lunch,2
24.55,2.0,Male,No,Sun,Dinner,4
14.78,3.23,Male,No,Sun,Dinner,2
17.89,2.0,Male,Yes,Sun,Dinner,2
21.01,3.5,Male,No,Sun,Dinner,3
17.92,3.08,Male,Yes,Sat,Dinner,2
25.71,4.0,Female,No,Sun,Dinner,3
17.46,2.54,Male,No,Sun,Dinner,2
16.58,4.0,Male,Yes,Thur,Lunch,2
22.76,3.0,Male,No,Thur,Lunch,2
11.69,2.31,Male,No,Thur,Lunch,2
