total_bill,tip,sex,smoker,day,time,size
26.86,3.14,Female,Yes,Sat,Dinner,2
5.75,1.0,Female,Yes,Fri,Dinner,2
16.58,4.0,Male,Yes,Thur,Lunch,2
17.59,2.64,Male,No,Sat,Dinner,3
18.69,2.31,Male,No,Sat,Dinner,3
7.25,5.15,Male,Yes,Sun,Dinner,2
23.17,6.5,Male,Yes,Sun,Dinner,4
24.06,3.6,Male,No,Sat,Dinner,3
7.51,2.0,Male,No,Thur,Lunch,2
10.29,2.6,Female,No,Sun,Dinner,2
10.77,1.47,Male,No,Sat,Dinner,2
18.43,3.0,Male,No,Sun,Dinner,4
34.83,5.17,Female,No,Thur,Lunch,4
16.43,2.3,Female,No,Thur,Lunch,2
21.01,3.0,Male,Yes,Fri,Dinner,2
18.43,3.0,Male,No,Sun,Dinner,4
17.82,1.75,Male,No,Sat,Dinner,2
13.37,2.0,Male,No,Sat,Dinner,2
11.02,1.98,Male,Yes,Sat,Dinner,2
29.93,5.07,Male,No,Sun,Dinner,4
14.78,3.23,Male,No,Sun,Dinner,2
18.71,4.0,Male,Yes,Thur,Lunch,3
7.25,1.0,Female,No,Sat,Dinner,1
14.0,3.0,Male,No,Sat,Dinner,2
14.31,4.0,Female,Yes,Sat,Dinner,2
28.55,2.05,Male,No,Sun,Dinner,3
17.26,2.74,Male,No,Sun,Dinner,3
48.17,5.0,Male,No,Sun,Dinner,6
17.82,1.75,Male,No,Sat,Dinner,2
41.19,5.0,Male,No,Thur,Lunch,5
26.86,3.14,Female,Yes,Sat,Dinner,2
23.1,4.0,Male,Yes,Sun,Dinner,3
11.02,1.98,Male,Yes,Sat,Dinner,2
12.9,1.1,Female,Yes,Sat,Dinner,2
24.27,2.03,Male,Yes,Sat,Dinner,2
24.06,3.6,Male,No,Sat,Dinner,3
40.17,4.73,Male,Yes,Fri,Dinner,4
10.77,1.47,Male,No,Sat,Dinner,2
17.59,2.64,Male,No,Sat,Dinner,3
20.69,2.45,Female,No,Sat,Dinner,4
20.76,2.24,Male,No,Sun,Dinner,2
30.4,5.6,Male,No,Sun,Dinner,4
18.28,4.0,Male,No,Thur,Lunch,2
22.82,2.18,Male,No,Thur,Lunch,3
13.27,2.5,Female,Yes,Sat,Dinner,2
7.74,1.44,Male,Yes,Sat,Dinner,2
7.51,2.0,Male,No,Thur,Lunch,2
19.49,3.51,Male,No,Sun,Dinner,2
45.35,3.5,Male,Yes,Sun,Dinner,3
39.42,7.58,Male,No,Sat,Dinner,4
10.34,2.0,Male,Yes,Thur,Lunch,2
19.81,4.19,Female,Yes,Thur,Lunch,2
12.46,1.5,Male,No,Fri,Dinner,2
40.55,3.0,Male,Yes,Sun,Dinner,2
10.29,2.6,Female,No,Sun,Dinner,2
7.74,1.44,Male,Yes,Sat,Dinner,2
17.92,3.08,Male,Yes,Sat,Dinner,2
8.35,1.5,Female,No,Thur,Lunch,2
13.28,2.72,Male,No,Sat,Dinner,2
21.5,3.5,Male,No,Sun,Dinner,4
20.9,3.5,Female,Yes,Sun,Dinner,3
41.19,5.0,Male,No,Thur,Lunch,5
39.42,7.58,Male,No,Sat,Dinner,4
35.83,4.67,Female,No,Sat,Dinner,3
21.7,4.3,Male,No,Sat,Dinner,2
5.75,1.0,Female,Yes,Fri,Dinner,2
10.09,2.0,Female,Yes,Fri,Lunch,2
18.69,2.31,Male,No,Sat,Dinner,3
19.82,3.18,Male,No,Sat,Dinner,2
15.01,2.09,Male,Yes,Sat,Dinner,2
27.2,4.0,Male,No,Thur,Lunch,4
24.59,3.61,Female,No,Sun,Dinner,4
16.49,2.0,Male,No,Sun,Dinner,4
13.81,2.0,Male,No,Sun,Dinner,2
19.82,3.18,Male,No,Sat,Dinner,2
48.27,6.73,Male,No,Sat,Dinner,4
20.65,3.35,Male,No,Sat,Dinner,3
19.77,2.0,Male,No,Sun,Dinner,4
15.95,2.0,Male,No,Thur,Lunch,2
35.83,4.67,Female,No,Sat,Dinner,3
16.45,2.47,Female,No,Sat,Dinner,2
7.56,1.44,Male,No,Thur,Lunch,2
16.21,2.0,Female,No,Sun,Dinner,3
13.81,2.0,Male,No,Sun,Dinner,2
7.56,1.44,Male,No,Thur,Lunch,2
16.4,2.5,Female,Yes,Thur,Lunch,2
10.33,2.0,Female,No,Thur,Lunch,2
17.78,3.27,Male,No,Sat,Dinner,2
18.15,3.5,Female,Yes,Sun,Dinner,3
7.56,1.44,Male,No,Thur,Lunch,2
34.3,6.7,Male,No,Thur,Lunch,6
40.55,3.0,Male,Yes,Sun,Dinner,2
28.17,6.5,Female,Yes,Sat,Dinner,3
13.42,3.48,Female,Yes,Fri,Lunch,2
17.59,2.64,Male,No,Sat,Dinner,3
11.61,3.39,Male,No,Sat,Dinner,2
14.52,2.0,Female,No,Thur,Lunch,2
22.75,3.25,Female,No,Fri,Dinner,2
32.4,6.0,Male,No,Sun,Dinner,4
32.4,6.0,Male,No,Sun,Dinner,4
18.28,4.0,Male,No,Thur,Lunch,2
20.53,4.0,Male,Yes,Thur,Lunch,4
15.01,2.09,Male,Yes,Sat,Dinner,2
19.49,3.51,Male,No,Sun,Dinner,2
10.09,2.0,Female,Yes,Fri,Lunch,2
28.44,2.56,Male,Yes,Thur,Lunch,2
45.35,3.5,Male,Yes,Sun,Dinner,3
19.44,3.0,Male,Yes,Thur,Lunch,2
