series,year,month,count,rate,date
Government,2000,6,790.0,1.6,2024-08-14T09:58:09
Government,2000,8,484.0,2.1,2023-09-24T07:03:55
Government,2008,1,453.0,3.3,2021-11-18T13:00:32
Government,2006,8,485.0,1.9,2022-10-08T20:34:46
Government,2007,3,512.0,2.7,2022-11-06T12:34:37
Government,2003,3,484.0,3.9,2021-10-14T05:50:21
Government,2004,5,576.0,3.6,2023-06-18T21:34:52
Government,2003,9,456.0,1.8,2023-06-07T19:51:02
Government,2000,9,536.0,2.2,2022-01-22T22:31:11
Government,2006,1,759.0,2.6,2022-12-12T07:32:59
Government,2008,5,410.0,2.6,2020-12-18T06:41:35
Government,2010,1,680.0,1.7,2020-05-22T21:28:47
Government,2004,8,360.0,2.2,2021-03-12T15:13:17
Government,2003,6,631.0,3.3,2020-01-24T09:15:40
Government,2007,3,565.0,2.3,2021-12-29T15:56:42
Government,2008,3,441.0,2.2,2024-01-19T20:37:31
Government,2004,7,730.0,1.5,2020-11-07T03:31:24
Government,2009,1,616.0,2.3,2022-01-17T00:20:15
Government,2007,12,581.0,3.5,2024-06-20T14:52:18
Government,2001,4,498.0,2.3,2022-02-06T05:19:46
Government,2006,11,805.0,2.2,2022-05-31T15:46:37
Government,2006,5,670.0,1.8,2021-04-14T18:25:52
Government,2005,9,494.0,2.9,2022-08-17T16:44:21
Government,2008,2,419.0,2.3,2023-01-23T11:15:14
Government,2009,2,505.0,2.1,2023-03-26T03:44:17
Government,2004,6,538.0,1.9,2024-05-07T10:27:54
Government,2005,1,404.0,3.3,2020-01-30T18:25:28
Government,2001,3,466.0,3.2,2024-08-04T08:35:46
Government,2006,5,809.0,2.6,2022-04-14T12:33:44
Government,2005,5,347.0,2.7,2020-12-11T08:31:45
Government,2006,1,613.0,2.5,2023-09-08T00:23:56
Government,2002,3,669.0,3.1,2024-05-10T22:45:41
Government,2007,5,357.0,3.9,2023-12-05T22:55:36
Government,2008,4,440.0,1.5,2023-01-02T03:21:12
Government,2008,4,724.0,2.8,2020-12-27T01:13:52
Government,2000,11,512.0,1.8,2022-09-09T17:32:17
Government,2002,1,607.0,3.5,2022-08-09T06:23:10
Government,2006,1,571.0,2.0,2021-02-24T01:43:27
Government,2004,1,429.0,4.7,2023-09-15T20:43:43
Government,2009,5,640.0,3.5,2024-11-07T05:56:42
Government,2003,7,468.0,2.5,2021-08-31T08:58:11
Government,2008,9,537.0,2.7,2020-06-13T08:09:39
Government,2005,5,587.0,2.8,2024-10-23T14:04:47
Government,2002,5,628.0,3.5,2022-01-09T07:21:59
Government,2004,9,625.0,2.1,2021-11-26T00:25:42
Government,2004,3,530.0,2.2,2020-03-11T18:56:55
Government,2001,1,446.0,3.4,2022-03-14T16:08:39
Government,2002,9,581.0,2.4,2020-09-30T18:09:08
Government,2007,5,393.0,3.5,2023-08-24T13:52:55
Government,2006,3,305.0,2.9,2023-09-09T19:43:01
Government,2009,10,502.0,1.1,2021-11-16T10:55:31
Government,2006,12,385.0,4.0,2022-07-17T04:47:40
Government,2009,12,403.0,3.0,2023-05-16T04:49:16
Government,2001,1,626.0,2.0,2021-11-21T01:28:15
Government,2009,3,499.0,3.1,2023-03-10T07:29:56
Government,2008,8,372.0,2.5,2020-04-07T16:21:34
Government,2007,11,460.0,1.7,2021-10-14T12:38:15
Government,2000,3,464.0,1.2,2024-02-29T08:06:01
Government,2010,4,659.0,2.8,2020-10-18T15:14:56
Government,2001,2,493.0,3.3,2021-07-23T19:47:33
Government,2007,4,295.0,1.5,2021-01-28T06:21:31
Government,2002,12,432.0,2.3,2020-12-01T14:29:40
Government,2007,8,570.0,2.4,2021-05-07T11:55:05
Government,2006,4,643.0,1.8,2023-09-25T23:16:08
Government,2004,2,553.0,2.3,2022-08-06T12:15:31
Government,2000,2,547.0,1.8,2020-08-03T12:04:02
Government,2009,8,587.0,2.6,2024-09-18T23:41:51
Government,2004,1,362.0,2.7,2024-07-28T10:57:55
Government,2005,9,428.0,2.6,2021-04-30T14:42:32
Government,2008,7,859.0,2.2,2024-05-21T14:37:42
Government,2005,1,370.0,2.2,2023-04-28T16:31:05
Government,2010,4,715.0,3.3,2020-02-14T09:16:24
Government,2003,9,503.0,3.4,2024-05-08T22:25:26
Government,2000,12,769.0,2.3,2024-07-24T07:01:16
Government,2008,7,537.0,2.8,2020-09-13T14:19:11
Government,2008,4,362.0,2.1,2023-05-09T12:28:10
Government,2001,4,593.0,2.7,2020-12-22T14:57:11
Government,2002,11,836.0,2.8,2020-11-08T14:18:06
Government,2005,3,336.0,3.1,2023-03-23T19:26:27
Government,2000,1,957.0,2.8,2022-09-13T09:45:31
Government,2004,2,788.0,3.2,2020-11-16T13:37:50
Government,2006,6,413.0,3.2,2021-08-25T00:56:40
Government,2006,1,714.0,1.6,2022-03-17T11:14:55
Government,2007,2,909.0,2.4,2021-11-12T01:39:32
Government,2000,8,718.0,2.9,2022-12-09T03:12:43
Government,2000,2,704.0,2.0,2024-11-03T04:31:58
Government,2003,9,543.0,3.2,2024-01-01T01:40:10
Government,2003,8,716.0,2.7,2020-04-20T06:46:00
Government,2002,2,472.0,3.6,2023-08-04T14:47:13
Government,2006,8,544.0,2.4,2021-09-29T09:22:35
Government,2003,12,434.0,3.3,2021-10-30T08:43:08
Government,2005,5,581.0,2.7,2020-03-07T08:23:29
Government,2005,10,513.0,3.8,2022-08-20T06:05:01
Government,2009,7,254.0,2.2,2020-09-13T20:41:51
Government,2006,1,602.0,2.7,2023-04-07T03:38:59
Government,2006,7,640.0,3.2,2022-04-18T09:17:16
Government,2006,2,540.0,1.9,2024-06-11T05:29:30
Government,2001,2,339.0,2.1,2020-05-26T18:21:05
Government,2002,12,325.0,3.1,2021-04-26T23:24:16
Government,2001,1,458.0,2.3,2020-06-17T17:06:52
Government,2001,12,350.0,2.7,2021-02-22T12:30:29
Government,2005,9,675.0,2.2,2021-12-20T02:05:30
Government,2002,11,613.0,3.0,2023-01-02T07:58:37
Government,2001,11,737.0,2.0,2023-10-16T09:11:15
Government,2003,7,294.0,1.6,2020-02-07T00:39:42
Government,2001,7,554.0,1.9,2023-10-25T18:39:59
Government,2009,2,752.0,3.3,2022-12-31T13:28:18
Government,2003,6,872.0,2.3,2020-04-30T07:54:55
Government,2000,9,569.0,3.5,2023-01-04T07:45:43
Government,2000,3,560.0,1.6,2022-07-22T05:36:51
Government,2001,7,918.0,2.5,2020-02-07T09:39:36
Government,2007,11,584.0,3.4,2022-05-28T04:25:34
Government,2004,11,404.0,2.1,2022-02-06T22:42:28
Government,2003,9,699.0,1.9,2021-02-11T23:33:24
Government,2003,1,648.0,2.0,2020-07-07T11:57:24
Government,2002,10,529.0,2.4,2024-03-31T21:41:22
Government,2000,10,426.0,3.0,2023-01-29T20:24:11
Government,2002,9,605.0,2.2,2021-02-10T17:30:13
Government,2007,2,677.0,2.2,2023-09-09T10:55:49
Government,2003,1,497.0,3.2,2023-02-24T23:36:28
Government,2003,7,617.0,2.3,2021-09-27T03:08:41
Government,2008,2,592.0,2.5,2023-10-25T01:20:16
Mining and Extraction,2009,2,36.0,0.4,2022-07-24T07:42:41
Mining and Extraction,2004,3,18.0,2.5,2023-11-23T13:22:07
