code,state,category,total exports,beef,pork,poultry,dairy,fruits fresh,fruits proc,total fruits,veggies fresh,veggies proc,total veggies,corn,wheat,cotton
MT	Montana,,state,5055.58,131.4,126.1,69.9,25.25,62.5,107.3,420.21,25.5,26.5,90.79,199.1,126.4,286.36
RI	Rhode Island,,state,7067.7,0.7,97.8,65.7,330.78,66.2,151.5,944.72,18.0,25.9,32.84,185.3,374.7,207.32
RI	Rhode Island,,state,5205.24,19.3,148.0,35.8,17.21,115.3,135.32,766.6,32.1,130.8,187.58,350.4,2.1,445.38
NM	New Mexico,,state,3466.35,11.5,113.4,187.1,21.52,42.5,81.6,210.74,2.2,49.2,59.04,362.2,246.9,33.77
NE	Nebraska,,state,5906.61,9.3,9.7,39.3,3.71,50.62,358.0,472.3,14.8,85.07,169.8,1094.4,474.8,235.04
NV	Nevada,,state,735.41,0.1,15.7,218.8,9.85,68.5,227.6,352.92,17.1,54.1,62.87,64.9,321.6,112.78
NH	New Hampshire,,state,240.6,33.8,43.92,81.3,182.0,85.8,104.27,202.27,1.8,101.78,137.6,35.0,57.7,4.16
ND	North Dakota,,state,11192.28,1.8,195.3,237.1,1.69,5.8,25.8,466.24,21.3,53.08,57.3,172.2,82.9,86.84
PA	Pennsylvania,,state,1296.66,7.4,97.6,30.0,28.3,44.8,227.7,482.96,28.7,32.6,68.07,141.9,23.3,157.22
AR	Arkansas,,state,464.53,139.0,317.8,121.1,85.25,38.2,55.3,244.23,17.1,107.7,174.96,78.5,137.7,8.16
TN	Tennessee,,state,1243.59,13.9,13.7,4.0,2.79,66.4,147.9,255.2,40.8,57.89,85.7,40.0,921.7,74.94
OK	Oklahoma,,state,5292.2,189.5,116.7,23.6,14.63,64.9,201.2,272.47,53.8,138.16,179.1,184.2,690.0,232.6
NE	Nebraska,,state,1806.83,0.1,177.9,54.2,850.97,41.0,95.0,329.28,29.11,33.2,36.1,10.2,18.2,3.55
MS	Mississippi,,state,2076.25,49.8,38.8,567.6,58.37,65.9,165.6,1068.79,35.0,72.6,90.44,596.3,223.9,50.89
NY	New York,,state,6450.73,155.3,9.7,33.9,18.77,72.5,349.99,441.1,81.62,135.6,139.6,160.0,3.7,12.37
AK	Alaska,,state,4904.84,146.9,34.3,294.8,45.35,121.0,146.7,257.83,0.7,36.3,130.27,40.7,197.7,4.86
AL	Alabama,,state,289.82,55.9,191.3,94.2,18.09,59.9,90.7,105.14,24.2,24.2,27.64,38.8,33.2,265.91
CT	Connecticut,,state,3408.0,0.1,93.8,32.7,91.08,82.0,200.5,333.8,21.2,187.44,213.6,282.5,203.3,225.94
NV	Nevada,,state,1665.37,99.3,203.3,92.6,20.56,5.5,22.2,806.46,31.23,34.9,65.6,106.5,107.9,557.69
SC	South Carolina,,state,953.54,17.0,199.6,70.2,15.28,13.7,57.94,310.5,71.45,90.4,123.3,134.2,614.4,159.69
OR	Oregon,,state,1033.82,0.1,13.3,83.4,8.62,25.1,65.2,441.32,15.6,24.6,111.42,184.1,48.0,59.3
IL	Illinois,,state,529.4,1.0,30.6,167.61,9.35,18.7,122.6,132.9,38.0,41.1,176.06,29.6,330.5,297.86
WY	Wyoming,,state,5957.92,238.3,59.9,22.2,43.25,102.35,190.3,360.6,1.4,9.8,100.09,193.0,194.3,30.91
ID	Idaho,,state,7806.53,23.1,80.8,46.1,286.72,61.83,143.5,185.4,42.3,106.1,183.49,84.2,82.2,219.13
NY	New York,,state,1548.15,151.3,10.3,13.7,51.79,1.9,31.8,131.92,41.8,53.82,197.6,9.8,1250.8,66.51
KY	Kentucky,,state,547.6,13.2,2.7,11.0,5.01,35.4,76.68,193.1,4.4,41.5,54.13,163.6,278.58,122.63
NJ	New Jersey,,state,1748.71,235.6,8.9,330.0,4.72,78.3,175.4,715.42,32.2,33.1,83.72,464.9,36.5,201.9
NE	Nebraska,,state,486.65,77.7,75.8,134.4,3.44,54.3,127.1,283.38,32.66,61.2,67.3,101.4,24.5,111.69
