iata,airport,city,state,country,lat,long,cnt
FAT,Columbia Metropolitan,Pocatello	ID,,USA,46.16623665,-84.06395703,573.9152707188715
RST,John F Kennedy Intl,Dothan	AL,,USA,38.05742503,-123.4612618,27.151646182299025
LEX,Bradley International,Louisville	KY,,USA,41.27505345,-87.30569501,7883.597973329241
HDN,Redding Municipal,Manchester	NH,,USA,39.57087124,-90.3857433,1233.246346630862
PHL,San Antonio International,St Louis	MO,,USA,38.94927274,-101.03926337,291.5297435110842
HDN,Long Beach (Daugherty ),Redmond	OR,,USA,36.95423572,-70.69068785,9868.013202067026
MAF,Inyokern,Chicago	IL,,USA,29.85884207,-82.34276155,2257.4490138887227
CAE,Yampa Valley,Harlingen	TX,,USA,34.33294756,-91.44523417,700.5463274206172
AVL,Southwest Florida International,Greensboro	NC,,USA,32.41699796,-70.88292991,1456.5984429698958
OMA,Sheppard AFB/Wichita Falls Municipal,New Orleans	LA,,USA,30.50581721,-123.62103671,1426.741665805379
RST,Santa Maria Pub/Capt G Allan Hancock,Pocatello	ID,,USA,38.34217314,-73.54793037,732.5553132575412
BTV,St. Petersburg-Clearwater International,Eagle	CO,,USA,33.7482397,-83.03756528,985.448622527944
GRK,George Bush Intercontinental,Oakland	CA,,USA,34.15301961,-89.52529037,2339.0048478103517
PHF,Eagle County Regional,Rock Springs	WY,,USA,43.5940154,-102.63500463,7431.859336856904
ORD,Louisville International-Standiford,Gillette	WY,,USA,35.79793101,-73.51355919,624.3739996130048
MAF,Bush,Valdosta	GA,,USA,40.44223749,-81.15830473,679.1620042271478
GPT,Daytona Beach International,Duluth	MN,,USA,31.94530907,-89.34733293,23.0
SEA,Charlottesville-Albermarle,Detroit	MI,,USA,38.69632183,-114.07472089,2984.065389531437
GRB,Albert J Ellis,Evansville	IN,,USA,45.64156101,-94.95525049,3974.417478287949
DAL,Rogue Valley International,Jacksonville	FL,,USA,33.81481753,-87.04083296,2288.2934301641053
AVP,Memphis International,McAllen	TX,,USA,41.79826576,-73.17448415,28.83677084350895
