year,month,date_of_month,day_of_week,births
1994,3,26,4,11037
1994,4,11,3,8691
1994,3,21,6,10669
1994,8,8,5,11653
1994,2,24,2,10970
1994,10,11,1,11013
1994,5,19,3,11805
1994,4,29,1,9667
1994,4,19,6,12240
1994,5,17,3,8419
1994,4,16,2,8822
1994,7,10,7,8524
1994,6,20,2,12269
1994,1,24,5,8813
1994,8,24,2,7766
1994,2,22,6,10580
1994,4,2,6,13380
1994,2,2,5,12086
1994,3,7,1,12787
1994,5,15,5,10234
1994,10,6,7,10664
1994,2,9,3,7903
1994,4,23,3,11621
1994,2,14,7,10194
1994,9,4,1,8387
1994,7,4,3,10044
1994,10,11,2,11583
1994,3,13,7,12716
1994,1,23,6,9344
1994,7,17,3,12126
1994,6,15,3,9890
1994,12,9,5,11186
1994,8,10,6,11207
1994,5,2,4,11805
1994,10,30,6,8616
1994,4,29,2,10282
1994,7,24,4,9634
1994,11,20,2,12391
1994,6,4,4,7275
1994,9,21,2,10757
1994,11,29,3,11623
1994,6,14,5,8819
1994,9,27,6,10713
1994,9,20,4,7706
1994,2,12,2,13994
1994,5,29,4,11419
1994,5,12,6,10274
1994,11,23,4,14540
1994,11,26,4,6795
1994,12,23,5,10020
1994,10,5,6,11556
1994,11,29,2,12244
1994,4,6,5,10773
1994,9,7,3,9165
1994,9,15,5,10944
1994,7,2,5,14060
1994,12,3,2,8296
1994,5,3,7,9335
1994,3,30,2,9535
1994,10,14,6,11690
1994,7,20,1,10777
1994,5,11,7,11012
1994,5,14,1,11941
1994,10,10,7,13139
1994,12,31,2,13324
1994,10,2,3,12111
1994,12,5,1,11920
1994,10,9,7,14540
1994,1,17,5,11002
1994,5,20,4,9158
1994,6,24,6,10053
1994,3,3,3,8992
1994,12,7,3,11999
1994,11,19,3,7679
1994,3,19,6,10021
1994,12,30,4,11927
1994,8,26,2,8851
1994,3,6,6,7403
1994,12,30,6,8455
1994,6,3,2,10491
1994,11,28,3,12513
1994,5,31,6,11977
1994,12,18,4,10201
1994,11,5,6,7979
1994,8,10,6,9532
1994,5,4,2,14540
1994,8,3,1,8344
1994,3,27,7,12228
1994,1,25,2,8372
1994,5,22,7,11036
1994,8,9,3,7434
1994,7,7,3,11530
1994,8,25,6,10563
1994,5,14,4,8118
1994,5,13,6,11627
1994,2,7,4,9490
1994,6,18,7,9604
1994,7,29,3,7627
1994,12,18,3,12947
1994,12,7,4,11798
1994,6,10,5,8381
1994,1,14,7,6988
1994,9,17,3,9808
1994,9,26,2,14540
1994,5,27,1,11547
1994,3,10,3,14476
1994,6,30,4,8989
1994,4,25,5,11345
1994,8,14,6,9387
1994,10,3,5,12402
1994,4,15,6,10420
1994,2,12,3,13262
1994,10,21,6,13099
1994,9,11,2,7337
1994,6,18,6,10060
1994,12,14,5,11641
1994,2,22,6,8520
1994,7,23,3,10086
1994,10,31,4,7256
1994,2,24,3,10755
1994,6,15,4,7340
1994,10,15,2,12135
1994,3,14,4,10462
1994,11,21,1,12235
1994,7,2,7,11482
1994,4,16,3,9110
1994,11,30,2,10880
1994,7,25,5,10653
1994,2,11,5,10090
1994,1,14,2,8731
1994,12,17,3,8335
1994,10,20,5,14222
1994,8,3,3,14540
1994,3,12,6,9737
1994,7,7,7,10620
1994,10,17,4,10892
1994,12,6,3,11594
1994,9,29,6,8573
1994,2,20,6,8541
1994,1,21,7,12016
1994,8,12,7,10580
1994,8,5,4,10482
1994,10,12,2,10978
1994,10,15,6,12703
1994,7,13,5,12928
1994,2,15,2,9430
1994,10,7,7,8423
1994,12,29,4,12690
1994,2,19,4,10920
1994,8,21,1,8445
1994,10,12,1,12901
1994,3,2,5,10424
1994,12,28,1,6443
1994,6,18,3,9590
1994,11,10,6,11170
1994,9,3,1,11849
1994,3,8,7,10429
1994,9,20,6,8718
1994,2,9,1,7719
1994,4,12,4,10872
1994,11,14,5,11767
1994,8,11,6,9192
1994,9,20,5,8065
1994,10,25,7,11446
1994,10,8,7,9277
1994,12,4,2,9320
1994,12,17,1,10326
1994,8,10,5,8342
1994,10,5,1,12469
1994,1,28,3,9217
1994,12,25,2,10954
1994,1,24,6,10660
1994,2,6,2,13569
1994,8,23,7,12841
1994,8,18,7,9156
1994,11,14,2,11609
1994,10,10,6,12958
1994,1,21,2,8311
1994,8,9,2,12271
1994,11,11,1,6988
1994,3,10,2,9883
1994,11,25,2,11413
1994,12,12,4,10007
1994,10,20,2,9900
1994,10,22,3,9418
1994,3,26,6,9823
1994,3,6,3,8676
1994,12,1,2,11699
1994,7,14,2,12113
1994,6,27,1,11485
1994,2,11,5,13938
1994,5,6,3,11973
1994,12,15,5,8251
1994,11,10,3,12543
1994,11,3,4,8672
1994,10,8,6,9269
1994,9,1,4,14540
1994,12,19,4,12144
1994,3,20,6,6590
1994,3,6,7,10519
1994,8,8,6,11932
1994,12,22,3,10947
1994,6,22,4,10826
1994,4,25,2,13265
1994,2,1,2,8573
1994,3,28,6,11702
1994,1,9,7,10177
1994,8,19,1,9543
1994,12,26,4,9204
1994,9,16,3,14540
1994,7,17,2,13824
1994,8,12,7,11642
1994,9,17,2,8065
1994,9,15,7,12283
1994,2,15,5,13852
1994,8,31,2,14540
1994,5,22,6,12821
1994,1,2,1,6443
1994,11,4,5,10085
1994,1,24,1,6845
1994,5,28,2,11149
1994,12,14,6,11436
1994,7,9,3,10017
1994,6,27,4,11620
1994,12,17,1,13851
1994,12,6,1,10140
1994,7,16,4,12190
1994,7,12,4,9623
1994,4,14,2,13564
1994,11,20,2,11030
1994,10,11,5,10467
1994,6,16,3,9756
1994,8,9,2,10366
1994,9,16,2,10882
1994,10,29,6,14127
1994,1,24,3,10538
1994,7,9,5,8561
1994,7,10,3,9193
1994,4,4,4,11999
1994,8,5,6,13956
1994,6,23,7,12337
1994,10,4,4,12491
1994,9,3,3,10184
1994,11,25,4,11658
1994,5,22,2,11725
1994,5,8,2,12872
1994,11,8,3,10004
1994,12,18,7,10766
1994,7,21,4,9102
1994,4,10,3,13794
1994,7,15,7,12623
1994,8,10,7,11483
1994,7,16,7,14482
1994,4,3,2,10495
1994,1,25,5,6531
1994,2,25,3,13788
1994,5,11,2,10498
1994,7,6,4,10529
1994,1,5,6,10621
1994,7,30,3,10403
1994,4,24,5,11925
1994,4,4,5,10880
1994,11,23,7,7881
1994,6,15,6,8488
1994,3,16,2,11270
1994,4,21,6,12331
1994,8,8,4,12999
1994,7,16,6,7097
1994,4,3,7,10074
1994,8,20,6,12309
1994,2,20,4,11003
1994,5,25,6,12562
1994,11,11,6,13409
1994,4,6,4,14044
1994,4,9,1,13185
1994,6,15,1,9585
1994,4,24,5,10666
1994,3,14,5,7167
1994,3,31,6,10377
1994,1,23,7,13105
1994,7,1,4,8540
1994,9,22,5,8784
1994,1,13,6,13904
1994,8,19,2,10505
1994,1,4,4,11526
1994,2,21,6,10950
1994,8,24,3,12225
1994,10,16,7,11771
1994,5,9,1,8016
1994,3,2,2,10888
1994,11,11,6,10441
1994,1,10,3,6756
1994,1,23,7,11047
1994,6,2,3,10386
1994,2,11,7,12372
1994,9,4,4,9493
1994,1,16,7,14210
1994,5,4,6,14182
1994,2,6,3,7726
1994,1,16,6,10953
1994,7,7,3,11380
1994,8,16,4,10877
1994,6,2,1,11714
1994,4,5,4,10912
1994,2,29,7,11498
1994,6,8,5,12664
1994,11,19,3,13184
1994,5,26,5,7290
1994,11,5,4,10353
1994,11,10,5,13258
1994,7,13,1,6443
1994,4,8,6,8421
1994,9,29,7,11518
1994,8,17,5,10677
1994,10,2,2,8798
1994,4,4,6,14376
1994,8,24,1,13207
1994,11,18,3,11883
1994,8,19,5,12463
1994,9,30,7,10154
1994,11,3,7,10834
1994,9,21,5,10661
1994,1,5,6,12698
1994,6,4,4,14540
1994,3,8,6,10130
1994,10,23,5,11004
1994,7,3,6,10576
1994,9,21,1,12116
1994,12,22,5,10480
1994,1,12,4,12230
1994,1,29,4,11769
1994,2,17,2,8737
1994,5,1,1,13567
1994,2,2,2,13646
1994,8,27,6,11712
1994,12,28,3,7278
1994,4,28,2,10592
1994,4,12,2,8817
1994,8,23,4,10381
1994,4,25,6,11797
1994,9,14,3,10284
1994,1,13,3,14135
1994,4,11,3,8111
1994,7,20,2,10438
1994,3,13,7,8414
1994,8,2,1,11577
1994,1,13,5,11969
1994,9,2,7,12679
1994,5,19,2,8991
1994,11,14,5,9606
1994,2,5,1,11441
1994,4,13,4,12957
1994,8,8,2,10238
1994,7,21,7,8385
1994,1,22,2,13224
1994,5,22,6,9915
1994,9,10,2,12586
1994,3,10,3,12184
1994,8,29,1,12028
1994,7,6,2,12571
1994,1,24,2,10350
1994,6,27,6,13397
1994,4,20,4,13330
1994,8,29,7,13944
1994,10,30,7,10753
1994,9,25,4,10553
1994,7,6,3,10951
1994,7,13,3,13011
1994,2,2,5,11341
1994,3,9,2,9418
1994,3,4,4,8296
1994,12,10,5,9138
1994,4,18,4,12308
1994,10,22,3,14540
1994,2,15,3,8718
1994,1,18,4,13025
1994,8,17,6,12357
1994,9,4,3,10130
1994,2,25,1,8891
1994,11,9,1,7717
1994,1,27,6,11251
1994,8,27,4,13348
1994,5,13,7,10378
1994,12,2,4,9030
1994,1,17,5,10332
1994,7,9,1,10139
1994,5,9,5,12261
1994,3,17,3,10697
1994,1,6,5,10440
1994,2,23,7,12875
1994,9,27,6,14098
1994,3,22,7,8897
1994,12,26,5,8645
1994,7,10,2,11814
1994,10,17,2,8851
1994,5,7,6,8375
1994,6,8,7,11455
1994,1,26,4,14000
1994,8,31,4,11376
1994,1,19,7,9447
1994,1,9,4,10137
1994,4,26,3,8725
1994,8,22,5,10996
1994,10,27,7,10062
1994,12,14,6,12313
1994,3,3,3,11410
1995,10,11,2,13802
1995,4,22,6,10507
1995,4,26,4,9972
1995,4,4,4,11500
1995,11,7,5,11679
1995,9,18,5,10567
1995,2,17,1,7941
1995,6,31,6,9058
1995,7,16,4,10067
1995,5,26,7,8936
1995,2,7,4,10407
1995,7,1,2,13682
1995,7,13,4,10664
1995,7,15,3,12190
1995,10,18,5,10591
1995,6,26,7,12993
1995,5,6,1,12250
1995,1,15,4,9521
1995,4,23,7,9786
1995,11,13,4,12148
1995,2,16,6,12550
1995,11,16,7,9040
1995,6,9,2,10385
1995,4,27,5,10116
1995,7,5,1,11743
1995,11,22,2,9614
1995,8,14,1,11664
1995,1,13,7,10327
1995,11,15,4,11798
1995,1,21,2,11093
1995,12,30,1,9242
1995,9,23,6,10796
1995,11,19,6,10786
1995,1,29,2,8853
1995,1,24,2,11361
1995,4,16,1,7192
1995,1,29,4,10594
1995,12,3,7,11328
1995,5,24,4,7257
1995,3,19,3,12752
1995,2,28,7,10028
1995,10,8,6,9920
1995,11,25,2,12867
1995,11,30,4,10226
1995,2,17,6,10754
1995,2,1,2,12183
1995,10,18,1,9344
1995,7,8,4,11914
1995,8,20,6,9803
1995,5,10,1,8736
1995,10,30,5,8640
1995,1,26,1,9975
1995,7,11,4,10867
1995,8,10,5,6443
1995,5,23,7,7994
1995,9,6,6,10821
1995,6,7,4,9434
1995,10,12,6,12807
1995,2,31,2,10664
1995,2,24,7,14540
1995,4,27,5,11285
1995,7,31,4,7539
1995,7,3,4,10838
1995,12,20,7,9602
1995,1,2,2,10577
1995,1,18,3,10048
1995,9,8,6,12100
1995,7,14,1,9057
1995,7,20,4,10580
1995,6,18,1,12725
1995,5,19,5,12391
1995,4,28,3,6963
1995,5,20,4,10238
1995,6,27,4,10412
1995,3,14,1,11753
1995,4,20,7,10277
1995,4,28,4,12246
1995,3,18,6,11255
1995,8,3,4,8806
1995,11,12,5,10732
1995,8,11,5,11951
1995,7,11,7,11973
1995,5,15,7,9409
1995,10,29,1,10860
1995,7,12,7,11613
1995,8,21,7,6944
1995,1,11,6,12812
1995,7,15,3,10520
1995,2,31,2,12305
1995,2,16,6,10279
1995,9,4,2,10340
1995,11,9,1,10582
1995,9,11,6,10817
1995,9,7,1,12934
1995,4,2,2,14114
1995,4,9,7,9413
1995,9,14,2,12274
1995,10,4,1,8832
1995,9,22,2,12484
1995,6,4,3,10195
