year,month,date_of_month,day_of_week,births
2000,5,10,3,11378
2000,8,4,5,9248
2000,5,9,1,14413
2000,7,18,7,11373
2000,1,20,2,8058
2000,5,11,1,11596
2000,12,28,3,13116
2000,4,25,7,9870
2000,4,3,4,8271
2000,3,21,4,10980
2000,1,22,3,13293
2000,10,28,2,12582
2000,4,29,6,13437
2000,6,29,4,10788
2000,4,16,6,11576
2000,10,21,4,12138
2000,12,30,6,6404
2000,6,26,2,7919
2000,8,3,7,13536
2000,1,30,1,10208
2000,11,12,3,8624
2000,7,14,1,14748
2000,8,5,7,15930
2000,4,13,3,11531
2000,12,2,7,14016
2000,2,26,4,16011
2000,11,17,6,10655
2000,12,23,4,11463
2000,10,29,1,10704
2000,9,11,4,11469
2000,1,29,3,12027
2000,3,30,5,10470
2000,11,23,4,11650
2000,6,24,6,10484
2000,8,26,5,9165
2000,12,26,5,15042
2000,7,9,7,9699
2000,8,7,3,10412
2000,11,14,3,16081
2000,8,12,1,11958
2000,12,3,3,9948
2000,12,5,4,13263
2000,2,23,4,9158
2000,1,12,6,11207
2000,11,16,5,7220
2000,11,1,5,11420
2000,5,30,6,10370
2000,8,31,1,13907
2000,11,13,7,9832
2000,7,1,2,12073
2000,9,24,3,9742
2000,3,4,1,10306
2000,6,26,1,9714
2000,1,4,3,10375
2000,2,30,5,10832
2000,11,19,3,9655
2000,2,20,2,9410
2000,5,27,4,13336
2000,5,25,2,10015
2000,8,4,6,11862
2000,4,5,1,11846
2000,7,5,4,9818
2000,3,26,1,13184
2000,5,25,5,9440
2000,3,25,5,12613
2000,9,24,1,13882
2000,9,30,7,11413
2000,8,14,2,10841
2000,11,6,7,8898
2000,9,25,1,9621
2000,5,26,5,14281
2000,4,18,4,9474
2000,5,6,7,11822
2000,3,20,2,8638
2000,10,27,1,15175
2000,12,8,5,13708
2000,5,1,7,11904
2000,8,1,4,11548
2000,2,31,4,8533
2000,2,6,5,12787
2000,4,22,6,13181
2000,10,12,5,10453
2000,10,20,6,12411
2000,5,11,2,10295
2000,12,4,4,9512
2000,8,31,2,9059
2000,12,17,6,12254
2000,11,15,2,10269
2000,8,27,7,9076
2000,6,19,4,9369
2000,9,30,4,11442
2000,8,9,4,13591
2000,12,26,1,13931
2000,11,11,7,12219
2000,8,14,1,11022
2000,9,9,1,10310
2000,2,2,2,7482
2000,10,2,5,9982
2000,1,6,6,11753
2000,12,10,4,7158
2000,1,12,7,10839
2000,10,26,5,6347
2000,8,10,7,6727
2000,4,14,2,5728
2000,1,13,2,5728
2000,12,23,5,11529
2000,4,31,6,5946
2000,3,19,5,7659
2000,7,26,6,9091
2000,2,12,5,15346
2000,8,28,4,12284
2000,1,16,6,12582
2000,7,27,6,9217
2000,1,12,2,12277
2000,2,26,7,5767
2000,2,31,3,7243
2000,4,15,1,11318
2000,2,30,1,10074
2000,12,10,2,9473
2000,9,28,4,11212
2000,9,18,1,13404
2000,9,17,5,5728
2000,2,18,4,13414
2000,10,12,6,8084
2000,4,11,2,12972
2000,4,16,5,13604
2000,10,10,1,7941
2000,5,17,6,9451
2000,3,28,1,12859
2000,6,30,4,10613
2000,2,9,3,11290
2000,12,5,3,10385
2000,7,20,5,14718
2000,10,29,1,8135
2000,9,3,5,15944
2000,8,13,7,12905
2000,4,15,3,6737
2000,9,8,7,10255
2000,11,13,6,15213
2000,12,16,6,12252
2000,10,30,3,10794
2000,10,1,1,11736
2000,2,4,7,11109
2000,12,1,3,12459
2000,8,22,5,12742
2000,7,12,7,10355
2000,1,10,5,12558
2000,12,20,6,12219
2000,5,30,3,7859
2000,4,29,2,12291
2000,9,1,1,11123
2000,9,10,2,9960
2000,1,20,3,15533
2000,7,18,7,12158
2000,4,13,4,11964
2000,10,15,3,6312
2000,10,2,4,5908
2000,9,17,4,10539
2000,4,18,4,16081
2000,12,3,5,10272
2000,11,3,7,12158
2000,3,26,1,15901
2000,7,13,4,14294
2000,5,5,6,9602
2000,9,23,7,12154
2000,4,25,6,10350
2000,11,16,2,11194
2000,4,9,4,13189
2000,5,8,1,13303
2000,12,20,4,15377
2000,1,15,5,12508
2000,10,8,4,13738
2000,6,21,3,8511
2000,9,10,6,8608
2000,2,9,2,11746
2000,10,22,5,12440
2000,2,21,6,10985
2000,12,22,6,7838
2000,5,9,1,9409
2000,5,11,1,10704
2000,7,3,2,11095
2000,7,22,1,15350
2000,10,30,2,13792
2000,4,9,4,10761
2000,12,2,2,13242
2000,11,18,4,9340
2000,9,9,2,13083
2000,5,2,2,10347
2000,1,30,3,12838
2000,4,27,6,12920
2000,2,16,6,12418
2000,2,18,7,12565
2000,8,28,7,7927
2000,7,2,4,12555
2000,7,17,7,12799
2000,4,17,3,12269
2000,1,12,7,14018
2000,10,1,6,8951
2000,5,31,2,12482
2000,5,16,2,11745
2000,12,17,5,10964
2000,3,19,2,11797
2000,5,28,3,9434
2000,9,21,1,9782
2000,12,16,6,13113
2000,8,8,3,11342
2000,10,18,4,8651
2000,1,21,6,8716
2000,10,26,7,16081
2000,5,11,1,12752
2000,9,8,4,10945
2000,6,28,3,6986
2000,11,16,1,11247
2000,11,6,3,9066
2000,5,23,4,10227
2000,12,20,3,10888
2000,10,24,6,11661
2000,6,29,1,14169
2000,4,30,5,7553
2000,11,21,2,10842
2000,2,19,2,8379
2000,5,9,6,9392
2000,3,9,1,9898
2000,5,3,7,12151
2000,8,21,6,8762
2000,7,29,2,10732
2000,1,17,2,7816
2000,5,12,3,12720
2000,8,12,1,14978
2000,7,19,6,8260
2000,10,28,5,11746
2000,9,15,6,11933
2000,5,21,6,14622
2000,6,16,4,9640
2000,5,21,6,8150
2000,9,16,3,6769
2000,9,22,3,11081
2000,12,1,6,13058
2000,6,13,7,12031
2000,4,28,7,6804
2000,7,18,4,9846
2000,4,9,5,11870
2000,3,14,2,12632
2000,9,5,6,13380
2000,7,21,2,7754
2000,2,3,5,11943
2000,5,25,6,15927
2000,10,24,1,11261
2000,11,27,7,10452
2000,7,15,4,8138
2000,4,5,7,9662
2000,11,7,5,8627
