name,pop,lat,lon
Xenia,8287238,44.5910514,-94.30953497
Cudahy,8287238,31.3446466,-79.71656173
Wood-Ridge borough,8287238,31.972438,-113.46412792
Shelby,8287238,39.5199726,-71.39630742
Plaquemine,8287238,37.7219049,-82.62309986
Bountiful,8287238,45.1840858,-120.17468315
Fairview,8287238,38.8353479,-76.82771179
Bainbridge Island,8287238,35.4840021,-74.26550668
Perryton,8287238,34.5255848,-113.04080242
Arkansas City,8287238,43.3695206,-105.37738829
Craig,6632413,41.1573208,-99.93044106
Muskego,5974566,39.0841837,-101.62983445
Durango,5532207,37.1071036,-114.34686589
West Bend,5251999,47.0568563,-81.00040684
Youngsville,4840519,46.4921766,-120.90983994
Hobbs,4574181,36.6353535,-94.78207402
Coolidge,4371949,46.0283088,-84.04496134
Fridley,4347420,34.2553118,-77.34500023
Wenatchee,4019674,43.5494287,-74.94561133
McComb,3601797,39.2119178,-72.01644361
Montvale borough,3469448,46.0862082,-71.49972856
Lewiston,3080475,49.0400604,-99.55048516
Palos Verdes Estates,2934130,40.9512315,-73.54249419
Twinsburg,2914542,40.5757113,-102.01843582
Clarkston,2886075,34.0915012,-115.02348565
Beaver Falls,2825458,43.1802733,-101.61468967
Pomona,2814610,47.300309,-85.63956544
St. Matthews,2781077,34.5711843,-110.19377303
Pismo Beach,2769399,39.8870104,-91.49700266
Waltham,2665910,30.8872717,-113.22185242
Richfield,2636165,49.1,-83.74047547
Patchogue village,2367401,43.1821408,-107.8890877
Summerville,2326315,36.407768,-108.77473341
Montpelier,2162181,33.5105962,-98.81790253
Redmond,2035798,41.8937654,-101.99991325
Lake Geneva,1878661,39.0931854,-69.17006152
Ripley,1833903,43.0255537,-80.95987806
Key West,1812255,33.6840015,-73.42099029
Grinnell,1748302,41.7355754,-122.31167838
Renton,1680698,39.3103354,-122.5004491
Parsons,1660630,40.5856368,-100.98081833
Muncie,1649684,48.736521,-86.65257592
Janesville,1615517,34.6573071,-116.26403457
Rainbow City,1596808,41.3359478,-96.22407335
Port Arthur,1593801,44.0105125,-76.32617848
Miami,1461226,42.7966908,-111.40337065
South St. Paul,1394814,43.7607843,-78.84254112
Livingston,1385542,43.8080476,-117.65938171
Rancho Mirage,1327343,41.6057744,-106.15705032
Bellevue,1313177,34.8576771,-115.52298845
Creston,1192923,34.5369151,-103.9165612
Monona,1190125,47.8246612,-75.79635438
Cicero,1179976,32.9363125,-105.80226432
Winooski,1093969,39.2831569,-86.91606325
Sierra Madre,1070405,31.9785032,-93.57993105
Chubbuck,1067991,33.482558,-72.35451327
Pflugerville,1057735,38.6529188,-71.36518535
Mill Valley,1052018,36.7461067,-101.32848738
Osceola,1006141,43.7148721,-100.8913936
Atoka,975670,35.405083,-113.43274117
Marianna,959277,39.0519028,-102.48305262
Vicksburg,949806,30.6327988,-105.30939648
Dickson,906387,46.4840044,-69.87498138
Ridgefield borough,905151,32.3220766,-89.09102254
