Rank,Major_code,Major,Major_category,Total,Men,Women,ShareWomen,Median
2.0,2527.0,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,2507.0,2438.0,736.0,0.19475058,53600.0
2.0,3232.0,ARCHITECTURAL ENGINEERING,Engineering,9645.0,3533.0,1910.0,0.088741992,44211.0
11.0,5005.0,TREATMENT THERAPY PROFESSIONS,Physical Sciences,4612.0,3448.0,589.0,0.484041097,41844.0
15.0,3042.0,OCEANOGRAPHY,Engineering,2228.0,1050.0,121.0,0.200707968,48575.0
15.0,2978.0,NUCLEAR ENGINEERING,Engineering,27753.0,2362.0,4269.0,0.164393549,56887.0
16.0,2468.0,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,39227.0,20100.0,6509.0,0.404553917,54849.0
16.0,5017.0,ENVIRONMENTAL ENGINEERING,Physical Sciences,10629.0,567.0,6624.0,0.539752112,47984.0
18.0,2221.0,PHYSICAL SCIENCES,Engineering,5195.0,2707.0,77.0,0.297982275,59846.0
20.0,5022.0,COMPUTER ENGINEERING,Physical Sciences,10957.0,3862.0,568.0,0.443248923,36268.0
20.0,1947.0,MATERIALS SCIENCE,Engineering,5045.0,5022.0,433.0,0.438101186,65842.0
20.0,5000.0,PHYSIOLOGY,Physical Sciences,5233.0,3202.0,933.0,0.732938691,42990.0
21.0,2295.0,COMPUTER AND INFORMATION SYSTEMS,Engineering,7430.0,7142.0,297.0,0.168246345,70112.0
21.0,1938.0,PHYSICAL SCIENCES,Engineering,78124.0,55067.0,375.0,0.132726502,63433.0
22.0,3255.0,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Computers & Mathematics,100649.0,60018.0,12854.0,0.431163342,45294.0
23.0,2762.0,BIOMEDICAL ENGINEERING,Engineering,58892.0,5830.0,26025.0,0.247730159,53192.0
23.0,2677.0,NUCLEAR ENGINEERING,Computers & Mathematics,35347.0,15826.0,2989.0,0.413061223,35754.0
24.0,2132.0,MATERIALS SCIENCE,Engineering,19740.0,5118.0,10651.0,0.089715073,42802.0
24.0,2040.0,STATISTICS AND DECISION SCIENCE,Engineering,13067.0,1021.0,274.0,0.424717324,59102.0
24.0,5008.0,BOTANY,Physical Sciences,11886.0,1258.0,617.0,0.479092126,44000.0
24.0,2081.0,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,4361.0,1001.0,3926.0,0.398039901,34411.0
25.0,1689.0,BIOLOGICAL ENGINEERING,Engineering,7366.0,1236.0,4348.0,0.205438429,67271.0
25.0,2511.0,AEROSPACE ENGINEERING,Engineering,76522.0,16597.0,480.0,0.184858511,58885.0
26.0,5015.0,ENVIRONMENTAL ENGINEERING,Physical Sciences,102428.0,2335.0,3720.0,0.732509887,52831.0
26.0,2069.0,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Computers & Mathematics,11370.0,6367.0,9477.0,0.494860958,52424.0
29.0,5447.0,ENVIRONMENTAL SCIENCE,Health,42385.0,514.0,18375.0,0.962209822,46100.0
