\\/wiki\\/John_Constantine_(New_Earth)	John Constantine (New Earth)	1984, June	Blue Eyes	Blond Hair	Good Characters	Male Characters	Public Identity	Bisexual Characters	Living Characters
\\/wiki\\/Renee_Montoya_(New_Earth)	Renee Montoya (New Earth)	1992, March	Brown Eyes	Black Hair	Good Characters	Female Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Todd_Rice_(New_Earth)	Todd Rice (New Earth)	1983, September	Brown Eyes	Brown Hair	Good Characters	Male Characters	Public Identity	Homosexual Characters	Living Characters
\\/wiki\\/Hartley_Rathaway_(New_Earth)	Hartley Rathaway (New Earth)	1959, May	Blue Eyes	Red Hair	Good Characters	Male Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Holly_Robinson_(New_Earth)	Holly Robinson (New Earth)	1987, February	Blue Eyes	Red Hair	Good Characters	Female Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Grace_Choi_(New_Earth)	Grace Choi (New Earth)	2003, August	Brown Eyes	Red Hair	Good Characters	Female Characters	Secret Identity	Bisexual Characters	Living Characters
\\/wiki\\/Anissa_Pierce_(New_Earth)	Anissa Pierce (New Earth)	2003, August	Brown Eyes	Black Hair	Good Characters	Female Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Mikaal_Tomas_(New_Earth)	Mikaal Tomas (New Earth)	1976, March	Blue Eyes	Purple Hair	Good Characters	Male Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Mallah_(New_Earth)	Mallah (New Earth)	1964, March	Brown Eyes	Brown Hair	Bad Characters	Male Characters	Secret Identity	Homosexual Characters	Deceased Characters
\\/wiki\\/Hugh_Dawkins_(New_Earth)	Hugh Dawkins (New Earth)	1986, November	White Eyes	Blond Hair	Good Characters	Male Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Scandal_Savage_(New_Earth)	Scandal Savage (New Earth)	2005, July	Brown Eyes	Brown Hair	Bad Characters	Female Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Karen_Lou_Faulkner_(New_Earth)	Karen Lou Faulkner (New Earth)	1987, July	Brown Eyes	Brown Hair	Neutral Characters	Female Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Knockout_(New_Earth)	Knockout (New Earth)	1994, February	Blue Eyes	Red Hair	Bad Characters	Female Characters	Secret Identity	Bisexual Characters	Living Characters
\\/wiki\\/Katherine_Kane_(New_Earth)	Katherine Kane (New Earth)	2006, June	Green Eyes	Red Hair	Good Characters	Female Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Sigrid_Nansen_(New_Earth)	Sigrid Nansen (New Earth)	1986, November	Blue Eyes	White Hair	Good Characters	Female Characters	Public Identity	Bisexual Characters	Living Characters
\\/wiki\\/Ramsey_Robinson_(New_Earth)	Ramsey Robinson (New Earth)	2004, November	Blue Eyes	Black Hair	Good Characters	Male Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Courtney_Mason_(New_Earth)	Courtney Mason (New Earth)	1993, July	Blue Eyes	Blond Hair	Good Characters	Female Characters	Public Identity	Bisexual Characters	Deceased Characters
\\/wiki\\/Gerri_Brauer_(Dakotaverse)	Gerri Brauer (Dakotaverse)	1994, January	Blue Eyes	Blond Hair	Good Characters	Female Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Mortimer_Drake_(New_Earth)	Mortimer Drake (New Earth)	1943, November	Brown Eyes	Brown Hair	Bad Characters	Male Characters	Secret Identity	Bisexual Characters	Living Characters
\\/wiki\\/Hero_Cruz_(New_Earth)	Hero Cruz (New Earth)	1996, September	Brown Eyes	Black Hair	Good Characters	Male Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Josiah_Power_(New_Earth)	Josiah Power (New Earth)	2002, February	Black Eyes	Black Hair	Good Characters	Male Characters	Public Identity	Homosexual Characters	Living Characters
\\/wiki\\/Thomas_Jagger_(New_Earth)	Thomas Jagger (New Earth)	2006, June	Brown Eyes	Brown Hair	Good Characters	Male Characters	Public Identity	Homosexual Characters	Living Characters
\\/wiki\\/Achilles_Warkiller_(New_Earth)	Achilles Warkiller (New Earth)	2009, May	Blue Eyes	Blond Hair	Good Characters	Male Characters	Secret Identity	Homosexual Characters	Living Characters
\\/wiki\\/Frostbite_(New_Earth)	Frostbite (New Earth)	1997, June	Blue Eyes	Blue Hair	Good Characters	Male Characters	Secret Identity	Bisexual Characters	Living Characters
\\/wiki\\/Io_(New_Earth)	Io (New Earth)	2003, November	Brown Eyes	Brown Hair	Good Characters	Female Characters	Public Identity	Homosexual Characters	Living Characters
\\/wiki\\/Syonide_II_(New_Earth)	Syonide II (New Earth)	1985, March	Blue Eyes	Red Hair	Bad Characters	Female Characters	Secret Identity	Homosexual Characters	Deceased Characters
\\/wiki\\/Liana_Kerzner_(New_Earth)	Liana Kerzner (New Earth)	2008, November	Blue Eyes	Red Hair	Neutral Characters	Female Characters	Public Identity	Homosexual Characters	Living Characters
\\/wiki\\/Daria_Hernandez_(New_Earth)	Daria Hernandez (New Earth)	2003, July	Brown Eyes	Brown Hair	Neutral Characters	Female Characters	Public Identity	Homosexual Characters	Living Characters
\\/wiki\\/Henry_Cannon_(New_Earth)	Henry Cannon (New Earth)	1984, April	Black Eyes	Black Hair	Bad Characters	Male Characters	Secret Identity	Homosexual Characters	Living Characters
