Main & College streets	Male
3100 Rosecrans Ave.	Male
Rosecrans & Chester avenues	Male
1600 W. 60th St.	Female
4404 S. Western Ave.	Male
Harbor Freeway near Slauson Avenue	Female
2740 W. Olympic Blvd.	Male
Vermont & Leeward avenues	Male
Santa Monica Boulevard & Seward Street	Male
Vermont Avenue & 43rd Street	Male
5800 block of South Vermont Avenue	Male
3500 block of Winslow Drive	Male
614 S. Locust Ave.	Male
Slauson & 7th avenues	Male
7608 S. Compton Ave.	Female
Braddock Drive & Inglewood Boulevard	Male
1005 S. Fresno St.	Male
10700 block of Burin Avenue	Male
12834 Vanowen St.	Male
2034 W. Pico Blvd.	Male
Holt & Loranne avenues	Male
Lemon Avenue & Pacific Coast Highway	Male
Avalon Boulevard & Slauson Avenue	Male
Central Avenue & 112th Street	Male
1439 E. Walnut	Male
Main & 51st streets	Female
11322 Alvaro St.	Male
Willowbrook Avenue & Alondra Boulevard	Male
Hobart Boulevard & 3rd Street	Male
16th Street & Central Avenue	Male
1800 block of East New York Drive	Female
near North Los Robles Avenue & Claremont Street	Male
Avalon Boulevard & 102nd Street	Male
Florence Avenue & Cimarron Street	Male
120th Street & Central Avenue	Male
2137 E. 115th St.	Female
1601 S. Western Ave.	Male
Western Avenue & 92nd Street	Male
San Pedro & 78th streets	Male
Florence Avenue & Flower Street	Male
4028 Santa Monica Blvd.	Male
12732 Bess St.	Male
11690 Gateway Blvd.	Male
Pico Boulevard & Vermont Avenue	Male
2882 W. 9th St.	Male
3100 block of South Main Street	Male
San Diego Freeway & San Fernando Mission Boulevard	Male
Vermont Avenue & Santa Monica Boulevard	Male
2600 block of Florence Avenue	Male
4365 S. Vermont Ave.	Male
5213 Sunset Blvd.	Male
5510 W. Sunset Blvd.	Male
San Fernando Road & San Fernando Mission Boulevard	Male
5100 block of West Slauson Avenue	Male
11932 Cometa Ave.	Male
10621 Sepulveda Blvd.	Male
Gage & Western avenues	Male
