Main & College streets	Chinatown
3100 Rosecrans Ave.	Hawthorne
Rosecrans & Chester avenues	Compton
1600 W. 60th St.	Harvard Park
4404 S. Western Ave.	Vermont Square
Harbor Freeway near Slauson Avenue	South Park
2740 W. Olympic Blvd.	Koreatown
Vermont & Leeward avenues	Koreatown
Santa Monica Boulevard & Seward Street	Hollywood
Vermont Avenue & 43rd Street	Vermont Square
5800 block of South Vermont Avenue	Vermont-Slauson
3500 block of Winslow Drive	Silver Lake
614 S. Locust Ave.	Compton
Slauson & 7th avenues	Hyde Park
7608 S. Compton Ave.	Compton
Braddock Drive & Inglewood Boulevard	Del Rey
1005 S. Fresno St.	Boyle Heights
10700 block of Burin Avenue	Lennox
12834 Vanowen St.	Valley Glen
2034 W. Pico Blvd.	Pico-Union
Holt & Loranne avenues	Pomona
Lemon Avenue & Pacific Coast Highway	Long Beach
Avalon Boulevard & Slauson Avenue	South Park
Central Avenue & 112th Street	Green Meadows
1439 E. Walnut	Central-Alameda
Main & 51st streets	South Park
11322 Alvaro St.	Watts
Willowbrook Avenue & Alondra Boulevard	Compton
Hobart Boulevard & 3rd Street	Koreatown
16th Street & Central Avenue	Downtown
1800 block of East New York Drive	Altadena
near North Los Robles Avenue & Claremont Street	Pasadena
Avalon Boulevard & 102nd Street	Green Meadows
Florence Avenue & Cimarron Street	Chesterfield Square
120th Street & Central Avenue	Green Meadows
2137 E. 115th St.	Watts
1601 S. Western Ave.	Harvard Heights
Western Avenue & 92nd Street	Gramercy Park
San Pedro & 78th streets	Florence
Florence Avenue & Flower Street	Florence
4028 Santa Monica Blvd.	Silver Lake
12732 Bess St.	Baldwin Park
11690 Gateway Blvd.	Sawtelle
Pico Boulevard & Vermont Avenue	Pico-Union
2882 W. 9th St.	Koreatown
3100 block of South Main Street	Historic South-Central
San Diego Freeway & San Fernando Mission Boulevard	Mission Hills
Vermont Avenue & Santa Monica Boulevard	East Hollywood
2600 block of Florence Avenue	Huntington Park
4365 S. Vermont Ave.	Vermont Square
5213 Sunset Blvd.	East Hollywood
5510 W. Sunset Blvd.	Hollywood
San Fernando Road & San Fernando Mission Boulevard	San Fernando
5100 block of West Slauson Avenue	Ladera Heights
11932 Cometa Ave.	Pacoima
10621 Sepulveda Blvd.	Mission Hills
Gage & Western avenues	Chesterfield Square
