buick skylark 320	usa
plymouth satellite	usa
amc rebel sst	usa
ford torino	usa
ford galaxie 500	usa
chevrolet impala	usa
plymouth fury iii	usa
pontiac catalina	usa
amc ambassador dpl	usa
dodge challenger se	usa
plymouth 'cuda 340	usa
chevrolet monte carlo	usa
buick estate wagon (sw)	usa
toyota corona mark ii	japan
plymouth duster	usa
amc hornet	usa
ford maverick	usa
datsun pl510	japan
volkswagen 1131 deluxe sedan	europe
peugeot 504	europe
audi 100 ls	europe
saab 99e	europe
bmw 2002	europe
amc gremlin	usa
ford f250	usa
chevy c20	usa
dodge d200	usa
hi 1200d	usa
chevrolet vega 2300	usa
toyota corona	japan
ford pinto	usa
plymouth satellite custom	usa
ford torino 500	usa
amc matador	usa
pontiac catalina brougham	usa
dodge monaco (sw)	usa
ford country squire (sw)	usa
pontiac safari (sw)	usa
amc hornet sportabout (sw)	usa
chevrolet vega (sw)	usa
pontiac firebird	usa
ford mustang	usa
mercury capri 2000	usa
opel 1900	europe
peugeot 304	europe
fiat 124b	europe
toyota corolla 1200	japan
datsun 1200	japan
volkswagen model 111	europe
plymouth cricket	usa
toyota corona hardtop	japan
dodge colt hardtop	usa
volkswagen type 3	europe
chevrolet vega	usa
ford pinto runabout	usa
amc ambassador sst	usa
mercury marquis	usa
buick lesabre custom	usa
oldsmobile delta 88 royale	usa
chrysler newport royal	usa
mazda rx2 coupe	japan
amc matador (sw)	usa
chevrolet chevelle concours (sw)	usa
ford gran torino (sw)	usa
plymouth satellite custom (sw)	usa
volvo 145e (sw)	europe
volkswagen 411 (sw)	europe
peugeot 504 (sw)	europe
renault 12 (sw)	europe
ford pinto (sw)	usa
datsun 510 (sw)	japan
toyouta corona mark ii (sw)	japan
dodge colt (sw)	usa
toyota corolla 1600 (sw)	japan
buick century 350	usa
chevrolet malibu	usa
ford gran torino	usa
dodge coronet custom	usa
mercury marquis brougham	usa
chevrolet caprice classic	usa
ford ltd	usa
plymouth fury gran sedan	usa
chrysler new yorker brougham	usa
buick electra 225 custom	usa
amc ambassador brougham	usa
plymouth valiant	usa
chevrolet nova custom	usa
volkswagen super beetle	europe
ford country	usa
plymouth custom suburb	usa
oldsmobile vista cruiser	usa
toyota carina	japan
datsun 610	japan
maxda rx3	japan
mercury capri v6	usa
fiat 124 sport coupe	europe
chevrolet monte carlo s	usa
pontiac grand prix	usa
fiat 128	europe
opel manta	europe
audi 100ls	europe
volvo 144ea	europe
dodge dart custom	usa
saab 99le	europe
toyota mark ii	japan
oldsmobile omega	usa
chevrolet nova	usa
datsun b210	japan
chevrolet chevelle malibu classic	usa
plymouth satellite sebring	usa
buick century luxus (sw)	usa
dodge coronet custom (sw)	usa
audi fox	europe
volkswagen dasher	europe
datsun 710	japan
dodge colt	usa
fiat 124 tc	europe
honda civic	japan
subaru	japan
fiat x1.9	europe
plymouth valiant custom	usa
mercury monarch	usa
