Alaska	west
Arizona	west
Arkansas	south
California	west
Colorado	west
Connecticut	northeast
Delaware	south
District of Columbia	south
Florida	south
Georgia	south
Hawaii	west
Idaho	west
Illinois	midwest
Indiana	midwest
Iowa	midwest
Kansas	midwest
Kentucky	south
Louisiana	south
Maine	northeast
Maryland	south
Massachusetts	northeast
Michigan	midwest
Minnesota	midwest
Mississippi	south
Missouri	midwest
Montana	west
Nebraska	midwest
Nevada	west
New Hampshire	northeast
New Jersey	northeast
New Mexico	west
New York	northeast
North Carolina	south
North Dakota	midwest
Ohio	midwest
Oklahoma	south
Oregon	west
Pennsylvania	northeast
Rhode Island	northeast
South Carolina	south
South Dakota	midwest
Tennessee	south
Texas	south
Utah	west
Vermont	northeast
Virginia	south
Washington	west
West Virginia	south
Wisconsin	midwest
Wyoming	west
Puerto Rico	other
