\\\\/wiki\\\\/Superman_(Clark_Kent)	Blue Eyes
\\\\/wiki\\\\/Green_Lantern_(Hal_Jordan)	Brown Eyes
\\\\/wiki\\\\/James_Gordon_(New_Earth)	Brown Eyes
\\\\/wiki\\\\/Richard_Grayson_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Wonder_Woman_(Diana_Prince)	Blue Eyes
\\\\/wiki\\\\/Aquaman_(Arthur_Curry)	Blue Eyes
\\\\/wiki\\\\/Timothy_Drake_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Dinah_Laurel_Lance_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Flash_(Barry_Allen)	Blue Eyes
\\\\/wiki\\\\/GenderTest	Blue Eyes
\\\\/wiki\\\\/Alan_Scott_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Barbara_Gordon_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Jason_Garrick_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Lois_Lane_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Alfred_Pennyworth_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Carter_Hall_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Kyle_Rayner_(New_Earth)	Green Eyes
\\\\/wiki\\\\/Raymond_Palmer_(New_Earth)	Brown Eyes
\\\\/wiki\\\\/Alexander_Luthor_(New_Earth)	Green Eyes
\\\\/wiki\\\\/Roy_Harper_(New_Earth)	Green Eyes
\\\\/wiki\\\\/Kara_Zor-L_(Earth-Two)	Blue Eyes
\\\\/wiki\\\\/Ted_Grant_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Garfield_Logan_(New_Earth)	Green Eyes
\\\\/wiki\\\\/Guy_Gardner_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Victor_Stone_(New_Earth)	Brown Eyes
\\\\/wiki\\\\/Kon-El_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Ralph_Dibny_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/James_Olsen_(New_Earth)	Green Eyes
\\\\/wiki\\\\/John_Stewart_(New_Earth)	Brown Eyes
\\\\/wiki\\\\/Joker_(New_Earth)	Green Eyes
\\\\/wiki\\\\/Franklin_Rock_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Garth_(New_Earth)	Purple Eyes
\\\\/wiki\\\\/Rex_Mason_(New_Earth)	Black Eyes
\\\\/wiki\\\\/Zatanna_Zatara_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Aztar_(New_Earth)	White Eyes
\\\\/wiki\\\\/Theodore_Kord_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Michael_Jon_Carter_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Cassandra_Sandsmark_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Kent_Nelson_(New_Earth)	Blue Eyes
\\\\/wiki\\\\/Harvey_Bullock_(New_Earth)	Brown Eyes
\\\\/wiki\\\\/Rachel_Roth_(New_Earth)	Purple Eyes
