East Williamsburg	Brooklyn
Howard Beach	Queens
Bushwick South	Brooklyn
Crotona Park East	Bronx
Manhattan Valley	Manhattan
JFK Airport	Queens
Oakland Gardens	Queens
Jamaica	Queens
East Chelsea	Manhattan
Homecrest	Brooklyn
Penn Station/Madison Sq West	Manhattan
Fresh Meadows	Queens
Carroll Gardens	Brooklyn
Bushwick North	Brooklyn
East Concourse/Concourse Village	Bronx
Norwood	Bronx
Soundview/Bruckner	Bronx
Borough Park	Brooklyn
World Trade Center	Manhattan
Boerum Hill	Brooklyn
Rego Park	Queens
Stuy Town/Peter Cooper Village	Manhattan
Bronxdale	Bronx
Sunnyside	Queens
Claremont/Bathgate	Bronx
Sutton Place/Turtle Bay North	Manhattan
Mount Hope	Bronx
North Corona	Queens
Briarwood/Jamaica Hills	Queens
Williamsbridge/Olinville	Bronx
Astoria	Queens
Inwood Hill Park	Manhattan
Clinton East	Manhattan
Prospect Heights	Brooklyn
Stuyvesant Heights	Brooklyn
Van Nest/Morris Park	Bronx
Kips Bay	Manhattan
Midwood	Brooklyn
Greenwich Village North	Manhattan
Columbia Street	Brooklyn
Ocean Hill	Brooklyn
DUMBO/Vinegar Hill	Brooklyn
Upper West Side North	Manhattan
Whitestone	Queens
Sunset Park West	Brooklyn
West Chelsea/Hudson Yards	Manhattan
SoHo	Manhattan
East Harlem North	Manhattan
Co-Op City	Bronx
Belmont	Bronx
Spuyten Duyvil/Kingsbridge	Bronx
Financial District South	Manhattan
Elmhurst	Queens
Richmond Hill	Queens
Inwood	Manhattan
Highbridge	Bronx
Queens Village	Queens
East New York	Brooklyn
Parkchester	Bronx
Manhattanville	Manhattan
Mott Haven/Port Morris	Bronx
Fort Greene	Brooklyn
Upper East Side South	Manhattan
Morrisania/Melrose	Bronx
Springfield Gardens South	Queens
East Flushing	Queens
Bedford Park	Bronx
Alphabet City	Manhattan
Jamaica Estates	Queens
Bayside	Queens
Woodside	Queens
Financial District North	Manhattan
Woodlawn/Wakefield	Bronx
Marine Park/Mill Basin	Brooklyn
Allerton/Pelham Gardens	Bronx
West Brighton	Staten Island
UN/Turtle Bay South	Manhattan
South Jamaica	Queens
Central Park	Manhattan
Van Cortlandt Village	Bronx
Central Harlem North	Manhattan
Marble Hill	Manhattan
Hunts Point	Bronx
Lincoln Square East	Manhattan
Ridgewood	Queens
Flatlands	Brooklyn
Canarsie	Brooklyn
