dodge challenger se	usa
plymouth valiant	usa
chevrolet chevelle malibu classic	usa
peugeot 505s turbo diesel	europe
datsun 1200	japan
toyota carina	japan
plymouth volare custom	usa
fiat x1.9	europe
honda prelude	japan
datsun 510	japan
datsun b210	japan
mercury capri v6	usa
plymouth grand fury	usa
plymouth cricket	usa
mercedes benz 300d	europe
ford fairmont (man)	usa
ford fiesta	usa
buick electra 225 custom	usa
mercury grand marquis	usa
ford mustang gl	usa
dodge aries se	usa
toyota corona hardtop	japan
dodge coronet brougham	usa
ford mustang cobra	usa
saab 99e	europe
ford country	usa
toyota starlet	japan
chevrolet citation	usa
mercury monarch ghia	usa
buick skyhawk	usa
datsun 810	japan
volvo diesel	europe
pontiac firebird	usa
dodge colt m/m	usa
bmw 320i	europe
ford country squire (sw)	usa
pontiac grand prix lj	usa
opel 1900	europe
volkswagen 1131 deluxe sedan	europe
amc ambassador sst	usa
pontiac phoenix lj	usa
toyota corolla tercel	japan
mazda glc 4	japan
chevrolet concours	usa
plymouth satellite custom	usa
mercury zephyr	usa
plymouth arrow gs	usa
amc pacer d/l	usa
volkswagen dasher	europe
honda accord lx	japan
chevrolet malibu	usa
chevrolet camaro	usa
ford galaxie 500	usa
volkswagen type 3	europe
chevrolet vega 2300	usa
ford f108	usa
pontiac sunbird coupe	usa
vokswagen rabbit	europe
chevrolet caprice classic	usa
mercury zephyr 6	usa
opel manta	europe
mazda rx-7 gs	japan
amc concord	usa
chevrolet bel air	usa
buick century limited	usa
chevrolet monte carlo	usa
dodge coronet custom	usa
ford ranger	usa
mazda glc deluxe	japan
plymouth satellite sebring	usa
buick skylark 320	usa
oldsmobile cutlass supreme	usa
honda civic 1500 gl	japan
plymouth champ	usa
renault 12 (sw)	europe
datsun pl510	japan
honda civic 1300	japan
buick century	usa
fiat strada custom	europe
buick lesabre custom	usa
plymouth valiant custom	usa
pontiac j2000 se hatchback	usa
dodge colt hardtop	usa
saab 99le	europe
chevrolet nova custom	usa
pontiac grand prix	usa
chevrolet monte carlo landau	usa
subaru	japan
buick opel isuzu deluxe	usa
datsun 810 maxima	japan
ford maverick	usa
dodge st. regis	usa
renault 5 gtl	europe
datsun 510 hatchback	japan
plymouth satellite	usa
toyota corona	japan
chrysler lebaron town @ country (sw)	usa
buick skylark	usa
ford mustang ii	usa
ford mustang ii 2+2	usa
toyota cressida	japan
volkswagen rabbit custom diesel	europe
fiat 131	europe
plymouth fury	usa
pontiac phoenix	usa
toyota celica gt	japan
amc rebel sst	usa
volvo 264gl	europe
chrysler new yorker brougham	usa
volkswagen rabbit	europe
pontiac safari (sw)	usa
maxda rx3	japan
datsun 200-sx	japan
dodge aries wagon (sw)	usa
ford fairmont (auto)	usa
chrysler cordoba	usa
plymouth volare	usa
toyota corona mark ii	japan
chevrolet nova	usa
mazda glc custom	japan
dodge d200	usa
toyota mark ii	japan
dodge rampage	usa
audi 100ls	europe
toyota corolla 1200	japan
ford escort 4w	usa
vw dasher (diesel)	europe
nissan stanza xe	japan
dodge monaco (sw)	usa
ford thunderbird	usa
amc concord dl	usa
pontiac catalina brougham	usa
fiat 124b	europe
volkswagen model 111	europe
amc concord d/l	usa
datsun 310	japan
peugeot 504 (sw)	europe
renault lecar deluxe	europe
vw rabbit custom	europe
dodge aspen	usa
dodge colt (sw)	usa
vw pickup	europe
ford f250	usa
ford pinto runabout	usa
peugeot 604sl	europe
volkswagen rabbit custom	europe
audi fox	europe
dodge d100	usa
renault 12tl	europe
oldsmobile vista cruiser	usa
mazda glc custom l	japan
plymouth horizon 4	usa
volkswagen scirocco	europe
toyota tercel	japan
cadillac seville	usa
audi 5000	europe
dodge colt	usa
chevrolet chevelle concours (sw)	usa
chevy c10	usa
chevrolet woody	usa
dodge monaco brougham	usa
dodge aspen 6	usa
toyota corona liftback	japan
ford granada gl	usa
toyota corolla	japan
amc hornet	usa
dodge charger 2.2	usa
honda accord	japan
mazda rx2 coupe	japan
chevrolet vega	usa
plymouth fury iii	usa
datsun 280-zx	japan
honda civic	japan
chevrolet cavalier	usa
dodge dart custom	usa
volkswagen jetta	europe
capri ii	usa
amc matador	usa
fiat 124 sport coupe	europe
chevrolet malibu classic (sw)	usa
toyota celica gt liftback	japan
plymouth fury gran sedan	usa
chevrolet cavalier wagon	usa
ford granada ghia	usa
chevrolet impala	usa
mercury lynx l	usa
plymouth 'cuda 340	usa
mercury marquis brougham	usa
mercury cougar brougham	usa
datsun 200sx	japan
oldsmobile cutlass ls	usa
chevrolet monte carlo s	usa
buick regal sport coupe (turbo)	usa
chevrolet chevelle malibu	usa
buick skylark limited	usa
honda accord cvcc	japan
chevy s-10	usa
toyota corolla 1600 (sw)	japan
peugeot 504	europe
dodge diplomat	usa
ford granada	usa
datsun f-10 hatchback	japan
mazda glc	japan
chevy c20	usa
mazda rx-4	japan
dodge colt hatchback custom	usa
oldsmobile omega	usa
datsun 610	japan
datsun 210	japan
plymouth duster	usa
ford futura	usa
subaru dl	japan
dodge aspen se	usa
fiat 124 tc	europe
volkswagen super beetle	europe
plymouth horizon miser	usa
vw rabbit	europe
ford fairmont 4	usa
ford pinto	usa
hi 1200d	usa
renault 18i	europe
volvo 244dl	europe
datsun 510 (sw)	japan
amc hornet sportabout (sw)	usa
fiat 128	europe
chevrolet chevette	usa
dodge magnum xe	usa
