Sinclair Abbott (Earth-616)	\\/Sinclair_Abbott_(Earth-616)	Feb-06	Blond Hair	Blue Eyes	Secret Identity	Bad Characters	Male Characters	Deceased Characters
Catastrophe Jen (Earth-616)	\\/Catastrophe_Jen_(Earth-616)	May-03	Brown Hair	Brown Eyes	Public Identity	Bad Characters	Female Characters	Living Characters
Raven Darkholme (Earth-616)	\\/Raven_Darkholme_(Earth-616)	Apr-78	Red Hair	Yellow Eyes	Secret Identity	Bad Characters	Female Characters	Living Characters
Jean-Paul Beaubier (Earth-616)	\\/Jean-Paul_Beaubier_(Earth-616)	Apr-79	Black Hair	Blue Eyes	Secret Identity	Good Characters	Male Characters	Living Characters
Dorrek VIII (Earth-616)	\\/Dorrek_VIII_(Earth-616)	Apr-05	Blond Hair	Blue Eyes	Public Identity	Good Characters	Male Characters	Living Characters
Rococo (Earth-616)	\\/Rococo_(Earth-616)	May-11	Black Hair	Brown Eyes	Secret Identity	Bad Characters	Female Characters	Living Characters
Marcus Roston (Earth-616)	\\/Marcus_Roston_(Earth-616)	Aug-11	Black Hair	Green Eyes	Secret Identity	Bad Characters	Male Characters	Living Characters
Charlie Cluster-7 (Cluster) (Earth-616)	\\/Charlie_Cluster-7_(Cluster)_(Earth-616)	Feb-13	Black Hair	Blue Eyes	Secret Identity	Good Characters	Female Characters	Living Characters
Arnold Astrovik (Earth-616)	\\/Arnold_Astrovik_(Earth-616)	Jul-75	Brown Hair	Hazel Eyes	No Dual Identity	Neutral Characters	Male Characters	Deceased Characters
Loki Laufeyson (Earth-616)	\\/Loki_Laufeyson_(Earth-616)	Aug-49	Black Hair	Green Eyes	No Dual Identity	Neutral Characters	Genderfluid Characters	Living Characters
Jazinda Kl'rt-Spawn (Earth-616)	\\/Jazinda_Kl%27rt-Spawn_(Earth-616)	Dec-07	Black Hair	Green Eyes	Secret Identity	Good Characters	Female Characters	Living Characters
