Midtown Center	Manhattan	5.7	43.05
Central Harlem North	Manhattan	3.72	58.56
Little Italy/NoLiTa	Manhattan	4.53	39.79
Meatpacking/West Village West	Manhattan	0.26	15.8
Flatiron	Manhattan	2.06	10.8
Midtown North	Manhattan	2.13	40.11
Union Sq	Manhattan	1.34	142
Times Sq/Theatre District	Manhattan	3.01	16.12
JFK Airport	Queens	3.03	10.73
Fort Greene	Brooklyn	0.63	18.72
LaGuardia Airport	Queens	0.61	13.81
UN/Turtle Bay South	Manhattan	0.23	40.9
Brooklyn Heights	Brooklyn	0.12	36.33
LaGuardia Airport	Queens	1.03	22.07
Clinton East	Manhattan	0.28	28.59
Flatiron	Manhattan	0.25	147.3
Highbridge	Bronx	1	54.47
Clinton East	Manhattan	0.61	23.3
Upper East Side South	Manhattan	0.21	14.7
Carroll Gardens	Brooklyn	0.68	12.7
Midtown East	Manhattan	4.08	9.8
Greenwich Village South	Manhattan	0.78	19.3
East Village	Manhattan	1.31	56
Midtown East	Manhattan	2.3	8.5
East Harlem South	Manhattan	1.17	13.54
Yorkville West	Manhattan	4.82	53.44
LaGuardia Airport	Queens	2.31	72.88
Boerum Hill	Brooklyn	1.12	16.03
UN/Turtle Bay South	Manhattan	0.29	45.98
Lincoln Square East	Manhattan	0.36	28.43
West Village	Manhattan	4.72	15.77
Cobble Hill	Brooklyn	2.41	43.74
Greenwich Village North	Manhattan	0.63	23.93
Seaport	Manhattan	6.94	52.82
Crown Heights North	Brooklyn	1.04	21
Lenox Hill East	Manhattan	0.72	20.58
Financial District North	Manhattan	0.8	20.9
Flatiron	Manhattan	5.22	18.11
Lincoln Square East	Manhattan	0.48	36.6
Upper East Side South	Manhattan	0.28	48.9
Murray Hill	Manhattan	0.26	16.4
Upper West Side North	Manhattan	3.12	22.04
Hillcrest/Pomonok	Queens	2.38	16.3
Gramercy	Manhattan	0.93	14.78
East Harlem South	Manhattan	2.15	13.5
Upper West Side South	Manhattan	2	9.5
Jackson Heights	Queens	0.03	19.75
Lincoln Square West	Manhattan	0.17	21.1
JFK Airport	Queens	2.58	28.25
Little Italy/NoLiTa	Manhattan	4.42	12.64
TriBeCa/Civic Center	Manhattan	0.59	13.5
Bensonhurst East	Brooklyn	0.46	20.7
Boerum Hill	Brooklyn	0.14	9.53
LaGuardia Airport	Queens	1.45	12.7
Yorkville East	Manhattan	0.26	34.58
Penn Station/Madison Sq West	Manhattan	0.26	42.42
Flatiron	Manhattan	0.49	45.9
Upper West Side South	Manhattan	0.63	25.99
Upper East Side North	Manhattan	1.71	15.36
LaGuardia Airport	Queens	3.58	47.09
LaGuardia Airport	Queens	0.41	30.29
Murray Hill	Manhattan	0.06	8.8
Midtown East	Manhattan	2.68	16.4
Prospect Heights	Brooklyn	0.31	22.2
Times Sq/Theatre District	Manhattan	0.22	11.2
Times Sq/Theatre District	Manhattan	0.4	39.21
Financial District South	Manhattan	1.29	20.77
Greenpoint	Brooklyn	2.11	10.31
Clinton East	Manhattan	0.46	20.06
Lower East Side	Manhattan	0.39	65.6
Morningside Heights	Manhattan	0.17	12.32
Clinton East	Manhattan	4.91	25.26
Upper East Side South	Manhattan	0.04	8.2
Midtown South	Manhattan	0.44	35.07
Boerum Hill	Brooklyn	0.88	33.73
Battery Park City	Manhattan	2.46	10.39
JFK Airport	Queens	0.62	10.57
Penn Station/Madison Sq West	Manhattan	1.03	13.56
Penn Station/Madison Sq West	Manhattan	0.77	21.4
East Harlem South	Manhattan	0.01	36.3
Lower East Side	Manhattan	0.4	43.11
Midtown North	Manhattan	2.01	7.1
Central Harlem North	Manhattan	0.36	12.5
Midtown Center	Manhattan	3.27	10.1
JFK Airport	Queens	0.93	8.42
Midtown East	Manhattan	0.74	56.3
Penn Station/Madison Sq West	Manhattan	1.51	13.2
LaGuardia Airport	Queens	0.29	21.64
UN/Turtle Bay South	Manhattan	4.85	42.95
LaGuardia Airport	Queens	1.02	28.2
Gramercy	Manhattan	1.71	31.8
Midtown East	Manhattan	2.53	24.4
Elmhurst	Queens	2.23	31.7
Mount Hope	Bronx	1.3	45.7
Midtown Center	Manhattan	0.28	30.4
Penn Station/Madison Sq West	Manhattan	4.78	9.37
JFK Airport	Queens	1.98	12.73
Lincoln Square East	Manhattan	2.86	48.1
Union Sq	Manhattan	1.78	22.19
Upper East Side South	Manhattan	0.11	16.08
TriBeCa/Civic Center	Manhattan	6.03	19.61
Yorkville East	Manhattan	5.62	10.5
East Harlem South	Manhattan	0.46	37.29
Bedford	Brooklyn	0.47	10.19
Flatiron	Manhattan	1.48	33.64
Clinton West	Manhattan	0.08	19.78
Penn Station/Madison Sq West	Manhattan	2.23	11.6
Times Sq/Theatre District	Manhattan	2.27	29.24
Allerton/Pelham Gardens	Bronx	2.98	9
Clinton East	Manhattan	0.14	16.82
Belmont	Bronx	0.99	22.38
Manhattan Valley	Manhattan	4.07	24.99
Washington Heights South	Manhattan	0.27	25.37
LaGuardia Airport	Queens	1.03	28.16
Midtown East	Manhattan	4.35	18.3
TriBeCa/Civic Center	Manhattan	0.39	25.7
Penn Station/Madison Sq West	Manhattan	2.23	9.7
Midtown East	Manhattan	3.8	22.63
Lenox Hill West	Manhattan	2.33	23.8
Times Sq/Theatre District	Manhattan	3.26	18.7
Lincoln Square East	Manhattan	0.7	19.3
Hamilton Heights	Manhattan	1.31	14.5
Clinton East	Manhattan	6.69	11.6
Lincoln Square West	Manhattan	1.13	29.13
Lenox Hill East	Manhattan	1.32	10.01
JFK Airport	Queens	2.78	150
West Chelsea/Hudson Yards	Manhattan	0.01	22.2
JFK Airport	Queens	1.61	43.19
Midtown Center	Manhattan	2.18	27.89
Lower East Side	Manhattan	3.23	31.34
Kew Gardens Hills	Queens	0.89	11.9
East Harlem South	Manhattan	3.73	74.8
West Village	Manhattan	3.87	38
East Elmhurst	Queens	2.6	26.8
Gramercy	Manhattan	2.81	11.8
Penn Station/Madison Sq West	Manhattan	5.73	20.04
Midtown South	Manhattan	8.05	17.11
Williamsburg (North Side)	Brooklyn	2.42	9.2
Midtown East	Manhattan	2.02	26.6
East Tremont	Bronx	1.78	34.8
West Village	Manhattan	2.84	30.17
LaGuardia Airport	Queens	0.81	53.8
Lenox Hill West	Manhattan	3.02	45.2
Midtown Center	Manhattan	3.31	47.47
Murray Hill	Manhattan	0.02	17.8
Upper West Side North	Manhattan	5.69	28.6
Midtown North	Manhattan	1.42	8.29
Lenox Hill East	Manhattan	2.66	27.51
Yorkville West	Manhattan	0.38	38.07
East Harlem North	Manhattan	1.22	14.61
East Harlem South	Manhattan	2.71	89.9
Middle Village	Queens	1.9	20.59
Greenwich Village South	Manhattan	0.37	19.29
Sutton Place/Turtle Bay North	Manhattan	1.55	13.01
Fort Greene	Brooklyn	0.74	20.1
Elmhurst	Queens	2.25	17.8
Midtown Center	Manhattan	4.08	47.98
Midtown East	Manhattan	0.74	10.41
East Harlem North	Manhattan	2	18.59
Jamaica	Queens	2.61	71.39
East Chelsea	Manhattan	0.72	17.45
Upper East Side South	Manhattan	1.59	17
Astoria	Queens	1.58	53.39
Upper West Side North	Manhattan	3.21	5.9
Yorkville West	Manhattan	1.46	111.2
Lower East Side	Manhattan	0.8	25.4
Gramercy	Manhattan	4.93	17.32
Two Bridges/Seward Park	Manhattan	0.12	24.5
Claremont/Bathgate	Bronx	1.7	20.54
Midtown East	Manhattan	0.66	31.5
LaGuardia Airport	Queens	0.67	18.5
TriBeCa/Civic Center	Manhattan	0.44	17
Central Harlem	Manhattan	0.86	18.01
Lenox Hill West	Manhattan	6.79	12.86
Lincoln Square East	Manhattan	3.86	8.8
Meatpacking/West Village West	Manhattan	0.18	19.6
Kips Bay	Manhattan	3.2	51.9
Morningside Heights	Manhattan	2.62	12.11
Gramercy	Manhattan	4.56	29.18
Greenwich Village North	Manhattan	0.04	14.8
Union Sq	Manhattan	0.81	22
Gravesend	Brooklyn	0.14	11.27
Midtown South	Manhattan	1.68	76.1
West Chelsea/Hudson Yards	Manhattan	0.95	48.86
Times Sq/Theatre District	Manhattan	0.1	45.7
Yorkville West	Manhattan	0.57	15
Cobble Hill	Brooklyn	4.66	40.97
Yorkville West	Manhattan	1.11	20.1
East Village	Manhattan	7.81	76.46
Upper East Side South	Manhattan	2.39	85.8
Murray Hill	Manhattan	0.78	22.18
Sutton Place/Turtle Bay North	Manhattan	4.26	32.6
Times Sq/Theatre District	Manhattan	1.76	26.66
Times Sq/Theatre District	Manhattan	0.34	21.56
Prospect Heights	Brooklyn	1.87	42.3
Battery Park City	Manhattan	2.91	20.51
Upper West Side South	Manhattan	0.1	12.44
Upper West Side North	Manhattan	10.3	11.08
Lincoln Square West	Manhattan	4.62	54.45
Flatlands	Brooklyn	1.05	14.96
Financial District North	Manhattan	0.71	9.15
West Chelsea/Hudson Yards	Manhattan	3.54	34.69
Union Sq	Manhattan	1.04	29.88
Yorkville East	Manhattan	1.2	24.76
East Chelsea	Manhattan	1.97	61.6
TriBeCa/Civic Center	Manhattan	0.36	19.78
Times Sq/Theatre District	Manhattan	4.41	14.62
Upper East Side South	Manhattan	0.77	20
Financial District North	Manhattan	0.06	21.44
Gramercy	Manhattan	3.25	16.9
Bedford	Brooklyn	0.13	13.6
Upper East Side South	Manhattan	2.45	46
West Chelsea/Hudson Yards	Manhattan	1.28	19.52
Greenwich Village North	Manhattan	5.55	20.99
Midtown North	Manhattan	3.14	25.29
UN/Turtle Bay South	Manhattan	7.05	38.49
Williamsburg (South Side)	Brooklyn	0.02	18.8
Alphabet City	Manhattan	4.62	12.24
Midtown South	Manhattan	0.19	13.94
Clinton East	Manhattan	12.4	32.38
Parkchester	Bronx	0.42	26.14
East Harlem South	Manhattan	0.76	19.5
Midtown East	Manhattan	0.94	17.38
DUMBO/Vinegar Hill	Brooklyn	3.71	13.64
Brighton Beach	Brooklyn	1.07	21.58
Clinton West	Manhattan	0.89	26.2
Clinton West	Manhattan	1.6	6.87
East Flatbush/Farragut	Brooklyn	0.51	28.91
Chinatown	Manhattan	7.54	15.3
West Village	Manhattan	1.55	40.82
Midtown North	Manhattan	0.09	28.11
East Harlem South	Manhattan	0.03	30.94
East Village	Manhattan	1.71	47.2
JFK Airport	Queens	1.6	37.34
Midtown Center	Manhattan	0.96	73
Financial District North	Manhattan	1.99	10.21
West Village	Manhattan	2.43	51.38
Lincoln Square East	Manhattan	0.23	25.68
World Trade Center	Manhattan	1.85	12.46
Brooklyn Heights	Brooklyn	0.6	36.55
Midtown East	Manhattan	2.29	22.6
Yorkville West	Manhattan	3.81	17.3
Midtown East	Manhattan	6.79	18.6
Greenwich Village South	Manhattan	1.55	13.33
East Harlem South	Manhattan	0.14	28.9
Upper West Side South	Manhattan	0.35	47.55
West Chelsea/Hudson Yards	Manhattan	0.88	27.4
Gramercy	Manhattan	1.22	10.68
DUMBO/Vinegar Hill	Brooklyn	0.52	32.2
Yorkville West	Manhattan	5.5	26.62
Midtown East	Manhattan	2.54	21.4
Windsor Terrace	Brooklyn	0.21	20.1
Greenwich Village North	Manhattan	4.35	24.31
LaGuardia Airport	Queens	2.17	9.8
Garment District	Manhattan	0.21	15.6
East Harlem North	Manhattan	8.53	9.4
Sheepshead Bay	Brooklyn	1.28	13
Bushwick North	Brooklyn	1.41	15.3
Upper East Side South	Manhattan	3.34	39.47
Penn Station/Madison Sq West	Manhattan	0.88	20.6
Manhattan Valley	Manhattan	0	9.75
Sutton Place/Turtle Bay North	Manhattan	0.37	34.95
Kips Bay	Manhattan	1.81	15.62
Fort Greene	Brooklyn	1.69	10.15
Upper West Side South	Manhattan	4.89	16.22
Clinton East	Manhattan	0.59	41
East Flatbush/Farragut	Brooklyn	1.94	11.66
Long Island City/Hunters Point	Queens	5.37	25
Central Park	Manhattan	0.76	13.1
Central Harlem North	Manhattan	2.14	10.08
Upper West Side North	Manhattan	0.41	13.28
Lincoln Square East	Manhattan	1.65	29.6
Upper West Side South	Manhattan	0.56	54.66
DUMBO/Vinegar Hill	Brooklyn	1.52	37
Lenox Hill East	Manhattan	0.63	24
Midtown South	Manhattan	1.3	46.13
Lincoln Square East	Manhattan	0.42	13.64
Garment District	Manhattan	1.28	65.1
Van Nest/Morris Park	Bronx	4.06	19.19
Yorkville West	Manhattan	0.3	25.9
Greenwich Village North	Manhattan	2.79	13.75
Yorkville East	Manhattan	3.46	22.36
LaGuardia Airport	Queens	1.38	13.43
East Chelsea	Manhattan	0	49
Long Island City/Hunters Point	Queens	0.14	39.39
LaGuardia Airport	Queens	5.05	26.2
Clinton East	Manhattan	2.68	11.3
Times Sq/Theatre District	Manhattan	1.83	52.6
Upper West Side South	Manhattan	0.33	20.25
Lincoln Square West	Manhattan	1.39	17.64
Alphabet City	Manhattan	0.47	35.85
Penn Station/Madison Sq West	Manhattan	7.05	55.7
Clinton East	Manhattan	3.72	40.11
East Village	Manhattan	4.6	36.81
Prospect-Lefferts Gardens	Brooklyn	11.08	23.2
Central Park	Manhattan	1.21	28.6
Fort Greene	Brooklyn	3.12	11.2
West Village	Manhattan	0.71	23.47
Parkchester	Bronx	1.71	19.36
Washington Heights North	Manhattan	0.79	174.82
East Flatbush/Remsen Village	Brooklyn	3.86	18.88
Lower East Side	Manhattan	4.92	84.9
Penn Station/Madison Sq West	Manhattan	2.14	15.55
Crown Heights North	Brooklyn	0.54	50.8
Lower East Side	Manhattan	0.94	24.68
West Village	Manhattan	0.04	19.55
Gramercy	Manhattan	3.52	42.49
East Chelsea	Manhattan	0.17	14.46
Hamilton Heights	Manhattan	0.3	43.4
Penn Station/Madison Sq West	Manhattan	0.53	27.8
LaGuardia Airport	Queens	2.22	20.2
East Flatbush/Remsen Village	Brooklyn	0.93	53.85
Midtown East	Manhattan	0.16	21.79
Clinton East	Manhattan	0.89	37.1
Little Italy/NoLiTa	Manhattan	0.7	15.54
Van Nest/Morris Park	Bronx	0.03	32.97
Union Sq	Manhattan	0.34	9.99
JFK Airport	Queens	1.68	24.92
Midtown Center	Manhattan	0.07	31
East Village	Manhattan	0.14	18.17
East Village	Manhattan	3.2	44.73
Central Harlem	Manhattan	4.85	8.7
Midtown Center	Manhattan	0.25	24.25
East Chelsea	Manhattan	0.1	69
Upper East Side South	Manhattan	0.39	20.68
Times Sq/Theatre District	Manhattan	3.04	33.9
Midtown East	Manhattan	0.56	30.6
TriBeCa/Civic Center	Manhattan	3.68	19.93
JFK Airport	Queens	0.48	35.93
Chinatown	Manhattan	0.06	13
Meatpacking/West Village West	Manhattan	1.51	28.85
East Village	Manhattan	0.09	17.9
Coney Island	Brooklyn	0.21	18.8
Midtown South	Manhattan	1.56	7.63
Queensbridge/Ravenswood	Queens	2.09	27.39
Bloomingdale	Manhattan	0.61	14.44
Clinton East	Manhattan	4.26	7
Yorkville East	Manhattan	0.67	20.95
Lenox Hill West	Manhattan	5.16	12.64
Manhattan Valley	Manhattan	2.23	38.78
Midtown North	Manhattan	1.88	24.8
East Village	Manhattan	0.3	29.18
Upper West Side South	Manhattan	0.98	57.43
Murray Hill	Manhattan	1.08	10.18
Park Slope	Brooklyn	2.76	31.49
Morningside Heights	Manhattan	2.55	22.16
Midtown North	Manhattan	3.75	13.5
Midtown Center	Manhattan	0.47	19.24
Upper East Side North	Manhattan	3.86	7.84
Midtown Center	Manhattan	0.1	35.8
East Tremont	Bronx	3.05	15.23
East Village	Manhattan	0.29	27.2
Jackson Heights	Queens	8.8	19.89
Forest Hills	Queens	0.24	91.22
Manhattan Valley	Manhattan	1.13	15.9
Upper West Side South	Manhattan	5.69	27.24
East Tremont	Bronx	0.07	26.2
East Harlem North	Manhattan	5.19	16.4
East Tremont	Bronx	0.15	16.21
Lenox Hill East	Manhattan	0.19	33.86
Union Sq	Manhattan	2.2	23.04
Yorkville East	Manhattan	4.57	12.53
Steinway	Queens	8.3	54.16
JFK Airport	Queens	0	15.4
Flatiron	Manhattan	0.67	19.7
Clinton East	Manhattan	1.2	75.74
Times Sq/Theatre District	Manhattan	0.43	18.55
Sutton Place/Turtle Bay North	Manhattan	0.15	161.38
East Village	Manhattan	0.72	52.4
TriBeCa/Civic Center	Manhattan	2.88	25
Yorkville East	Manhattan	0.62	31.3
Midtown East	Manhattan	0.67	33.8
Midtown Center	Manhattan	2.4	14.4
East Chelsea	Manhattan	5.16	35.34
Midwood	Brooklyn	5.18	69.22
Midtown Center	Manhattan	0.45	13.76
East Chelsea	Manhattan	0.07	82.1
Battery Park City	Manhattan	3.1	33.76
Lincoln Square East	Manhattan	1.63	11.5
Crown Heights South	Brooklyn	6.63	14.58
Downtown Brooklyn/MetroTech	Brooklyn	0.16	29.6
Lenox Hill East	Manhattan	2.72	41.27
Midtown North	Manhattan	0.5	31.9
Central Harlem North	Manhattan	0.2	64.1
Sutton Place/Turtle Bay North	Manhattan	1.27	11.69
Yorkville East	Manhattan	0.41	35.5
Sutton Place/Turtle Bay North	Manhattan	3.59	26.27
Lincoln Square East	Manhattan	3.74	17.35
Morningside Heights	Manhattan	7.16	28.76
TriBeCa/Civic Center	Manhattan	1.46	31.4
Clinton East	Manhattan	6.64	16.9
Midtown East	Manhattan	0.07	14.05
Washington Heights South	Manhattan	7.05	16.4
Brooklyn Heights	Brooklyn	2.66	19.94
West Village	Manhattan	6.9	25.69
Penn Station/Madison Sq West	Manhattan	2.29	45.6
Sutton Place/Turtle Bay North	Manhattan	0.51	21.67
Lincoln Square West	Manhattan	0.05	10.48
Mount Hope	Bronx	0.14	25.1
TriBeCa/Civic Center	Manhattan	2.38	13.66
Penn Station/Madison Sq West	Manhattan	1.74	21.5
East Harlem North	Manhattan	1.18	14.15
Fort Greene	Brooklyn	1.45	20.31
Yorkville West	Manhattan	1.5	22.4
East Village	Manhattan	1.06	19.51
SoHo	Manhattan	1.01	13.2
Central Park	Manhattan	0.21	25.83
West Village	Manhattan	2.35	21.04
South Jamaica	Queens	1.19	21.4
West Village	Manhattan	0.83	7.8
Upper West Side North	Manhattan	1.32	117.96
Long Island City/Hunters Point	Queens	4	12.78
Central Harlem	Manhattan	3.64	10.2
Flatiron	Manhattan	0.02	34.6
Midtown East	Manhattan	2.58	15.2
Manhattan Valley	Manhattan	2.59	56.99
Sutton Place/Turtle Bay North	Manhattan	0.1	20.99
Meatpacking/West Village West	Manhattan	0.09	8.87
Central Harlem North	Manhattan	1	124.68
Lincoln Square East	Manhattan	4.64	9.55
Little Italy/NoLiTa	Manhattan	0.36	11.76
Gravesend	Brooklyn	1.95	16.19
Upper West Side North	Manhattan	0.45	16.72
Yorkville East	Manhattan	0.35	9.8
Midtown Center	Manhattan	2.05	9.22
Astoria	Queens	1.13	21.33
TriBeCa/Civic Center	Manhattan	4.03	12.8
Flatiron	Manhattan	0.55	15.7
Lincoln Square East	Manhattan	0.91	22.15
Midtown East	Manhattan	0.51	23.3
LaGuardia Airport	Queens	1.46	92.2
East Concourse/Concourse Village	Bronx	0.62	35.95
Hamilton Heights	Manhattan	0.29	21.55
LaGuardia Airport	Queens	0.38	33.63
West Village	Manhattan	0.75	15.01
East Harlem South	Manhattan	1.08	17.52
Manhattan Valley	Manhattan	0.45	12.66
Clinton West	Manhattan	1.38	34.7
Upper East Side South	Manhattan	1.41	89.85
Midtown East	Manhattan	0.62	85.75
Kips Bay	Manhattan	0.82	26.95
Central Harlem North	Manhattan	1.23	41.32
Midtown East	Manhattan	2.69	23.4
Midtown Center	Manhattan	1.36	56
Kips Bay	Manhattan	3.67	38
Upper West Side South	Manhattan	1.93	14.87
LaGuardia Airport	Queens	1.74	8.92
Midwood	Brooklyn	1.02	13.78
Union Sq	Manhattan	0.24	13.18
Richmond Hill	Queens	0.02	21.7
Penn Station/Madison Sq West	Manhattan	1.98	37.42
Upper West Side South	Manhattan	1.85	17.9
Greenwich Village North	Manhattan	0.75	16.4
East Chelsea	Manhattan	2.88	21.63
Kips Bay	Manhattan	2.3	11.2
