Albania	89	89	89	4.9
Algeria	25	25	25	0.7
Andorra	245	245	245	12.4
Angola	217	217	217	5.9
Antigua & Barbuda	102	102	102	4.9
Argentina	193	193	193	8.3
Armenia	21	21	21	3.8
Australia	261	261	261	10.4
Austria	279	279	279	9.7
Azerbaijan	21	21	21	1.3
Bahamas	122	122	122	6.3
Bahrain	42	42	42	2.0
Bangladesh	0	0	0	0.0
Barbados	143	143	143	6.3
Belarus	142	142	142	14.4
Belgium	295	295	295	10.5
Belize	263	263	263	6.8
Benin	34	34	34	1.1
Bhutan	23	23	23	0.4
Bolivia	167	167	167	3.8
Bosnia-Herzegovina	76	76	76	4.6
Botswana	173	173	173	5.4
Brazil	245	245	245	7.2
Brunei	31	31	31	0.6
Bulgaria	231	231	231	10.3
Burkina Faso	25	25	25	4.3
Burundi	88	88	88	6.3
Cote d'Ivoire	37	37	37	4.0
Cabo Verde	144	144	144	4.0
Cambodia	57	57	57	2.2
Cameroon	147	147	147	5.8
Canada	240	240	240	8.2
Central African Republic	17	17	17	1.8
Chad	15	15	15	0.4
Chile	130	130	130	7.6
China	79	79	79	5.0
Colombia	159	159	159	4.2
Comoros	1	1	1	0.1
Congo	76	76	76	1.7
Cook Islands	0	0	0	5.9
Costa Rica	149	149	149	4.4
Croatia	230	230	230	10.2
Cuba	93	93	93	4.2
Cyprus	192	192	192	8.2
Czech Republic	361	361	361	11.8
North Korea	0	0	0	0.0
DR Congo	32	32	32	2.3
Denmark	224	224	224	10.4
Djibouti	15	15	15	1.1
Dominica	52	52	52	6.6
Dominican Republic	193	193	193	6.2
Ecuador	162	162	162	4.2
Egypt	6	6	6	0.2
El Salvador	52	52	52	2.2
Equatorial Guinea	92	92	92	5.8
Eritrea	18	18	18	0.5
Estonia	224	224	224	9.5
Ethiopia	20	20	20	0.7
Fiji	77	77	77	2.0
Finland	263	263	263	10.0
France	127	127	127	11.8
Gabon	347	347	347	8.9
Gambia	8	8	8	2.4
Georgia	52	52	52	5.4
Germany	346	346	346	11.3
Ghana	31	31	31	1.8
Greece	133	133	133	8.3
Grenada	199	199	199	11.9
Guatemala	53	53	53	2.2
Guinea	9	9	9	0.2
Guinea-Bissau	28	28	28	2.5
Guyana	93	93	93	7.1
Haiti	1	1	1	5.9
Honduras	69	69	69	3.0
Hungary	234	234	234	11.3
Iceland	233	233	233	6.6
India	9	9	9	2.2
Indonesia	5	5	5	0.1
Iran	0	0	0	0.0
Iraq	9	9	9	0.2
Ireland	313	313	313	11.4
Israel	63	63	63	2.5
Italy	85	85	85	6.5
Jamaica	82	82	82	3.4
Japan	77	77	77	7.0
Jordan	6	6	6	0.5
Kazakhstan	124	124	124	6.8
Kenya	58	58	58	1.8
Kiribati	21	21	21	1.0
Kuwait	0	0	0	0.0
Kyrgyzstan	31	31	31	2.4
Laos	62	62	62	6.2
Latvia	281	281	281	10.5
Lebanon	20	20	20	1.9
Lesotho	82	82	82	2.8
Liberia	19	19	19	3.1
Libya	0	0	0	0.0
Lithuania	343	343	343	12.9
Luxembourg	236	236	236	11.4
Madagascar	26	26	26	0.8
Malawi	8	8	8	1.5
Malaysia	13	13	13	0.3
Maldives	0	0	0	0.0
Mali	5	5	5	0.6
Malta	149	149	149	6.6
Marshall Islands	0	0	0	0.0
Mauritania	0	0	0	0.0
Mauritius	98	98	98	2.6
Mexico	238	238	238	5.5
Micronesia	62	62	62	2.3
Monaco	0	0	0	0.0
Mongolia	77	77	77	4.9
Montenegro	31	31	31	4.9
Morocco	12	12	12	0.5
Mozambique	47	47	47	1.3
Myanmar	5	5	5	0.1
Namibia	376	376	376	6.8
Nauru	49	49	49	1.0
Nepal	5	5	5	0.2
Netherlands	251	251	251	9.4
New Zealand	203	203	203	9.3
Nicaragua	78	78	78	3.5
Niger	3	3	3	0.1
Nigeria	42	42	42	9.1
Niue	188	188	188	7.0
Norway	169	169	169	6.7
Oman	22	22	22	0.7
Pakistan	0	0	0	0.0
Palau	306	306	306	6.9
Panama	285	285	285	7.2
Papua New Guinea	44	44	44	1.5
Paraguay	213	213	213	7.3
Peru	163	163	163	6.1
Philippines	71	71	71	4.6
Poland	343	343	343	10.9
Portugal	194	194	194	11.0
Qatar	1	1	1	0.9
South Korea	140	140	140	9.8
Moldova	109	109	109	6.3
Romania	297	297	297	10.4
Russian Federation	247	247	247	11.5
Rwanda	43	43	43	6.8
St. Kitts & Nevis	194	194	194	7.7
St. Lucia	171	171	171	10.1
St. Vincent & the Grenadines	120	120	120	6.3
Samoa	105	105	105	2.6
San Marino	0	0	0	0.0
Sao Tome & Principe	56	56	56	4.2
Saudi Arabia	0	0	0	0.1
Senegal	9	9	9	0.3
