Upper West Side South	Manhattan
Alphabet City	Manhattan
Hudson Sq	Manhattan
Midtown East	Manhattan
Times Sq/Theatre District	Manhattan
Battery Park City	Manhattan
Murray Hill	Manhattan
East Harlem South	Manhattan
Lincoln Square East	Manhattan
LaGuardia Airport	Queens
Lincoln Square West	Manhattan
Financial District North	Manhattan
Upper West Side North	Manhattan
East Chelsea	Manhattan
Midtown Center	Manhattan
Gramercy	Manhattan
Penn Station/Madison Sq West	Manhattan
Sutton Place/Turtle Bay North	Manhattan
West Chelsea/Hudson Yards	Manhattan
Clinton East	Manhattan
Clinton West	Manhattan
UN/Turtle Bay South	Manhattan
Midtown South	Manhattan
Midtown North	Manhattan
Garment District	Manhattan
Lenox Hill East	Manhattan
Flatiron	Manhattan
TriBeCa/Civic Center	Manhattan
Upper East Side North	Manhattan
West Village	Manhattan
Greenwich Village South	Manhattan
JFK Airport	Queens
East Village	Manhattan
Union Sq	Manhattan
Yorkville West	Manhattan
Central Park	Manhattan
Meatpacking/West Village West	Manhattan
Kips Bay	Manhattan
Morningside Heights	Manhattan
Astoria	Queens
East Tremont	Bronx
Upper East Side South	Manhattan
Financial District South	Manhattan
Bloomingdale	Manhattan
Queensboro Hill	Queens
SoHo	Manhattan
Brooklyn Heights	Brooklyn
Yorkville East	Manhattan
Manhattan Valley	Manhattan
DUMBO/Vinegar Hill	Brooklyn
Little Italy/NoLiTa	Manhattan
Mott Haven/Port Morris	Bronx
Greenwich Village North	Manhattan
Stuyvesant Heights	Brooklyn
Lower East Side	Manhattan
East Harlem North	Manhattan
Chinatown	Manhattan
Fort Greene	Brooklyn
Steinway	Queens
Central Harlem	Manhattan
Crown Heights North	Brooklyn
Seaport	Manhattan
Two Bridges/Seward Park	Manhattan
Boerum Hill	Brooklyn
Williamsburg (South Side)	Brooklyn
Rosedale	Queens
Flushing	Queens
Old Astoria	Queens
Soundview/Castle Hill	Bronx
Stuy Town/Peter Cooper Village	Manhattan
World Trade Center	Manhattan
Sunnyside	Queens
Washington Heights South	Manhattan
Prospect Heights	Brooklyn
East New York	Brooklyn
Hamilton Heights	Manhattan
Cobble Hill	Brooklyn
Long Island City/Queens Plaza	Queens
Central Harlem North	Manhattan
Manhattanville	Manhattan
East Flatbush/Farragut	Brooklyn
Elmhurst	Queens
East Concourse/Concourse Village	Bronx
Park Slope	Brooklyn
Greenpoint	Brooklyn
Williamsburg (North Side)	Brooklyn
Long Island City/Hunters Point	Queens
South Ozone Park	Queens
Ridgewood	Queens
Downtown Brooklyn/MetroTech	Brooklyn
Queensbridge/Ravenswood	Queens
Williamsbridge/Olinville	Bronx
Bedford	Brooklyn
Gowanus	Brooklyn
Jackson Heights	Queens
South Jamaica	Queens
Bushwick North	Brooklyn
West Concourse	Bronx
Queens Village	Queens
Windsor Terrace	Brooklyn
Flatlands	Brooklyn
Van Cortlandt Village	Bronx
Woodside	Queens
East Williamsburg	Brooklyn
Fordham South	Bronx
East Elmhurst	Queens
